id,text
0_UK_UK_Approved_Document_7,Materials and workmanship
1_UK_UK_Approved_Document_7,Regulation 7 of the Building Regulations This approved document gives guidance on how to meet regulation 7 of the Building Regulations 2010.
2_UK_UK_Approved_Document_7,Regulation
3_UK_UK_Approved_Document_7,Materials and workmanship 7. (1) Building work shall be carried out—
4_UK_UK_Approved_Document_7,with adequate and proper materials which—
5_UK_UK_Approved_Document_7,"are appropriate for the circumstances in which they are used,"
6_UK_UK_Approved_Document_7,"are adequately mixed or prepared, and"
7_UK_UK_Approved_Document_7,"are applied, used or fixed so as adequately to perform the functions for which they are designed; and"
8_UK_UK_Approved_Document_7,in a workmanlike manner.
9_UK_UK_Approved_Document_7,"Approved Document 7, 2013 edition Building Regulations 2010"
10_UK_UK_Approved_Document_7,7ONLINE VERSIONONLINE VERSION Performance and limitations
11_UK_UK_Approved_Document_7,Performance and limitations
12_UK_UK_Approved_Document_7,Performance
13_UK_UK_Approved_Document_7,"In the Secretary of State’s view, you will meet the requirements of regulation 7 if you satisfy both of the following conditions."
14_UK_UK_Approved_Document_7,Materials are of a suitable nature and quality in relation to the purposes and conditions of their use.
15_UK_UK_Approved_Document_7,"Workmanship is such that, where relevant, materials are adequately mixed or prepared and applied, used or fixed so as to perform adequately the functions for which they are intended."
16_UK_UK_Approved_Document_7,"Materials include: a. manufactured products such as components, fittings, items of equipment and systems"
17_UK_UK_Approved_Document_7,"naturally occurring materials such as stone, timber and thatch c. backfilling for excavations in connection with building work."
18_UK_UK_Approved_Document_7,Limitations
19_UK_UK_Approved_Document_7,Regulation 7 applies to all building work.
20_UK_UK_Approved_Document_7,"However, in accordance with regulation 8 and Schedule 1, the standards of materials and workmanship need be no more than are necessary to: a. for Parts A–D, F–K, N and P (except for paragraphs G2, H2 and J7) of Schedule 1: secure reasonable standards of health or safety for people in or about the building b. for Part E of Schedule 1: secure reasonable resistance to the passage of sound for the welfare and convenience of people in or about the building"
21_UK_UK_Approved_Document_7,for Part L of Schedule 1: conserve fuel and power
22_UK_UK_Approved_Document_7,for Part M of Schedule 1: provide access to buildings and their facilities for people.
23_UK_UK_Approved_Document_7,"Building Regulations 2010 Approved Document 7, 2013 edition 3"
24_UK_UK_Approved_Document_7,7ONLINE VERSIONONLINE VERSION Materials
25_UK_UK_Approved_Document_7,Section 1: Materials
26_UK_UK_Approved_Document_7,Building work must meet the functional requirements of Schedule 1 to the Building Regulations.
27_UK_UK_Approved_Document_7,"Approved documents refer to materials covered by harmonised European product standards, British Standards and other technical specifications."
28_UK_UK_Approved_Document_7,"However, there is no obligation to adopt any particular solution contained in an approved document in order to meet functional requirements; the references are not exclusive and other materials may be suitable in the particular circumstances."
29_UK_UK_Approved_Document_7,Ways of establishing the fitness of materials
30_UK_UK_Approved_Document_7,"You can assess the suitability of a material for use for a specific purpose in a number of ways, as described in paragraphs 1.3 to 1.21."
31_UK_UK_Approved_Document_7,CE marking under the Construction Products Regulation
32_UK_UK_Approved_Document_7,Many materials are construction products that have CE marking under the Construction Products Regulation (305/2011/EU-CPR).
33_UK_UK_Approved_Document_7,The Construction Products Regulation requires that construction products on the EU market covered by a harmonised European product standard should normally have CE marking.
34_UK_UK_Approved_Document_7,"In addition, manufacturers of products not covered by a harmonised standard can choose to affix CE marking to their products by obtaining a European Technical Assessment."
35_UK_UK_Approved_Document_7,NOTE:
36_UK_UK_Approved_Document_7,You can find a list of the harmonised product standards under the Construction Products Regulation on the NANDO information system website at http://ec.europa.eu/enterprise/newapproach/nando/index.cfm?fuseaction=cpd.hs.
37_UK_UK_Approved_Document_7,CE marking includes the reference of the product standard and the levels or classes of performance being declared against some or all of the characteristics covered by the standard.
38_UK_UK_Approved_Document_7,"The CE marking should be on the product, its label, the packaging or accompanying documents."
39_UK_UK_Approved_Document_7,The CE symbol by itself does not necessarily indicate that the material is suitable for the building work.
40_UK_UK_Approved_Document_7,"In addition to CE marking, the product will have a declaration of performance containing more detailed information on the product."
41_UK_UK_Approved_Document_7,"This may be a paper or electronic document, or it may be on a website."
42_UK_UK_Approved_Document_7,It is essential to check that the declared performance is suitable for the building works.
43_UK_UK_Approved_Document_7,"In the absence of indications to the contrary, the building control body should assume that the information given in the CE marking and declaration of performance is accurate and reliable, and that the product meets the declared performance."
44_UK_UK_Approved_Document_7,"If the declared performance of a product is suitable for its intended use, the building control body should not prohibit or impede the use of the product."
45_UK_UK_Approved_Document_7,CE marking under other EU directives and regulations 1.8 Products may have CE marking under European legislation such as the Gas Appliances Directive or the Pressure Equipment Directive.
46_UK_UK_Approved_Document_7,"Such CE marking shows that the product meets the essential requirements set out in the legislation – for example, minimum safety requirements – and can be placed on the EU market."
47_UK_UK_Approved_Document_7,"Approved Document 7, 2013 edition Building Regulations 2010"
48_UK_UK_Approved_Document_7,7ONLINE VERSIONONLINE VERSION 1.9 Some products have CE marking in accordance with both the Construction Products Regulation and other legislation.
49_UK_UK_Approved_Document_7,The CE marking shows that the product complies with the requirements in all relevant EU legislation.
50_UK_UK_Approved_Document_7,British Standards
51_UK_UK_Approved_Document_7,Nearly all British Standards for construction products are the British versions of harmonised European standards used for CE marking.
52_UK_UK_Approved_Document_7,"The BSI numbering policy is to adopt the CEN numbering, prefaced with BS, e.g. BS EN 197-1:2000."
53_UK_UK_Approved_Document_7,"Some British Standards are the British version of non-harmonised European standards; these also adopt the CEN numbering, prefaced with BS."
54_UK_UK_Approved_Document_7,"These do not contain an Annex ZA, so CE marking cannot be affixed to products made to these standards."
55_UK_UK_Approved_Document_7,Some British Standards for products not covered by a European standard will continue to exist.
56_UK_UK_Approved_Document_7,"Where a construction product has been made and assessed in accordance with one or more British Standards referred to in 1.11 and 1.12, this may show whether the product is suitable for its intended use."
57_UK_UK_Approved_Document_7,Other national and international technical specifications
58_UK_UK_Approved_Document_7,"An international technical specification, including those prepared by ISO, or a national technical specification of a country other than the UK, may be used to demonstrate that a product not covered by a harmonised European standard meets the performance requirements of the Building Regulations."
59_UK_UK_Approved_Document_7,"Where necessary, the person who intends to carry out the work should obtain translations of specifications and demonstrate how the material meets the requirements of regulation 7. NOTE:"
60_UK_UK_Approved_Document_7,"The national technical specifications of EU member states (and non-EU countries that are full members of CEN) are being progressively replaced by harmonised European standards, as is the case with British Standards."
61_UK_UK_Approved_Document_7,Independent certification schemes
62_UK_UK_Approved_Document_7,There are many independent product certification schemes in the UK and elsewhere that may provide information on the performance of a product.
63_UK_UK_Approved_Document_7,Such schemes certify that a material complies with the requirements of a recognised document and indicates it is suitable for its intended purpose and use.
64_UK_UK_Approved_Document_7,"These may be in addition to, but not conflict with, CE marking."
65_UK_UK_Approved_Document_7,NOTE:
66_UK_UK_Approved_Document_7,Materials which are not certified by an independent scheme might still conform to a relevant standard.
67_UK_UK_Approved_Document_7,Accreditation of a certification body by a national accreditation body belonging to the European co-operation for Accreditation (EA) provides a means of demonstrating that their certification scheme can be relied upon.
68_UK_UK_Approved_Document_7,"In the UK, most independent certification bodies are accredited by the United Kingdom Accreditation Service (UKAS), which belongs to the EA."
