id,text,text-fixed
1_UK_UK_Approved_Document_7,Regulation 7 of the Building Regulations This approved document gives guidance on how to meet regulation 7 of the Building Regulations 2010.,Regulation 7 of the Building Regulations This approved document gives guidance on how to meet regulation 7 of the Building Regulations 2010.
5.1_UK_UK_Approved_Document_7,,Building work shall be carried out with adequate and proper materials which
5_UK_UK_Approved_Document_7,"are appropriate for the circumstances in which they are used,","are appropriate for the circumstances in which they are used,"
6_UK_UK_Approved_Document_7,"are adequately mixed or prepared, and","are adequately mixed or prepared, and"
7_UK_UK_Approved_Document_7,"are applied, used or fixed so as adequately to perform the functions for which they are designed; and","are applied, used or fixed so as adequately to perform the functions for which they are designed; and"
8_UK_UK_Approved_Document_7,in a workmanlike manner.,in a workmanlike manner.
13_UK_UK_Approved_Document_7,"In the Secretary of State’s view, you will meet the requirements of regulation 7 if you satisfy both of the following conditions.","In the Secretary of State’s view, you will meet the requirements of regulation 7 if you satisfy both of the following conditions."
14_UK_UK_Approved_Document_7,Materials are of a suitable nature and quality in relation to the purposes and conditions of their use.,Materials are of a suitable nature and quality in relation to the purposes and conditions of their use.
15_UK_UK_Approved_Document_7,"Workmanship is such that, where relevant, materials are adequately mixed or prepared and applied, used or fixed so as to perform adequately the functions for which they are intended.","Workmanship is such that, where relevant, materials are adequately mixed or prepared and applied, used or fixed so as to perform adequately the functions for which they are intended."
17_UK_UK_Approved_Document_7,"naturally occurring materials such as stone, timber and thatch c. backfilling for excavations in connection with building work.","naturally occurring materials such as stone, timber and thatch"
17.2_UK_UK_Approved_Document_7,,backfilling for excavations in connection with building work.
19_UK_UK_Approved_Document_7,Regulation 7 applies to all building work.,Regulation 7 applies to all building work.
20.1_UK_UK_Approved_Document_7,,"However, in accordance with regulation 8 and Schedule 1, the standards of materials and workmanship need be no more than are necessary to: "
20.2_UK_UK_Approved_Document_7,,"for Parts A–D, F–K, N and P (except for paragraphs G2, H2 and J7) of Schedule 1: secure reasonable standards of health or safety for people in or about the building"
20.3_UK_UK_Approved_Document_7,,for Part E of Schedule 1: secure reasonable resistance to the passage of sound for the welfare and convenience of people in or about the building
20.4_UK_UK_Approved_Document_7,,for Part L of Schedule 1: conserve fuel and power
22_UK_UK_Approved_Document_7,for Part M of Schedule 1: provide access to buildings and their facilities for people.,for Part M of Schedule 1: provide access to buildings and their facilities for people.
26_UK_UK_Approved_Document_7,Building work must meet the functional requirements of Schedule 1 to the Building Regulations.,Building work must meet the functional requirements of Schedule 1 to the Building Regulations.
27_UK_UK_Approved_Document_7,"Approved documents refer to materials covered by harmonised European product standards, British Standards and other technical specifications.","Approved documents refer to materials covered by harmonised European product standards, British Standards and other technical specifications."
28_UK_UK_Approved_Document_7,"However, there is no obligation to adopt any particular solution contained in an approved document in order to meet functional requirements; the references are not exclusive and other materials may be suitable in the particular circumstances.","However, there is no obligation to adopt any particular solution contained in an approved document in order to meet functional requirements; the references are not exclusive and other materials may be suitable in the particular circumstances."
30_UK_UK_Approved_Document_7,"You can assess the suitability of a material for use for a specific purpose in a number of ways, as described in paragraphs 1.3 to 1.21.","You can assess the suitability of a material for use for a specific purpose in a number of ways, as described in paragraphs 1.3 to 1.21."
32_UK_UK_Approved_Document_7,Many materials are construction products that have CE marking under the Construction Products Regulation (305/2011/EU-CPR).,Many materials are construction products that have CE marking under the Construction Products Regulation (305/2011/EU-CPR).
33_UK_UK_Approved_Document_7,The Construction Products Regulation requires that construction products on the EU market covered by a harmonised European product standard should normally have CE marking.,The Construction Products Regulation requires that construction products on the EU market covered by a harmonised European product standard should normally have CE marking.
34_UK_UK_Approved_Document_7,"In addition, manufacturers of products not covered by a harmonised standard can choose to affix CE marking to their products by obtaining a European Technical Assessment.","In addition, manufacturers of products not covered by a harmonised standard can choose to affix CE marking to their products by obtaining a European Technical Assessment."
36_UK_UK_Approved_Document_7,You can find a list of the harmonised product standards under the Construction Products Regulation on the NANDO information system website at http://ec.europa.eu/enterprise/newapproach/nando/index.cfm?fuseaction=cpd.hs.,You can find a list of the harmonised product standards under the Construction Products Regulation on the NANDO information system website at http://ec.europa.eu/enterprise/newapproach/nando/index.cfm?fuseaction=cpd.hs.
37_UK_UK_Approved_Document_7,CE marking includes the reference of the product standard and the levels or classes of performance being declared against some or all of the characteristics covered by the standard.,CE marking includes the reference of the product standard and the levels or classes of performance being declared against some or all of the characteristics covered by the standard.
38_UK_UK_Approved_Document_7,"The CE marking should be on the product, its label, the packaging or accompanying documents.","The CE marking should be on the product, its label, the packaging or accompanying documents."
39_UK_UK_Approved_Document_7,The CE symbol by itself does not necessarily indicate that the material is suitable for the building work.,The CE symbol by itself does not necessarily indicate that the material is suitable for the building work.
40_UK_UK_Approved_Document_7,"In addition to CE marking, the product will have a declaration of performance containing more detailed information on the product.","In addition to CE marking, the product will have a declaration of performance containing more detailed information on the product."
41_UK_UK_Approved_Document_7,"This may be a paper or electronic document, or it may be on a website.","This may be a paper or electronic document, or it may be on a website."
42_UK_UK_Approved_Document_7,It is essential to check that the declared performance is suitable for the building works.,It is essential to check that the declared performance is suitable for the building works.
43_UK_UK_Approved_Document_7,"In the absence of indications to the contrary, the building control body should assume that the information given in the CE marking and declaration of performance is accurate and reliable, and that the product meets the declared performance.","In the absence of indications to the contrary, the building control body should assume that the information given in the CE marking and declaration of performance is accurate and reliable, and that the product meets the declared performance."
44_UK_UK_Approved_Document_7,"If the declared performance of a product is suitable for its intended use, the building control body should not prohibit or impede the use of the product.","If the declared performance of a product is suitable for its intended use, the building control body should not prohibit or impede the use of the product."
