id,text
0_UK_UK_Approved_Document_A,LOADING AND GROUND MOVEMENT The Requirements
1_UK_UK_Approved_Document_A,This Approved Document deals with the following Requirements which are contained in the Building Regulations 2010.
2_UK_UK_Approved_Document_A,A1/2
3_UK_UK_Approved_Document_A,Requirement Loading
4_UK_UK_Approved_Document_A,Limits on application
5_UK_UK_Approved_Document_A,"The building shall be constructed so that the combined dead, imposed and wind loads are sustained and transmitted by it to the ground:"
6_UK_UK_Approved_Document_A,safely; and
7_UK_UK_Approved_Document_A,"without causing such deflection or deformation of any part of the building, or such movement of the ground, as will impair the stability of any part of another building."
8_UK_UK_Approved_Document_A,In assessing whether a building complies with sub-paragraph (1) regard shall be had to the imposed and wind loads to which it is likely to be subjected in the ordinary course of its use for the purpose for which it is intended.
9_UK_UK_Approved_Document_A,Ground movement
10_UK_UK_Approved_Document_A,The building shall be constructed so that ground movement caused by:
11_UK_UK_Approved_Document_A,"swelling, shrinkage or freezing of the subsoil; or"
12_UK_UK_Approved_Document_A,"land-slip or subsidence (other than subsidence arising from shrinkage), in so far as the risk can be reasonably foreseen, will not impair the stability of any part of the building."
13_UK_UK_Approved_Document_A,5
14_UK_UK_Approved_Document_A,Approved Document A StructureONLINE VERSIONONLINE VERSION 0.3 Grandstands and structures erected in places of public assembly may need to sustain the synchronous or rhythmic movement of numbers of people.
15_UK_UK_Approved_Document_A,It is important to ensure that the design of the structure takes these factors into account so as to avoid the structure being impaired or causing alarm to people using the structure.
16_UK_UK_Approved_Document_A,"Guidance on the design and testing of grandstands may be found in ‘Dynamic performance requirements for permanent grandstands subject to crowd action – Recommendations for management, design and assessment’ published by The Institution of Structural Engineers, December 2008."
17_UK_UK_Approved_Document_A,A1/2
18_UK_UK_Approved_Document_A,Guidance
19_UK_UK_Approved_Document_A,Introduction 0.1 In the Secretary of State’s view the requirements of A1 and A2 will be met by following the recommendations given in the documents listed in Section 1 or by adopting the guidance in Sections 2-4:
20_UK_UK_Approved_Document_A,"Section 1 is relevant to all building types and lists Codes, Standards and other references for structural design and construction but, where they do not give precise guidance, consideration should be given to paragraph 0.2."
21_UK_UK_Approved_Document_A,Section 2 give sizes of structural elements for certain residential buildings and other small buildings of traditional construction.
22_UK_UK_Approved_Document_A,Section 3 gives guidance on the support and fixing of wall cladding.
23_UK_UK_Approved_Document_A,Section 4 gives guidance where roofs are to be re-covered as a material alteration as defined in the Regulations.
24_UK_UK_Approved_Document_A,"The safety of a structure depends on the 0.2 successful combination of design and completed construction, particularly:"
25_UK_UK_Approved_Document_A,The design should be based on identification of the hazards to which the structure is likely to be subjected and assessment of the risks.
26_UK_UK_Approved_Document_A,The selection of relevant critical situations for design should be made reflecting the conditions that can reasonably be foreseen during future use.
27_UK_UK_Approved_Document_A,Loading.
28_UK_UK_Approved_Document_A,"Dead load, imposed load and wind load should be in accordance with the current Codes of practice referred to in Section 1 of this document."
29_UK_UK_Approved_Document_A,Properties of materials.
30_UK_UK_Approved_Document_A,Detailed design and assembly of the structure.
31_UK_UK_Approved_Document_A,Safety factors.
32_UK_UK_Approved_Document_A,Workmanship.
33_UK_UK_Approved_Document_A,"The numeric values of safety factors, whether expressed explicitly or implicitly in design equations, or design values, should be derived from considerations of the above aspects of design and construction as a whole."
34_UK_UK_Approved_Document_A,A change in any one of these aspects may disturb the safety of the structure.
35_UK_UK_Approved_Document_A,"Loads used in calculations should allow for possible dynamic, concentrated and peak load effects that may occur."
36_UK_UK_Approved_Document_A,6
37_UK_UK_Approved_Document_A,Structure Approved Document AONLINE VERSIONONLINE VERSION A1/2
38_UK_UK_Approved_Document_A,"Section 1: Codes, standards and references for all building types"
39_UK_UK_Approved_Document_A,Introduction
40_UK_UK_Approved_Document_A,"and lists codes, standards and other references for structural design and construction."
41_UK_UK_Approved_Document_A,This section is relevant to all building types References
42_UK_UK_Approved_Document_A,Basis of structural design and loading:
43_UK_UK_Approved_Document_A,Eurocode: Basis of Structural Design
