id,text
0_UK_UK_Approved_Document_A,LOADING AND GROUND MOVEMENT The Requirements
2_UK_UK_Approved_Document_A,A1/2
3_UK_UK_Approved_Document_A,Requirement Loading
4_UK_UK_Approved_Document_A,Limits on application
6_UK_UK_Approved_Document_A,safely; and
9_UK_UK_Approved_Document_A,Ground movement
13_UK_UK_Approved_Document_A,5
17_UK_UK_Approved_Document_A,A1/2
18_UK_UK_Approved_Document_A,Guidance
27_UK_UK_Approved_Document_A,Loading.
31_UK_UK_Approved_Document_A,Safety factors.
32_UK_UK_Approved_Document_A,Workmanship.
36_UK_UK_Approved_Document_A,6
37_UK_UK_Approved_Document_A,Structure Approved Document AONLINE VERSIONONLINE VERSION A1/2
38_UK_UK_Approved_Document_A,"Section 1: Codes, standards and references for all building types"
39_UK_UK_Approved_Document_A,Introduction
41_UK_UK_Approved_Document_A,This section is relevant to all building types References
43_UK_UK_Approved_Document_A,Eurocode: Basis of Structural Design
44_UK_UK_Approved_Document_A,BS EN 1990:2002+A1:2005
45_UK_UK_Approved_Document_A,Eurocode – Basis of structural design; with UK National Annex to BS EN 1990:2002+A1:2005
46_UK_UK_Approved_Document_A,Eurocode 1: Actions on Structures
47_UK_UK_Approved_Document_A,"BS EN 1991-1-1:2002 Eurocode 1: Actions on structures – Part 1.1: General actions – Densities, self weight, imposed loads for buildings; with UK National Annex to BS EN 1991-1-1:2002"
48_UK_UK_Approved_Document_A,BSI PD 6688-1-1:2011 Published Document – Recommendations for the design of structures to BS EN 1991-1-1
49_UK_UK_Approved_Document_A,BS EN 1991-1-3:2003 Eurocode 1: Actions on structures – Part 1.3: General actions – Snow loads; with UK National Annex to BS EN 1991-1-
50_UK_UK_Approved_Document_A,3:2003
51_UK_UK_Approved_Document_A,BS EN 1991-1-4:2005+A1:2010 Eurocode 1: Actions on structures – Part 1.4: General actions – Wind actions; with UK National Annex to BS EN 1991-1-4:2005+A1:2010
52_UK_UK_Approved_Document_A,BSI PD 6688-1-4:2009 Published Document – Background information to the National Annex to BS EN 1991-1-4 and additional guidance
53_UK_UK_Approved_Document_A,BS EN 1991-1-5:2003 Eurocode 1: Actions on structures – Part 1.5: General actions – Thermal actions; with UK National Annex to BS EN 1991-
54_UK_UK_Approved_Document_A,1-5:2003
55_UK_UK_Approved_Document_A,BS EN 1991-1-6:2005 Eurocode 1: Actions on structures – Part 1.6: General actions – Actions during execution; with UK National Annex to BS EN 1996-1-6:2005
56_UK_UK_Approved_Document_A,BS EN 1991-1-7:2006 Eurocode 1: Actions on structures – Part 1.7: General actions – Accidental actions; with UK National Annex to BS EN 1991-1-7:2006
57_UK_UK_Approved_Document_A,BSI PD 6688-1-7:2009 Published Document – Recommendations for the design of structures to BS EN 1991-1-7
58_UK_UK_Approved_Document_A,BS EN 1991-3:2006 Eurocode 1: Actions on structures – Part 3: Actions induced by cranes and machinery; with UK National Annex to BS EN 1991-3:2006
60_UK_UK_Approved_Document_A,Eurocode 2: Design of Concrete Structures
61_UK_UK_Approved_Document_A,BS EN 1992-1-
62_UK_UK_Approved_Document_A,1:2004 Eurocode 2: Design of concrete structures – Part 1.1: General rules and rules for buildings; with UK National Annex to BS EN 1992-1-1:2004
63_UK_UK_Approved_Document_A,BSI PD 6687-1:2010 Published Document – Background paper to the UK National Annexes to BS EN 1992-1 and BS EN 1992-3
64_UK_UK_Approved_Document_A,BS EN 13670:2009 Execution of concrete structures
66_UK_UK_Approved_Document_A,Eurocode 3: Design of Steel Structures
67_UK_UK_Approved_Document_A,BS EN 1993-1-1:2005 Eurocode 3: Design of steel structures – Part 1.1: General rules and rules for buildings; with UK National Annex to BS EN 1993-1-1:2005
68_UK_UK_Approved_Document_A,BS EN 1993-1-3:2006 Eurocode 3: Design of steel structures – Part 1.3: General rules – Supplementary rules for cold-formed members and sheeting; with UK National Annex to BS EN 1993-1-3:2006
