id,text,text-fixed
1_UK_UK_Approved_Document_A,This Approved Document deals with the following Requirements which are contained in the Building Regulations 2010.,This Approved Document deals with the following Requirements which are contained in the Building Regulations 2010.
5_UK_UK_Approved_Document_A,"The building shall be constructed so that the combined dead, imposed and wind loads are sustained and transmitted by it to the ground:","The building shall be constructed so that the combined dead, imposed and wind loads are sustained and transmitted by it to the ground:"
7_UK_UK_Approved_Document_A,"without causing such deflection or deformation of any part of the building, or such movement of the ground, as will impair the stability of any part of another building.","without causing such deflection or deformation of any part of the building, or such movement of the ground, as will impair the stability of any part of another building."
8_UK_UK_Approved_Document_A,In assessing whether a building complies with sub-paragraph (1) regard shall be had to the imposed and wind loads to which it is likely to be subjected in the ordinary course of its use for the purpose for which it is intended.,In assessing whether a building complies with sub-paragraph (1) regard shall be had to the imposed and wind loads to which it is likely to be subjected in the ordinary course of its use for the purpose for which it is intended.
10_UK_UK_Approved_Document_A,The building shall be constructed so that ground movement caused by:,The building shall be constructed so that ground movement caused by:
11_UK_UK_Approved_Document_A,"swelling, shrinkage or freezing of the subsoil; or","swelling, shrinkage or freezing of the subsoil; or"
12_UK_UK_Approved_Document_A,"land-slip or subsidence (other than subsidence arising from shrinkage), in so far as the risk can be reasonably foreseen, will not impair the stability of any part of the building.","land-slip or subsidence (other than subsidence arising from shrinkage), in so far as the risk can be reasonably foreseen, will not impair the stability of any part of the building."
14_UK_UK_Approved_Document_A,Approved Document A StructureONLINE VERSIONONLINE VERSION 0.3 Grandstands and structures erected in places of public assembly may need to sustain the synchronous or rhythmic movement of numbers of people.,Grandstands and structures erected in places of public assembly may need to sustain the synchronous or rhythmic movement of numbers of people.
15_UK_UK_Approved_Document_A,It is important to ensure that the design of the structure takes these factors into account so as to avoid the structure being impaired or causing alarm to people using the structure.,It is important to ensure that the design of the structure takes these factors into account so as to avoid the structure being impaired or causing alarm to people using the structure.
16_UK_UK_Approved_Document_A,"Guidance on the design and testing of grandstands may be found in ‘Dynamic performance requirements for permanent grandstands subject to crowd action – Recommendations for management, design and assessment’ published by The Institution of Structural Engineers, December 2008.","Guidance on the design and testing of grandstands may be found in ‘Dynamic performance requirements for permanent grandstands subject to crowd action – Recommendations for management, design and assessment’ published by The Institution of Structural Engineers, December 2008."
19_UK_UK_Approved_Document_A,Introduction 0.1 In the Secretary of State’s view the requirements of A1 and A2 will be met by following the recommendations given in the documents listed in Section 1 or by adopting the guidance in Sections 2-4:,In the Secretary of State’s view the requirements of A1 and A2 will be met by following the recommendations given in the documents listed in Section 1 or by adopting the guidance in Sections 2-4:
20_UK_UK_Approved_Document_A,"Section 1 is relevant to all building types and lists Codes, Standards and other references for structural design and construction but, where they do not give precise guidance, consideration should be given to paragraph 0.2.","Section 1 is relevant to all building types and lists Codes, Standards and other references for structural design and construction but, where they do not give precise guidance, consideration should be given to paragraph 0.2."
21_UK_UK_Approved_Document_A,Section 2 give sizes of structural elements for certain residential buildings and other small buildings of traditional construction.,Section 2 give sizes of structural elements for certain residential buildings and other small buildings of traditional construction.
22_UK_UK_Approved_Document_A,Section 3 gives guidance on the support and fixing of wall cladding.,Section 3 gives guidance on the support and fixing of wall cladding.
23_UK_UK_Approved_Document_A,Section 4 gives guidance where roofs are to be re-covered as a material alteration as defined in the Regulations.,Section 4 gives guidance where roofs are to be re-covered as a material alteration as defined in the Regulations.
24_UK_UK_Approved_Document_A,"The safety of a structure depends on the 0.2 successful combination of design and completed construction, particularly:","The safety of a structure depends on the 0.2 successful combination of design and completed construction, particularly:"
25_UK_UK_Approved_Document_A,The design should be based on identification of the hazards to which the structure is likely to be subjected and assessment of the risks.,The design should be based on identification of the hazards to which the structure is likely to be subjected and assessment of the risks.
26_UK_UK_Approved_Document_A,The selection of relevant critical situations for design should be made reflecting the conditions that can reasonably be foreseen during future use.,The selection of relevant critical situations for design should be made reflecting the conditions that can reasonably be foreseen during future use.
28_UK_UK_Approved_Document_A,"Dead load, imposed load and wind load should be in accordance with the current Codes of practice referred to in Section 1 of this document.","Dead load, imposed load and wind load should be in accordance with the current Codes of practice referred to in Section 1 of this document."
29_UK_UK_Approved_Document_A,Properties of materials.,Properties of materials.
30_UK_UK_Approved_Document_A,Detailed design and assembly of the structure.,Detailed design and assembly of the structure.
33_UK_UK_Approved_Document_A,"The numeric values of safety factors, whether expressed explicitly or implicitly in design equations, or design values, should be derived from considerations of the above aspects of design and construction as a whole.","The numeric values of safety factors, whether expressed explicitly or implicitly in design equations, or design values, should be derived from considerations of the above aspects of design and construction as a whole."
34_UK_UK_Approved_Document_A,A change in any one of these aspects may disturb the safety of the structure.,A change in any one of these aspects may disturb the safety of the structure.
35_UK_UK_Approved_Document_A,"Loads used in calculations should allow for possible dynamic, concentrated and peak load effects that may occur.","Loads used in calculations should allow for possible dynamic, concentrated and peak load effects that may occur."
40_UK_UK_Approved_Document_A,"and lists codes, standards and other references for structural design and construction.","This section is relevant to all building types and lists codes, standards and other references for structural design and construction."
42_UK_UK_Approved_Document_A,Basis of structural design and loading:,Basis of structural design and loading:
59_UK_UK_Approved_Document_A,"Structural work of reinforced, 1.3 pre-stressed or plain concrete:","Structural work of reinforced, 1.3 pre-stressed or plain concrete:"
65_UK_UK_Approved_Document_A,Structural work of steel:,Structural work of steel:
86_UK_UK_Approved_Document_A,Structural work of composite steel and 1.5 concrete:,Structural work of composite steel and 1.5 concrete:
89_UK_UK_Approved_Document_A,Structural work of timber:,Structural work of timber:
95_UK_UK_Approved_Document_A,Structural work of masonry:,Structural work of masonry:
103_UK_UK_Approved_Document_A,Geotechnical work and foundations:,Geotechnical work and foundations:
115_UK_UK_Approved_Document_A,Structural work of aluminium:,Structural work of aluminium:
126_UK_UK_Approved_Document_A,"There may be known or recorded conditions of ground instability, such as that arising from landslides, disused mines or unstable strata which, if ignored, can have a devastating effect on the safety of a building and its environs.","There may be known or recorded conditions of ground instability, such as that arising from landslides, disused mines or unstable strata which, if ignored, can have a devastating effect on the safety of a building and its environs."
127_UK_UK_Approved_Document_A,Such conditions should be taken into account in the design of the building and its foundations.,Such conditions should be taken into account in the design of the building and its foundations.
128_UK_UK_Approved_Document_A,"Attention is drawn to DOE Planning Policy Guidance Note 14 Development on unstable land (obtainable from The Stationery Office), which sets out the broad planning and technical issues relating to development on unstable land.","Attention is drawn to DOE Planning Policy Guidance Note 14 Development on unstable land (obtainable from The Stationery Office), which sets out the broad planning and technical issues relating to development on unstable land."
129_UK_UK_Approved_Document_A,"The Department has also sponsored a series of reviews aimed at determining the scale and nature of problems arising from mining instability, natural underground cavities and adverse foundation conditions.","The Department has also sponsored a series of reviews aimed at determining the scale and nature of problems arising from mining instability, natural underground cavities and adverse foundation conditions."
130_UK_UK_Approved_Document_A,"Databases of both subsidence incidents and subsidence potential produced from these reviews are available from the following licence holders: British Geological Survey, Sir Kingsley Dunham Centre, Keyworth, Nottingham NG12 5GG.","Databases of both subsidence incidents and subsidence potential produced from these reviews are available from the following licence holders: British Geological Survey, Sir Kingsley Dunham Centre, Keyworth, Nottingham NG12 5GG."
131_UK_UK_Approved_Document_A,"Landmark, 7 Abbey Court, Eagle Way, Exeter, Devon EX2 7HY.","Landmark, 7 Abbey Court, Eagle Way, Exeter, Devon EX2 7HY."
132_UK_UK_Approved_Document_A,"Peter Brett Associates, 16 Westcote Road, Reading, Berkshire RG20 2DE.","Peter Brett Associates, 16 Westcote Road, Reading, Berkshire RG20 2DE."
133_UK_UK_Approved_Document_A,"Catalytic Data Ltd, The Spinney, 19 Woodlands Road, Bickley, Kent BRI 2AD.","Catalytic Data Ltd, The Spinney, 19 Woodlands Road, Bickley, Kent BRI 2AD."
134_UK_UK_Approved_Document_A,"The reports from these reviews, which include 1:250,000 scale maps showing the distribution of the physical constraints, are available from the following organisations:","The reports from these reviews, which include 1:250,000 scale maps showing the distribution of the physical constraints, are available from the following organisations:"
136_UK_UK_Approved_Document_A,Review of mining instability in Great Britain.,Review of mining instability in Great Britain.
137_UK_UK_Approved_Document_A,"Obtainable from Arup Geotechnics, Bede House, All Saints, Newcastle-upon-Tyne NE1 2EB.","Obtainable from Arup Geotechnics, Bede House, All Saints, Newcastle-upon-Tyne NE1 2EB."
138_UK_UK_Approved_Document_A,"Applied Geology Ltd, 1994.","Applied Geology Ltd, 1994."
139_UK_UK_Approved_Document_A,Review of instability due to natural underground cavities in Great Britain.,Review of instability due to natural underground cavities in Great Britain.
140_UK_UK_Approved_Document_A,"Obtainable from Kennedy & Donkin Ltd, 14 Calthorpe Road, Edgbaston, Birmingham B15 1TH.","Obtainable from Kennedy & Donkin Ltd, 14 Calthorpe Road, Edgbaston, Birmingham B15 1TH."
141_UK_UK_Approved_Document_A,"Wimpey Environmental Ltd, and National House Building Council, 1995.","Wimpey Environmental Ltd, and National House Building Council, 1995."
142_UK_UK_Approved_Document_A,"Foundation conditions in Great Britain, a guide for planners and developers.","Foundation conditions in Great Britain, a guide for planners and developers."
143_UK_UK_Approved_Document_A,"Obtainable from ESNR International Ltd, 16 Frogmore Road, Hemel Hempstead, Hertfordshire HP3 9RW.","Obtainable from ESNR International Ltd, 16 Frogmore Road, Hemel Hempstead, Hertfordshire HP3 9RW."
145_UK_UK_Approved_Document_A,"Compliance with Part A (Structure) is required in certain classes of change of use of a building, subject to the control of Regulations 5 and 6.","Compliance with Part A (Structure) is required in certain classes of change of use of a building, subject to the control of Regulations 5 and 6."
146_UK_UK_Approved_Document_A,Guidance relevant to structural appraisals related to ‘change of use’ is given in the following documents:,Guidance relevant to structural appraisals related to ‘change of use’ is given in the following documents:
