id,text
0_UK_UK_Approved_Document_B_vol_1,Section 1: Fire detection and alarm systems
1_UK_UK_Approved_Document_B_vol_1,General provisions
2_UK_UK_Approved_Document_B_vol_1,"All dwellings should have a fire detection and alarm system, minimum Grade D2 Category LD3 standard, in accordance with the relevant recommendations of BS 5839-6."
3_UK_UK_Approved_Document_B_vol_1,A higher standard of protection should be considered where occupants of a proposed dwelling would be at special risk from fire.
4_UK_UK_Approved_Document_B_vol_1,Further advice on this is also given in BS 5839-6.
5_UK_UK_Approved_Document_B_vol_1,Smoke alarms should be mains operated and conform to BS EN 14604.
6_UK_UK_Approved_Document_B_vol_1,Heat alarms should be mains operated and conform to BS 5446-2.
7_UK_UK_Approved_Document_B_vol_1,"Smoke and heat alarms should have a standby power supply, such as a battery (rechargeable or non-rechargeable) or capacitor."
8_UK_UK_Approved_Document_B_vol_1,More information on power supplies is given in clause 15 of BS 5839-6.
9_UK_UK_Approved_Document_B_vol_1,NOTE:
10_UK_UK_Approved_Document_B_vol_1,The term ‘fire alarm system’ describes the combination of components for giving an audible and/or other perceptible warning of fire.
11_UK_UK_Approved_Document_B_vol_1,NOTE:
12_UK_UK_Approved_Document_B_vol_1,"In this document, the term ‘fire detection system’ describes any type of automatic sensor network and associated control and indicating equipment."
13_UK_UK_Approved_Document_B_vol_1,"Sensors may be sensitive to smoke, heat, gaseous combustion products or radiation."
14_UK_UK_Approved_Document_B_vol_1,Automatic sprinkler systems can also be used to operate a fire alarm system.
15_UK_UK_Approved_Document_B_vol_1,Large dwellinghouses
16_UK_UK_Approved_Document_B_vol_1,"A large dwellinghouse has more than one storey, and at least one storey exceeds 200m2."
17_UK_UK_Approved_Document_B_vol_1,"A large dwellinghouse of two storeys (excluding basement storeys) should be fitted with a Grade A Category LD3 fire detection and alarm system, as described in BS 5839-6."
18_UK_UK_Approved_Document_B_vol_1,A large dwellinghouse of three or more storeys (excluding basement storeys) should be fitted with a Grade A Category LD2 fire detection and alarm system as described in BS 5839-6.
19_UK_UK_Approved_Document_B_vol_1,Extensions and material alterations
20_UK_UK_Approved_Document_B_vol_1,A fire detection and alarm system should be installed where either of the following applies.
21_UK_UK_Approved_Document_B_vol_1,A new habitable room is provided above or below the ground storey.
22_UK_UK_Approved_Document_B_vol_1,"A new habitable room is provided at the ground storey, without a final exit."
23_UK_UK_Approved_Document_B_vol_1,Smoke alarms should be provided in the circulation spaces of the dwelling in accordance with paragraphs 1.1 to 1.4.
24_UK_UK_Approved_Document_B_vol_1,"Building Regulations 2010 Approved Document B Volume 1, 2019 edition 9"
25_UK_UK_Approved_Document_B_vol_1,B1ONLINE
26_UK_UK_Approved_Document_B_vol_1,VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION Blocks of flats
27_UK_UK_Approved_Document_B_vol_1,Each flat in a block should have alarms as set out in paragraphs 1.1 to 1.4.
28_UK_UK_Approved_Document_B_vol_1,"With effective compartmentation, a communal fire alarm system is not normally needed."
29_UK_UK_Approved_Document_B_vol_1,"In some buildings, detectors in common parts of the building may need to operate smoke control or other fire protection systems but do not usually sound an audible warning."
30_UK_UK_Approved_Document_B_vol_1,Student accommodation
31_UK_UK_Approved_Document_B_vol_1,"In student residences that are designed and occupied as a block of flats, separate automatic detection should be provided in each self-contained flat where all of the following apply."
32_UK_UK_Approved_Document_B_vol_1,A group of up to six students shares the flat.
33_UK_UK_Approved_Document_B_vol_1,Each flat has its own entrance door.
34_UK_UK_Approved_Document_B_vol_1,The compartmentation principles for flats in Section 7 have been followed.
35_UK_UK_Approved_Document_B_vol_1,"Where a total evacuation strategy is adopted, the alarm system should follow the guidance for buildings other than dwellings in Volume 2 of Approved Document B."
36_UK_UK_Approved_Document_B_vol_1,Sheltered housing
37_UK_UK_Approved_Document_B_vol_1,The fire detection and alarm systems in flats should connect to a central monitoring point or alarm receiving centre.
38_UK_UK_Approved_Document_B_vol_1,The systems should alert the warden or supervisor and identify the individual flat where a fire has been detected.
39_UK_UK_Approved_Document_B_vol_1,These provisions do not apply to the following.
40_UK_UK_Approved_Document_B_vol_1,"The common parts of a sheltered housing development, such as communal lounges."
