id,text,text-fixed
2_UK_UK_Approved_Document_B_vol_1,"All dwellings should have a fire detection and alarm system, minimum Grade D2 Category LD3 standard, in accordance with the relevant recommendations of BS 5839-6.","All dwellings should have a fire detection and alarm system, minimum Grade D2 Category LD3 standard, in accordance with the relevant recommendations of BS 5839-6."
3_UK_UK_Approved_Document_B_vol_1,A higher standard of protection should be considered where occupants of a proposed dwelling would be at special risk from fire.,A higher standard of protection should be considered where occupants of a proposed dwelling would be at special risk from fire.
4_UK_UK_Approved_Document_B_vol_1,Further advice on this is also given in BS 5839-6.,Further advice on this is also given in BS 5839-6.
5_UK_UK_Approved_Document_B_vol_1,Smoke alarms should be mains operated and conform to BS EN 14604.,Smoke alarms should be mains operated and conform to BS EN 14604.
6_UK_UK_Approved_Document_B_vol_1,Heat alarms should be mains operated and conform to BS 5446-2.,Heat alarms should be mains operated and conform to BS 5446-2.
7_UK_UK_Approved_Document_B_vol_1,"Smoke and heat alarms should have a standby power supply, such as a battery (rechargeable or non-rechargeable) or capacitor.","Smoke and heat alarms should have a standby power supply, such as a battery (rechargeable or non-rechargeable) or capacitor."
8_UK_UK_Approved_Document_B_vol_1,More information on power supplies is given in clause 15 of BS 5839-6.,More information on power supplies is given in clause 15 of BS 5839-6.
10_UK_UK_Approved_Document_B_vol_1,The term ‘fire alarm system’ describes the combination of components for giving an audible and/or other perceptible warning of fire.,The term ‘fire alarm system’ describes the combination of components for giving an audible and/or other perceptible warning of fire.
12_UK_UK_Approved_Document_B_vol_1,"In this document, the term ‘fire detection system’ describes any type of automatic sensor network and associated control and indicating equipment.","In this document, the term ‘fire detection system’ describes any type of automatic sensor network and associated control and indicating equipment."
13_UK_UK_Approved_Document_B_vol_1,"Sensors may be sensitive to smoke, heat, gaseous combustion products or radiation.","Sensors may be sensitive to smoke, heat, gaseous combustion products or radiation."
14_UK_UK_Approved_Document_B_vol_1,Automatic sprinkler systems can also be used to operate a fire alarm system.,Automatic sprinkler systems can also be used to operate a fire alarm system.
16_UK_UK_Approved_Document_B_vol_1,"A large dwellinghouse has more than one storey, and at least one storey exceeds 200m2.","A large dwellinghouse has more than one storey, and at least one storey exceeds 200m2."
17_UK_UK_Approved_Document_B_vol_1,"A large dwellinghouse of two storeys (excluding basement storeys) should be fitted with a Grade A Category LD3 fire detection and alarm system, as described in BS 5839-6.","A large dwellinghouse of two storeys (excluding basement storeys) should be fitted with a Grade A Category LD3 fire detection and alarm system, as described in BS 5839-6."
18_UK_UK_Approved_Document_B_vol_1,A large dwellinghouse of three or more storeys (excluding basement storeys) should be fitted with a Grade A Category LD2 fire detection and alarm system as described in BS 5839-6.,A large dwellinghouse of three or more storeys (excluding basement storeys) should be fitted with a Grade A Category LD2 fire detection and alarm system as described in BS 5839-6.
20_UK_UK_Approved_Document_B_vol_1,A fire detection and alarm system should be installed where either of the following applies.,A fire detection and alarm system should be installed where either of the following applies.
21_UK_UK_Approved_Document_B_vol_1,A new habitable room is provided above or below the ground storey.,A new habitable room is provided above or below the ground storey.
22_UK_UK_Approved_Document_B_vol_1,"A new habitable room is provided at the ground storey, without a final exit.","A new habitable room is provided at the ground storey, without a final exit."
23_UK_UK_Approved_Document_B_vol_1,Smoke alarms should be provided in the circulation spaces of the dwelling in accordance with paragraphs 1.1 to 1.4.,Smoke alarms should be provided in the circulation spaces of the dwelling in accordance with paragraphs 1.1 to 1.4.
27_UK_UK_Approved_Document_B_vol_1,Each flat in a block should have alarms as set out in paragraphs 1.1 to 1.4.,Each flat in a block should have alarms as set out in paragraphs 1.1 to 1.4.
28_UK_UK_Approved_Document_B_vol_1,"With effective compartmentation, a communal fire alarm system is not normally needed.","With effective compartmentation, a communal fire alarm system is not normally needed."
29_UK_UK_Approved_Document_B_vol_1,"In some buildings, detectors in common parts of the building may need to operate smoke control or other fire protection systems but do not usually sound an audible warning.","In some buildings, detectors in common parts of the building may need to operate smoke control or other fire protection systems but do not usually sound an audible warning."
31_UK_UK_Approved_Document_B_vol_1,"In student residences that are designed and occupied as a block of flats, separate automatic detection should be provided in each self-contained flat where all of the following apply.","In student residences that are designed and occupied as a block of flats, separate automatic detection should be provided in each self-contained flat where all of the following apply."
32_UK_UK_Approved_Document_B_vol_1,A group of up to six students shares the flat.,A group of up to six students shares the flat.
33_UK_UK_Approved_Document_B_vol_1,Each flat has its own entrance door.,Each flat has its own entrance door.
34_UK_UK_Approved_Document_B_vol_1,The compartmentation principles for flats in Section 7 have been followed.,The compartmentation principles for flats in Section 7 have been followed.
35_UK_UK_Approved_Document_B_vol_1,"Where a total evacuation strategy is adopted, the alarm system should follow the guidance for buildings other than dwellings in Volume 2 of Approved Document B.","Where a total evacuation strategy is adopted, the alarm system should follow the guidance for buildings other than dwellings in Volume 2 of Approved Document B."
37_UK_UK_Approved_Document_B_vol_1,The fire detection and alarm systems in flats should connect to a central monitoring point or alarm receiving centre.,The fire detection and alarm systems in flats should connect to a central monitoring point or alarm receiving centre.
38_UK_UK_Approved_Document_B_vol_1,The systems should alert the warden or supervisor and identify the individual flat where a fire has been detected.,The systems should alert the warden or supervisor and identify the individual flat where a fire has been detected.
39_UK_UK_Approved_Document_B_vol_1,These provisions do not apply to the following.,These provisions do not apply to the following.
40_UK_UK_Approved_Document_B_vol_1,"The common parts of a sheltered housing development, such as communal lounges.","The common parts of a sheltered housing development, such as communal lounges."
41_UK_UK_Approved_Document_B_vol_1,Sheltered accommodation in the 'residential (institutional)' or 'residential (other)' purpose groups (purpose group 2(a) or 2(b)).,Sheltered accommodation in the 'residential (institutional)' or 'residential (other)' purpose groups (purpose group 2(a) or 2(b)).
42_UK_UK_Approved_Document_B_vol_1,"In these parts, means of warning should follow the guidance for buildings other than dwellings in Volume 2 of Approved Document B.","In these parts, means of warning should follow the guidance for buildings other than dwellings in Volume 2 of Approved Document B."
44_UK_UK_Approved_Document_B_vol_1,"Fire detection and alarm systems must be properly designed, installed and maintained.","Fire detection and alarm systems must be properly designed, installed and maintained."
45_UK_UK_Approved_Document_B_vol_1,"A design, installation and commissioning certificate should be provided for fire detection and alarm systems.","A design, installation and commissioning certificate should be provided for fire detection and alarm systems."
46_UK_UK_Approved_Document_B_vol_1,"Third party certification schemes for fire protection products and related services are an effective means of providing assurances of quality, reliability and safety.","Third party certification schemes for fire protection products and related services are an effective means of providing assurances of quality, reliability and safety."
48_UK_UK_Approved_Document_B_vol_1,Fire detection and alarm systems sometimes trigger other systems.,Fire detection and alarm systems sometimes trigger other systems.
49_UK_UK_Approved_Document_B_vol_1,The interface between systems must be reliable.,The interface between systems must be reliable.
50_UK_UK_Approved_Document_B_vol_1,Particular care should be taken if the interface is facilitated via another system.,Particular care should be taken if the interface is facilitated via another system.
51_UK_UK_Approved_Document_B_vol_1,"Where any part of BS 7273 applies to the triggering of other systems, the recommendations of that part of BS 7273 should be followed.","Where any part of BS 7273 applies to the triggering of other systems, the recommendations of that part of BS 7273 should be followed."
56_UK_UK_Approved_Document_B_vol_1,See Diagram 2.1a.,See Diagram 2.1a.
57_UK_UK_Approved_Document_B_vol_1,All habitable rooms (excluding kitchens) should have either of the following.,All habitable rooms (excluding kitchens) should have either of the following.
58_UK_UK_Approved_Document_B_vol_1,An opening directly onto a hall leading to a final exit.,An opening directly onto a hall leading to a final exit.
59_UK_UK_Approved_Document_B_vol_1,"An emergency escape window or door, as described in paragraph 2.10.","An emergency escape window or door, as described in paragraph 2.10."
61_UK_UK_Approved_Document_B_vol_1,See Diagram 2.1b.,See Diagram 2.1b.
62_UK_UK_Approved_Document_B_vol_1,"Where served by only one stair, all habitable rooms (excluding kitchens) should have either of the following.","Where served by only one stair, all habitable rooms (excluding kitchens) should have either of the following."
63_UK_UK_Approved_Document_B_vol_1,"An emergency escape window or external door, as described in paragraph 2.10.","An emergency escape window or external door, as described in paragraph 2.10."
64_UK_UK_Approved_Document_B_vol_1,"Direct access to a protected stairway, as described in paragraph 2.5a.","Direct access to a protected stairway, as described in paragraph 2.5a."
65_UK_UK_Approved_Document_B_vol_1,Two rooms may be served by a single window.,Two rooms may be served by a single window.
