id,text
0_UK_UK_Approved_Document_B_vol_2,Section 1: Fire detection and alarm systems
1_UK_UK_Approved_Document_B_vol_2,General provisions
6_UK_UK_Approved_Document_B_vol_2,Fire detection and alarm systems
10_UK_UK_Approved_Document_B_vol_2,NOTE:
12_UK_UK_Approved_Document_B_vol_2,NOTE:
25_UK_UK_Approved_Document_B_vol_2,"Building Regulations 2010 Approved Document B Volume 2, 2019 edition 9"
26_UK_UK_Approved_Document_B_vol_2,B1ONLINE
46_UK_UK_Approved_Document_B_vol_2,See paragraph 3.21.
48_UK_UK_Approved_Document_B_vol_2,Warnings for people with impaired hearing
52_UK_UK_Approved_Document_B_vol_2,"Approved Document B Volume 2, 2019 edition Building Regulations 2010"
53_UK_UK_Approved_Document_B_vol_2,B1ONLINE
54_UK_UK_Approved_Document_B_vol_2,VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION Design and installation of systems
58_UK_UK_Approved_Document_B_vol_2,Interface between fire detection and alarm systems and other systems
68_UK_UK_Approved_Document_B_vol_2,"Building Regulations 2010 Approved Document B Volume 2, 2019 edition 11"
69_UK_UK_Approved_Document_B_vol_2,B1ONLINE
70_UK_UK_Approved_Document_B_vol_2,VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION B1
71_UK_UK_Approved_Document_B_vol_2,Section 2: Design for horizontal escape Introduction
77_UK_UK_Approved_Document_B_vol_2,Escape route design
78_UK_UK_Approved_Document_B_vol_2,Number of escape routes and exits
85_UK_UK_Approved_Document_B_vol_2,"Approved Document B Volume 2, 2019 edition Building Regulations 2010"
86_UK_UK_Approved_Document_B_vol_2,B1ONLINE
87_UK_UK_Approved_Document_B_vol_2,VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION B1
88_UK_UK_Approved_Document_B_vol_2,Single escape routes and exits
100_UK_UK_Approved_Document_B_vol_2,See para 2.7
101_UK_UK_Approved_Document_B_vol_2,See para 2.7
102_UK_UK_Approved_Document_B_vol_2,A
103_UK_UK_Approved_Document_B_vol_2,Exit
104_UK_UK_Approved_Document_B_vol_2,45° min.
105_UK_UK_Approved_Document_B_vol_2,B
106_UK_UK_Approved_Document_B_vol_2,C
107_UK_UK_Approved_Document_B_vol_2,D
108_UK_UK_Approved_Document_B_vol_2,Exit
109_UK_UK_Approved_Document_B_vol_2,Travel distance in a dead-end condition
112_UK_UK_Approved_Document_B_vol_2,Distance CBA or CBD (whichever is less)
113_UK_UK_Approved_Document_B_vol_2,should be no more than the maximum travel
115_UK_UK_Approved_Document_B_vol_2,Distance CB should be no more than the maximum travel distance where there are no
117_UK_UK_Approved_Document_B_vol_2,Diagram 2.1 Travel distance in dead-end condition
118_UK_UK_Approved_Document_B_vol_2,"Building Regulations 2010 Approved Document B Volume 2, 2019 edition 13"
119_UK_UK_Approved_Document_B_vol_2,B1ONLINE
120_UK_UK_Approved_Document_B_vol_2,VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION Purpose group Use of the premises or part of the premises
121_UK_UK_Approved_Document_B_vol_2,2(a) 2(b) 3
122_UK_UK_Approved_Document_B_vol_2,4
123_UK_UK_Approved_Document_B_vol_2,5
124_UK_UK_Approved_Document_B_vol_2,2–7 2–7
125_UK_UK_Approved_Document_B_vol_2,Residential (institutional)
126_UK_UK_Approved_Document_B_vol_2,Residential (other): a. in bedrooms(2)
127_UK_UK_Approved_Document_B_vol_2,in bedroom corridors
128_UK_UK_Approved_Document_B_vol_2,elsewhere
129_UK_UK_Approved_Document_B_vol_2,Office
130_UK_UK_Approved_Document_B_vol_2,Shop and commercial
132_UK_UK_Approved_Document_B_vol_2,buildings primarily for disabled people
133_UK_UK_Approved_Document_B_vol_2,areas with seating in rows
134_UK_UK_Approved_Document_B_vol_2,elsewhere
135_UK_UK_Approved_Document_B_vol_2,Industrial(3)
136_UK_UK_Approved_Document_B_vol_2,Storage and other non-residential(3)
138_UK_UK_Approved_Document_B_vol_2,distance within the room
139_UK_UK_Approved_Document_B_vol_2,escape route not in open air (overall travel distance)
140_UK_UK_Approved_Document_B_vol_2,escape route in open air (overall travel distance)
141_UK_UK_Approved_Document_B_vol_2,Normal hazard
142_UK_UK_Approved_Document_B_vol_2,Higher hazard
143_UK_UK_Approved_Document_B_vol_2,Normal hazard
144_UK_UK_Approved_Document_B_vol_2,Higher hazard
146_UK_UK_Approved_Document_B_vol_2,One direction only (m)
147_UK_UK_Approved_Document_B_vol_2,More than one direction (m)
148_UK_UK_Approved_Document_B_vol_2,9
149_UK_UK_Approved_Document_B_vol_2,9
150_UK_UK_Approved_Document_B_vol_2,18
151_UK_UK_Approved_Document_B_vol_2,18
152_UK_UK_Approved_Document_B_vol_2,9
153_UK_UK_Approved_Document_B_vol_2,15
154_UK_UK_Approved_Document_B_vol_2,18
155_UK_UK_Approved_Document_B_vol_2,9(5) 9
156_UK_UK_Approved_Document_B_vol_2,18
157_UK_UK_Approved_Document_B_vol_2,60
158_UK_UK_Approved_Document_B_vol_2,18
159_UK_UK_Approved_Document_B_vol_2,18
160_UK_UK_Approved_Document_B_vol_2,35
161_UK_UK_Approved_Document_B_vol_2,35
162_UK_UK_Approved_Document_B_vol_2,45
163_UK_UK_Approved_Document_B_vol_2,45
164_UK_UK_Approved_Document_B_vol_2,18
165_UK_UK_Approved_Document_B_vol_2,32
166_UK_UK_Approved_Document_B_vol_2,45
167_UK_UK_Approved_Document_B_vol_2,45
168_UK_UK_Approved_Document_B_vol_2,25
169_UK_UK_Approved_Document_B_vol_2,45
170_UK_UK_Approved_Document_B_vol_2,25
171_UK_UK_Approved_Document_B_vol_2,18(5)
172_UK_UK_Approved_Document_B_vol_2,35
173_UK_UK_Approved_Document_B_vol_2,45
174_UK_UK_Approved_Document_B_vol_2,100
175_UK_UK_Approved_Document_B_vol_2,NOTES:
196_UK_UK_Approved_Document_B_vol_2,"Approved Document B Volume 2, 2019 edition Building Regulations 2010"
197_UK_UK_Approved_Document_B_vol_2,B1Table 2.1 Limitations on travel distanceONLINE VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION Access control measures
200_UK_UK_Approved_Document_B_vol_2,Number of occupants and exits
206_UK_UK_Approved_Document_B_vol_2,Maximum number of people
207_UK_UK_Approved_Document_B_vol_2,Minimum number of escape routes/exits
208_UK_UK_Approved_Document_B_vol_2,60
209_UK_UK_Approved_Document_B_vol_2,600
210_UK_UK_Approved_Document_B_vol_2,More than 600
211_UK_UK_Approved_Document_B_vol_2,1
212_UK_UK_Approved_Document_B_vol_2,2
213_UK_UK_Approved_Document_B_vol_2,3
214_UK_UK_Approved_Document_B_vol_2,Alternative escape routes
218_UK_UK_Approved_Document_B_vol_2,See para 2.10
219_UK_UK_Approved_Document_B_vol_2,See para 2.10
220_UK_UK_Approved_Document_B_vol_2,A
221_UK_UK_Approved_Document_B_vol_2,B
222_UK_UK_Approved_Document_B_vol_2,< 45°
223_UK_UK_Approved_Document_B_vol_2,E
224_UK_UK_Approved_Document_B_vol_2,D
225_UK_UK_Approved_Document_B_vol_2,Alternative escape routes are available from C because angle ACB
227_UK_UK_Approved_Document_B_vol_2,Alternative escape routes are not available from D because angle
230_UK_UK_Approved_Document_B_vol_2,> 45°
231_UK_UK_Approved_Document_B_vol_2,C
232_UK_UK_Approved_Document_B_vol_2,Diagram 2.2 Alternative escape routes
233_UK_UK_Approved_Document_B_vol_2,Inner rooms
236_UK_UK_Approved_Document_B_vol_2,"Building Regulations 2010 Approved Document B Volume 2, 2019 edition 15"
238_UK_UK_Approved_Document_B_vol_2,people for ‘residential (institutional)’ buildings (purpose group 2(a))
251_UK_UK_Approved_Document_B_vol_2,See para 2.11
252_UK_UK_Approved_Document_B_vol_2,See para 2.11
253_UK_UK_Approved_Document_B_vol_2,Arrangement A
254_UK_UK_Approved_Document_B_vol_2,Arrangement B
255_UK_UK_Approved_Document_B_vol_2,Exit
256_UK_UK_Approved_Document_B_vol_2,Exit
257_UK_UK_Approved_Document_B_vol_2,Access room
258_UK_UK_Approved_Document_B_vol_2,Inner room
259_UK_UK_Approved_Document_B_vol_2,NOTES:
262_UK_UK_Approved_Document_B_vol_2,Room with
263_UK_UK_Approved_Document_B_vol_2,alternative
264_UK_UK_Approved_Document_B_vol_2,exits
265_UK_UK_Approved_Document_B_vol_2,Exit
266_UK_UK_Approved_Document_B_vol_2,Diagram 2.3 Inner room and access room
267_UK_UK_Approved_Document_B_vol_2,Planning of exits in a central core
269_UK_UK_Approved_Document_B_vol_2,"Approved Document B Volume 2, 2019 edition Building Regulations 2010"
270_UK_UK_Approved_Document_B_vol_2,B1ONLINE
271_UK_UK_Approved_Document_B_vol_2,VERSIONONLINE VERSIONONLINE VERSIONONLINE VERSION Open spatial planning
275_UK_UK_Approved_Document_B_vol_2,A
276_UK_UK_Approved_Document_B_vol_2,NOTE:
279_UK_UK_Approved_Document_B_vol_2,Lift
280_UK_UK_Approved_Document_B_vol_2,L
282_UK_UK_Approved_Document_B_vol_2,S
283_UK_UK_Approved_Document_B_vol_2,Self-closing E 20 Sa ﬁre doorsets
284_UK_UK_Approved_Document_B_vol_2,Fd
285_UK_UK_Approved_Document_B_vol_2,Fda
286_UK_UK_Approved_Document_B_vol_2,Possible alternative position for ﬁre doorset
