id,text
0_UK_UK_Approved_Document_C,C
1_UK_UK_Approved_Document_C,Paragraphs H2 and J7 are excluded from Regulation 8 because they deal directly with prevention of the contamination of water.
2_UK_UK_Approved_Document_C,"Parts E and M (which deal, respectively, with resistance to the passage of sound, and access to and use of buildings) are excluded from Regulation 8 because they address the welfare and convenience of building users."
3_UK_UK_Approved_Document_C,Part L is excluded from Regulation 8 because it addresses the conservation of fuel and power.
4_UK_UK_Approved_Document_C,"All these matters are amongst the purposes, other than health and safety, that may be addressed by Building Regulations."
5_UK_UK_Approved_Document_C,MATERIALS AND WORkMANSHIP
6_UK_UK_Approved_Document_C,Any building work which is subject to the requirements imposed by Schedule 1 to the Building Regulations shall be carried out in accordance with regulation 7. Guidance on meeting these requirements on materials and workmanship is contained in Approved Document 7.
7_UK_UK_Approved_Document_C,"Building Regulations are made for specific purposes, primarily the health and safety, welfare and convenience of people and for energy conservation."
8_UK_UK_Approved_Document_C,Standards and other technical specifications may provide relevant guidance to the extent that they relate to these considerations.
9_UK_UK_Approved_Document_C,"However, they may also address other aspects of performance or matters which, although they relate to health and safety etc., are not covered by the Building Regulations."
10_UK_UK_Approved_Document_C,"When an Approved Document makes reference to a named standard, the relevant version of the standard to which it refers is the one listed at the end of the publication."
11_UK_UK_Approved_Document_C,"However, if this version has been revised or updated by the issuing standards body, the new version may be used as a source of guidance provided it continues to address the relevant requirements of the Regulations."
12_UK_UK_Approved_Document_C,Use of guidance
13_UK_UK_Approved_Document_C,THE APPROVED DOCUMENTS
14_UK_UK_Approved_Document_C,This document is one of a series that has been approved by the First Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 to and Regulation 7 of the Building Regulations 2010 (SI 2010/2214) for England and Wales.
15_UK_UK_Approved_Document_C,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
16_UK_UK_Approved_Document_C,Approved Documents are intended to provide guidance for some of the more common building situations.
17_UK_UK_Approved_Document_C,"However, there may well be alternative ways of achieving compliance with the requirements."
18_UK_UK_Approved_Document_C,Thus there is no obligation to adopt any particular solution contained in an Approved Document if you prefer to meet the relevant requirement in some other way.
19_UK_UK_Approved_Document_C,Other requirements
20_UK_UK_Approved_Document_C,The guidance contained in an Approved Document relates only to the particular requirements of the Regulations which the document addresses.
21_UK_UK_Approved_Document_C,The building work will also have to comply with the Requirements of any other relevant paragraphs in Schedule 1 to the Regulations.
22_UK_UK_Approved_Document_C,There are Approved Documents which give guidance on each of the Parts of Schedule 1 and on Regulation 7.
23_UK_UK_Approved_Document_C,LIMITATION ON REQUIREMENTS
24_UK_UK_Approved_Document_C,"In accordance with Regulation 8, the requirements in Part C of Schedule 1 to the Building Regulations do not require anything to be done except for the purpose of securing reasonable standards of health and safety for persons in or about buildings (and any others who may be affected by buildings or matters connected with buildings)."
25_UK_UK_Approved_Document_C,"The requirements in Part C address health and safety, and do not seek to protect the building fabric for its own sake."
26_UK_UK_Approved_Document_C,Thus the degree of precautions needed to comply with Part C will be influenced by the intended use of the building.
