id,text
0_UK_UK_Approved_Document_C,C
5_UK_UK_Approved_Document_C,MATERIALS AND WORkMANSHIP
12_UK_UK_Approved_Document_C,Use of guidance
13_UK_UK_Approved_Document_C,THE APPROVED DOCUMENTS
19_UK_UK_Approved_Document_C,Other requirements
23_UK_UK_Approved_Document_C,LIMITATION ON REQUIREMENTS
28_UK_UK_Approved_Document_C,3
29_UK_UK_Approved_Document_C,Approved Document C Site preparation and resistance to contaminants and moistureONLINE VERSIONONLINE VERSION C USE OF GUIDANCE
30_UK_UK_Approved_Document_C,OTHER HEALTH AND SAFETY LEGISLATION
37_UK_UK_Approved_Document_C,4
38_UK_UK_Approved_Document_C,Site preparation and resistance to contaminants and moisture Approved Document CONLINE VERSIONONLINE VERSION SITE PREPARATION AND RESISTANCE TO CONTAMINANTS AND MOISTURE The Requirements
40_UK_UK_Approved_Document_C,Requirement Limits on application
41_UK_UK_Approved_Document_C,Site preparation and resistance to contaminants and moisture
49_UK_UK_Approved_Document_C,Resistance to moisture
51_UK_UK_Approved_Document_C,ground moisture;
55_UK_UK_Approved_Document_C,C
56_UK_UK_Approved_Document_C,5
57_UK_UK_Approved_Document_C,Approved Document C Site preparation and resistance to contaminants and moistureONLINE VERSIONONLINE VERSION C SITE PREPARATION AND RESISTANCE TO CONTAMINANTS AND MOISTURE
58_UK_UK_Approved_Document_C,MATERIAL CHANGE OF USE
67_UK_UK_Approved_Document_C,Interpretation (Regulation 2)
69_UK_UK_Approved_Document_C,Meaning of material change of use (Regulation 5)
81_UK_UK_Approved_Document_C,Requirements relating to material change of use (Regulation 6)
84_UK_UK_Approved_Document_C,(means of warning and escape)
85_UK_UK_Approved_Document_C,(internal fire spread – linings)
86_UK_UK_Approved_Document_C,(internal fire spread – structure)
87_UK_UK_Approved_Document_C,(external fire spread – roofs)
88_UK_UK_Approved_Document_C,(access and facilities for the fire service)
89_UK_UK_Approved_Document_C,(interstitial and surface condensation)
90_UK_UK_Approved_Document_C,(ventilation)
91_UK_UK_Approved_Document_C,(cold water supply)
92_UK_UK_Approved_Document_C,to (3) (hot water supply and systems)
93_UK_UK_Approved_Document_C,(sanitary conveniences)
94_UK_UK_Approved_Document_C,(bathrooms)
95_UK_UK_Approved_Document_C,(kitchens and good preparation areas)
96_UK_UK_Approved_Document_C,(foul water drainage)
97_UK_UK_Approved_Document_C,(solid waste storage)
98_UK_UK_Approved_Document_C,to J4 (combustion appliances)
100_UK_UK_Approved_Document_C,(electrical safety);
102_UK_UK_Approved_Document_C,6
103_UK_UK_Approved_Document_C,Site preparation and resistance to contaminants and moisture Approved Document CONLINE VERSIONONLINE VERSION SITE PREPARATION AND RESISTANCE TO CONTAMINANTS AND MOISTURE C
104_UK_UK_Approved_Document_C,Historic buildings
107_UK_UK_Approved_Document_C,listed buildings;
136_UK_UK_Approved_Document_C,7
137_UK_UK_Approved_Document_C,Approved Document C Site preparation and resistance to contaminants and moistureONLINE VERSIONONLINE VERSION C SITE PREPARATION AND RESISTANCE TO CONTAMINANTS AND MOISTURE
146_UK_UK_Approved_Document_C,8
147_UK_UK_Approved_Document_C,Site preparation and resistance to contaminants and moisture Approved Document CONLINE VERSIONONLINE VERSION Section 0: General
148_UK_UK_Approved_Document_C,PERFORMANCE
149_UK_UK_Approved_Document_C,In the First Secretary of State’s view C1
153_UK_UK_Approved_Document_C,groundwater.
154_UK_UK_Approved_Document_C,In the First Secretary of State’s view the C2
160_UK_UK_Approved_Document_C,"Sections 1, 2 and 3 of this document cover INTRODUCTION TO PROVISIONS"
169_UK_UK_Approved_Document_C,Physical hazards also C
182_UK_UK_Approved_Document_C,Flood risk
189_UK_UK_Approved_Document_C,9
190_UK_UK_Approved_Document_C,Approved Document C Site preparation and resistance to contaminants and moistureONLINE VERSIONONLINE VERSION C GENERAL
194_UK_UK_Approved_Document_C,Land affected by contaminants
205_UK_UK_Approved_Document_C,If appropriate data are gathered at the early stages it should not be necessary to completely re-
207_UK_UK_Approved_Document_C,Authorities that should be notified about contamination
211_UK_UK_Approved_Document_C,10
214_UK_UK_Approved_Document_C,• As redevelopment is the most favoured
217_UK_UK_Approved_Document_C,• The Environment Agency has a number of
221_UK_UK_Approved_Document_C,• Some remedial measures may themselves
227_UK_UK_Approved_Document_C,Site preparation and resistance to contaminants and moisture Approved Document CONLINE VERSIONONLINE VERSION GENERAL • Working on contaminated land can be
228_UK_UK_Approved_Document_C,hazardous.
231_UK_UK_Approved_Document_C,Definitions
235_UK_UK_Approved_Document_C,Contaminant.
237_UK_UK_Approved_Document_C,Floor.
239_UK_UK_Approved_Document_C,C
240_UK_UK_Approved_Document_C,Groundwater.
242_UK_UK_Approved_Document_C,Interstitial condensation.
244_UK_UK_Approved_Document_C,Moisture.
246_UK_UK_Approved_Document_C,Precipitation.
248_UK_UK_Approved_Document_C,Roof.
250_UK_UK_Approved_Document_C,Spray.
253_UK_UK_Approved_Document_C,Surface condensation.
257_UK_UK_Approved_Document_C,Wall.
259_UK_UK_Approved_Document_C,"Part IIA of the Environmental Protection Act 1990 defines substance as ‘…any natural or artificial substance, whether in solid or liquid form or in the form of gas or vapour.’"
260_UK_UK_Approved_Document_C,11
261_UK_UK_Approved_Document_C,Approved Document C Site preparation and resistance to contaminants and moistureONLINE VERSIONONLINE VERSION C
262_UK_UK_Approved_Document_C,Section 1: Clearance or treatment of unsuitable material
263_UK_UK_Approved_Document_C,The preparation of the site will depend SITE INVESTIGATION
267_UK_UK_Approved_Document_C,Planning stage.
283_UK_UK_Approved_Document_C,12
284_UK_UK_Approved_Document_C,Vegetable matter such as turf and roots UNSUITABLE MATERIAL
307_UK_UK_Approved_Document_C,BS 5930:1999+A2:2010.
309_UK_UK_Approved_Document_C,Site preparation and resistance to contaminants and moisture Approved Document CONLINE VERSIONONLINE VERSION CLEARANCE OR TREATMENT OF UNSUITABLE MATERIAL C
310_UK_UK_Approved_Document_C,Diagram 1 Distribution of shrinkable clays and principal sulphate/sulphide bearing strata in England and Wales
