id,text
0_UK_UK_Approved_Document_D,Use of guidance
1_UK_UK_Approved_Document_D,THE APPROVED DOCUMENTS
2_UK_UK_Approved_Document_D,"The Building Regulations 2010 (SI 2010/2214), which came into operation on 1 October 2010, replace the Building Regulations 2000 (SI 2000/2531) and consolidate all subsequent revisions to those regulations."
3_UK_UK_Approved_Document_D,This document is one of a series that has been approved and issued by the Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 to and Regulation 7 of the Building Regulations 2010 for England and Wales.
4_UK_UK_Approved_Document_D,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
5_UK_UK_Approved_Document_D,Approved Documents are intended to provide guidance for some of the more common building situations.
6_UK_UK_Approved_Document_D,"However, there may well be alternative ways of achieving compliance with the requirements."
7_UK_UK_Approved_Document_D,Thus there is no obligation to adopt any particular solution contained in an Approved Document if you prefer to meet the relevant requirement in some other way.
8_UK_UK_Approved_Document_D,Other requirements
9_UK_UK_Approved_Document_D,The guidance contained in an Approved Document relates only to the particular requirements of the Regulations which the document addresses.
10_UK_UK_Approved_Document_D,The building work will also have to comply with the requirements of any other relevant paragraphs in Schedule 1 to the Regulations.
11_UK_UK_Approved_Document_D,There are Approved Documents which give guidance on each of the parts of Schedule 1 and on Regulation 7.
12_UK_UK_Approved_Document_D,D
13_UK_UK_Approved_Document_D,LIMITATION ON REQUIREMENTS
14_UK_UK_Approved_Document_D,"In accordance with Regulation 8, the requirements in Part D of Schedule 1 to the Building Regulations do not require anything to be done except for the purpose of securing reasonable standards of health and safety for persons in or about buildings (and any others who may be affected by buildings or matters connected with buildings)."
15_UK_UK_Approved_Document_D,MATERIALS AND WORKMANSHIP
16_UK_UK_Approved_Document_D,Any building work which is subject to the requirements imposed by Schedule 1 to the Building Regulations shall be carried out in accordance with regulation 7. Guidance on meeting these requirements on materials and workmanship is contained in Approved Document 7.
17_UK_UK_Approved_Document_D,"Building Regulations are made for specific purposes, primarily the health and safety, welfare and convenience of people and for energy conservation."
18_UK_UK_Approved_Document_D,Standards and other technical specifications may provide relevant guidance to the extent that they relate to these considerations.
19_UK_UK_Approved_Document_D,"However, they may also address other aspects of performance or matters which, although they relate to health and safety etc., are not covered by the Building Regulations."
20_UK_UK_Approved_Document_D,"When an Approved Document makes reference to a named standard, the relevant version of the standard to which it refers is the one listed at the end of the publication."
21_UK_UK_Approved_Document_D,"However, if this version has been revised or updated by the issuing standards body, the new version may be used as a source of guidance provided it continues to address the relevant requirements of the Regulations."
22_UK_UK_Approved_Document_D,Approved Document D Cavity insulation
23_UK_UK_Approved_Document_D,1
24_UK_UK_Approved_Document_D,ONLINE VERSIONONLINE VERSION D USE OF GUIDANCE
25_UK_UK_Approved_Document_D,"THE WORKPLACE (HEALTH, SAFETY AND WELFARE)"
26_UK_UK_Approved_Document_D,REGULATIONS 1992
27_UK_UK_Approved_Document_D,"The Workplace (Health, Safety and Welfare) Regulations 1992 contain some requirements which affect building design."
28_UK_UK_Approved_Document_D,"The main requirements are now covered by the Building Regulations, but for further information see: Workplace health, safety and welfare."
29_UK_UK_Approved_Document_D,"Workplace (Health, Safety and Welfare) Regulations 1992."
30_UK_UK_Approved_Document_D,"Approved code of practice and guidance, 1998."
31_UK_UK_Approved_Document_D,"HSE, L 24."
32_UK_UK_Approved_Document_D,ISBN 0 71760 413 6.
33_UK_UK_Approved_Document_D,"The Workplace (Health, Safety and Welfare) Regulations 1992 apply to the common parts of flats and similar buildings if people such as cleaners and caretakers are employed to work in these common parts."
34_UK_UK_Approved_Document_D,"Where the requirements of the Building Regulations that are covered by this part do not apply to dwellings, the provisions may still be required in the situations described above in order to satisfy the Workplace Regulations."
35_UK_UK_Approved_Document_D,Cavity insulation 2
36_UK_UK_Approved_Document_D,Approved Document D
37_UK_UK_Approved_Document_D,ONLINE VERSIONONLINE VERSION CAVITY INSULATION The Requirement
38_UK_UK_Approved_Document_D,This Approved Document deals with the following Requirement from Part D of Schedule 1 to the Building Regulations 2010.
39_UK_UK_Approved_Document_D,D1
40_UK_UK_Approved_Document_D,Requirement Cavity insulation
41_UK_UK_Approved_Document_D,"If insulating material is inserted into a cavity in a cavity wall, reasonable precautions shall be taken to prevent the subsequent permeation of any toxic fumes from that material into any part of the building occupied by people."
42_UK_UK_Approved_Document_D,Limits on application
43_UK_UK_Approved_Document_D,Approved Document D Cavity insulation
44_UK_UK_Approved_Document_D,3
45_UK_UK_Approved_Document_D,ONLINE VERSIONONLINE VERSION D1 Acceptable level of performance
46_UK_UK_Approved_Document_D,To reduce the risks to the health of persons in buildings formaldehyde fumes given off by urea formaldehyde foams should not penetrate to the occupied parts of buildings to an extent which would give rise to an irritant concentration.
47_UK_UK_Approved_Document_D,Cavity insulation 4
48_UK_UK_Approved_Document_D,Approved Document D
49_UK_UK_Approved_Document_D,ONLINE VERSIONONLINE VERSION Provisions meeting the performance
50_UK_UK_Approved_Document_D,D1
51_UK_UK_Approved_Document_D,Urea formaldehyde (UF) foam
52_UK_UK_Approved_Document_D,Insulating materials which give off formaldehyde fumes (either when used or later in normal use) may be used to insulate the cavity in a cavity wall where there is a continuous barrier which will minimise as far as practicable the passage of fumes to the occupiable parts.
53_UK_UK_Approved_Document_D,Technical solution
54_UK_UK_Approved_Document_D,A cavity wall may be insulated with UF 1.2 foam where:
55_UK_UK_Approved_Document_D,the inner leaf of the wall is built of masonry (bricks or blocks); and b. the suitability of the wall for foam filling is assessed before the work is carried out in accordance with BS 8208-1:1985 Guide to assessment of suitability of external cavity walls for filling with thermal insulants.
56_UK_UK_Approved_Document_D,Existing traditional cavity construction; and
57_UK_UK_Approved_Document_D,the person carrying out the work holds (or operates under) a current Certificate of Registration of Assessed Capability for the work he is doing; and d. the material is in accordance with the relevant recommendations of BS 5617:1985 Specifications for urea formaldehyde (UF) foam systems suitable for thermal insulation of cavity walls with masonry or concrete inner and outer leaves; and e. the installation is in accordance with BS 5618:1985 Code of practice for thermal insulation of cavity walls (with masonry or concrete inner and outer leaves) by filling with urea formaldehyde (UF) foam systems.
58_UK_UK_Approved_Document_D,Approved Document D Cavity insulation
59_UK_UK_Approved_Document_D,5
60_UK_UK_Approved_Document_D,ONLINE VERSIONONLINE VERSION D Standards referred to
61_UK_UK_Approved_Document_D,D1
62_UK_UK_Approved_Document_D,BS 5617:1985 Specification for urea formaldehyde (UF) foam systems suitable for thermal insulation of cavity walls with masonry or concrete inner and outer leaves.
63_UK_UK_Approved_Document_D,BS 5618:1985 Code of practice for thermal insulation of cavity walls (with masonry or concrete inner and outer leaves) by filling with urea formaldehyde (UF) foam systems.
64_UK_UK_Approved_Document_D,"AMD 6262 1990, AMD 7114 1992."
65_UK_UK_Approved_Document_D,BS 8208-1:1985 Guide to assessment of suitability of external cavity walls for filling with thermal insulants.
66_UK_UK_Approved_Document_D,Existing traditional cavity construction.
67_UK_UK_Approved_Document_D,AMD 4996 1985.
68_UK_UK_Approved_Document_D,Cavity insulation 6
69_UK_UK_Approved_Document_D,Approved Document D
70_UK_UK_Approved_Document_D,ONLINE VERSIONONLINE VERSION
