id,text
0_UK_UK_Approved_Document_E,MATERIALS AND WORKMANSHIP
1_UK_UK_Approved_Document_E,Materials and workmanship
2_UK_UK_Approved_Document_E,Any building work which is subject to the requirements imposed by Schedule 1 to the Building Regulations shall be carried out in accordance with regulation 7. Guidance on meeting these requirements on materials and workmanship is contained in Approved Document 7.
3_UK_UK_Approved_Document_E,"Building Regulations are made for specific purposes, primarily the health and safety, welfare and convenience of people and for energy conservation."
4_UK_UK_Approved_Document_E,Standards and other technical specifications may provide relevant guidance to the extent that they relate to these considerations.
5_UK_UK_Approved_Document_E,"However, they may also address other aspects of performance or matters which, although they relate to health and safety etc., are not covered by the Building Regulations."
6_UK_UK_Approved_Document_E,"When an Approved Document makes reference to a named standard, the relevant version of the standard to which it refers is the one listed at the end of the publication."
7_UK_UK_Approved_Document_E,"However, if this version has been revised or updated by the issuing standards body, the new version may be used as a source of guidance provided it continues to address the relevant requirements of the Regulations."
8_UK_UK_Approved_Document_E,"THE WORKPLACE (HEALTH, SAFETY AND WELFARE)"
9_UK_UK_Approved_Document_E,REGULATIONS 1992
10_UK_UK_Approved_Document_E,"The Workplace (Health, Safety and Welfare) Regulations 1992 contain some requirements which affect building design."
11_UK_UK_Approved_Document_E,"The main requirements are now covered by the Building Regulations, but for further information see – Workplace health, safety and welfare."
12_UK_UK_Approved_Document_E,"Workplace (Health, Safety and Welfare) Regulations 1992."
13_UK_UK_Approved_Document_E,"Approved Code of Practice and Guidance, 1998."
14_UK_UK_Approved_Document_E,ISBN 0 71760 413 6.
15_UK_UK_Approved_Document_E,"The Workplace (Health, Safety and Welfare) Regulations 1992 apply to the common parts of flats and similar buildings if people such as cleaners and caretakers are employed to work in these common parts."
16_UK_UK_Approved_Document_E,"Where the requirements of the Building Regulations that are covered by this Part do not apply to dwellings, the provisions may still be required in the situations described above in order to satisfy the Workplace Regulations."
17_UK_UK_Approved_Document_E,E Use of guidance
18_UK_UK_Approved_Document_E,THE APPROVED DOCUMENTS
19_UK_UK_Approved_Document_E,"This document is one of a series that has been approved and issued by the Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 to, and Regulation 7 of, the Building Regulations 2010 (SI 2010/2214) for England and Wales."
20_UK_UK_Approved_Document_E,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
21_UK_UK_Approved_Document_E,Approved Documents are intended to provide guidance for some of the more common building situations.
22_UK_UK_Approved_Document_E,"However, there may well be alternative ways of achieving compliance with the requirements."
23_UK_UK_Approved_Document_E,Thus there is no obligation to adopt any particular solution contained in an Approved Document if you prefer to meet the relevant requirement in some other way.
24_UK_UK_Approved_Document_E,Other requirements
25_UK_UK_Approved_Document_E,The guidance contained in an Approved Document relates only to the particular requirements of the Regulations which the document addresses.
26_UK_UK_Approved_Document_E,The building work will also have to comply with the requirements of any other relevant paragraphs in Schedule 1 to the Regulations.
27_UK_UK_Approved_Document_E,There are Approved Documents which give guidance on each of the parts of Schedule 1 and on Regulation 7.
28_UK_UK_Approved_Document_E,LIMITATION ON REQUIREMENTS
29_UK_UK_Approved_Document_E,"In accordance with Regulation 8, the requirements in Parts A to D, F to K and N (except for paragraphs H2 and J7) of Schedule 1 to the Building Regulations do not require anything to be done except for the purpose of securing reasonable standards of health and safety for persons in or about buildings (and any others who may be affected by buildings or matters connected with buildings)."
30_UK_UK_Approved_Document_E,This is one of the categories of purpose for which building regulations may be made.
31_UK_UK_Approved_Document_E,Paragraphs H2 and J7 are excluded from Regulation 8 because they deal directly with prevention of the contamination of water.
32_UK_UK_Approved_Document_E,"Parts E and M (which deal, respectively, with resistance to the passage of sound, and access and facilities for disabled people) are excluded from Regulation 8 because they address the welfare and convenience of building users."
33_UK_UK_Approved_Document_E,Part L is excluded from Regulation 8 because it addresses the conservation of fuel and power.
34_UK_UK_Approved_Document_E,"All these matters are amongst the purposes, other than health and safety, that may be addressed by Building Regulations."
35_UK_UK_Approved_Document_E,6
36_UK_UK_Approved_Document_E,Resistance to the passage of sound Approved Document EONLINE VERSIONONLINE VERSION USE OF GUIDANCE E
37_UK_UK_Approved_Document_E,7
38_UK_UK_Approved_Document_E,Approved Document E Resistance to the passage of soundONLINE VERSIONONLINE VERSION RESISTANCE TO THE PASSAGE OF SOUND
39_UK_UK_Approved_Document_E,E The Requirements
40_UK_UK_Approved_Document_E,"This Approved Document, which took effect on 1 July 2003, deals with the Requirements of Part E of Schedule 1 to the Building Regulations 2010."
41_UK_UK_Approved_Document_E,Requirement Limits on application
42_UK_UK_Approved_Document_E,Requirement E2 does not apply to:
43_UK_UK_Approved_Document_E,an internal wall which contains a door;
44_UK_UK_Approved_Document_E,an internal wall which separates an en suite toilet from the associated bedroom;
45_UK_UK_Approved_Document_E,existing walls and floors in a building which is subject to a material change of use.
46_UK_UK_Approved_Document_E,"Requirement E3 only applies to corridors, stairwells, hallways and entrance halls which give access to the flat or room for residential purposes."
47_UK_UK_Approved_Document_E,Protection against sound from other parts of the building and adjoining buildings
