id,text
0_UK_UK_Approved_Document_E,MATERIALS AND WORKMANSHIP
1_UK_UK_Approved_Document_E,Materials and workmanship
8_UK_UK_Approved_Document_E,"THE WORKPLACE (HEALTH, SAFETY AND WELFARE)"
9_UK_UK_Approved_Document_E,REGULATIONS 1992
14_UK_UK_Approved_Document_E,ISBN 0 71760 413 6.
17_UK_UK_Approved_Document_E,E Use of guidance
18_UK_UK_Approved_Document_E,THE APPROVED DOCUMENTS
24_UK_UK_Approved_Document_E,Other requirements
28_UK_UK_Approved_Document_E,LIMITATION ON REQUIREMENTS
35_UK_UK_Approved_Document_E,6
36_UK_UK_Approved_Document_E,Resistance to the passage of sound Approved Document EONLINE VERSIONONLINE VERSION USE OF GUIDANCE E
37_UK_UK_Approved_Document_E,7
38_UK_UK_Approved_Document_E,Approved Document E Resistance to the passage of soundONLINE VERSIONONLINE VERSION RESISTANCE TO THE PASSAGE OF SOUND
39_UK_UK_Approved_Document_E,E The Requirements
41_UK_UK_Approved_Document_E,Requirement Limits on application
47_UK_UK_Approved_Document_E,Protection against sound from other parts of the building and adjoining buildings
52_UK_UK_Approved_Document_E,internal floors
54_UK_UK_Approved_Document_E,Reverberation in the common internal parts of buildings containing flats or rooms for residential purposes
56_UK_UK_Approved_Document_E,Acoustic conditions in schools
59_UK_UK_Approved_Document_E,[
60_UK_UK_Approved_Document_E,4] 1996 c.56.
62_UK_UK_Approved_Document_E,8
63_UK_UK_Approved_Document_E,Resistance to the passage of sound Approved Document EONLINE VERSIONONLINE VERSION RESISTANCE TO THE PASSAGE OF SOUND E
66_UK_UK_Approved_Document_E,Meaning of material change of use (Regulation 5)
78_UK_UK_Approved_Document_E,Requirements relating to material change of use (Regulation 6)
82_UK_UK_Approved_Document_E,(means of warning and escape)
83_UK_UK_Approved_Document_E,(internal fire spread – linings)
84_UK_UK_Approved_Document_E,(internal fire spread – structure)
85_UK_UK_Approved_Document_E,B4(2) (external fire spread – roofs)
86_UK_UK_Approved_Document_E,(access and facilities for the fire service)
87_UK_UK_Approved_Document_E,C2(c) (interstitial and surface condensation)
88_UK_UK_Approved_Document_E,(ventilation)
89_UK_UK_Approved_Document_E,(cold water supply)
90_UK_UK_Approved_Document_E,G3(1) to (3) (hot water supply and systems)
91_UK_UK_Approved_Document_E,(sanitary conveniences and washing facilities)
92_UK_UK_Approved_Document_E,(bathrooms)
93_UK_UK_Approved_Document_E,(kitchens and food preparation areas)
94_UK_UK_Approved_Document_E,(foul water drainage)
95_UK_UK_Approved_Document_E,(solid waste storage)
96_UK_UK_Approved_Document_E,to J4 (combustion appliances)
97_UK_UK_Approved_Document_E,(conservation of fuel and power – dwellings)
98_UK_UK_Approved_Document_E,(electrical safety);
110_UK_UK_Approved_Document_E,9
111_UK_UK_Approved_Document_E,Approved Document E Resistance to the passage of soundONLINE VERSIONONLINE VERSION E RESISTANCE TO THE PASSAGE OF SOUND
113_UK_UK_Approved_Document_E,in a case to which sub-paragraph (i) of paragraph (1) applies –
127_UK_UK_Approved_Document_E,10
134_UK_UK_Approved_Document_E,Attention is drawn to the following extract from the Building (Approved Inspectors etc.)
135_UK_UK_Approved_Document_E,Regulations 2010 (SI 2010/2215)
136_UK_UK_Approved_Document_E,Sound insulation testing (Regulation 20(1) and (5)
141_UK_UK_Approved_Document_E,Resistance to the passage of sound Approved Document EONLINE VERSIONONLINE VERSION RESISTANCE TO THE PASSAGE OF SOUND E
143_UK_UK_Approved_Document_E,‘Adjoining’:
146_UK_UK_Approved_Document_E,listed buildings
147_UK_UK_Approved_Document_E,buildings situated in conservation areas
148_UK_UK_Approved_Document_E,buildings which are of architectural and historical interest and which are referred to as a material consideration in a local authority’s development plan
149_UK_UK_Approved_Document_E,"buildings of architectural and historical interest within national parks, areas of outstanding natural beauty, and world heritage sites"
151_UK_UK_Approved_Document_E,11
152_UK_UK_Approved_Document_E,Approved Document E Resistance to the passage of soundONLINE VERSIONONLINE VERSION E Section 0: Performance
153_UK_UK_Approved_Document_E,Performance standards
156_UK_UK_Approved_Document_E,"Regulation 41 of the Building Regulations 2010 and Regulation 20(1) and (5) of the Building (Approved Inspectors, etc.)"
163_UK_UK_Approved_Document_E,Table 0.1a
164_UK_UK_Approved_Document_E,"Dwelling-houses and flats – performance standards for separating walls, separating floors, and stairs that have a separating function"
165_UK_UK_Approved_Document_E,"Airborne sound insulation sound insulation DnT,w + Ctr dB (Minimum values)"
166_UK_UK_Approved_Document_E,"Impact sound insulation L’nT,w dB (Maximum values)"
167_UK_UK_Approved_Document_E,Purpose built dwelling-houses and flats
168_UK_UK_Approved_Document_E,Walls Floors and stairs Dwelling-houses and flats formed by material change of use
169_UK_UK_Approved_Document_E,Walls Floors and stairs 45 45 43 43 - 62
170_UK_UK_Approved_Document_E,- 64
171_UK_UK_Approved_Document_E,Table 0.1b
172_UK_UK_Approved_Document_E,"Rooms for residential purposes – performance standards for separating walls, separating floors, and stairs that have a separating function"
