id,text
2_UK_UK_Approved_Document_E,Any building work which is subject to the requirements imposed by Schedule 1 to the Building Regulations shall be carried out in accordance with regulation 7. Guidance on meeting these requirements on materials and workmanship is contained in Approved Document 7.
3_UK_UK_Approved_Document_E,"Building Regulations are made for specific purposes, primarily the health and safety, welfare and convenience of people and for energy conservation."
4_UK_UK_Approved_Document_E,Standards and other technical specifications may provide relevant guidance to the extent that they relate to these considerations.
5_UK_UK_Approved_Document_E,"However, they may also address other aspects of performance or matters which, although they relate to health and safety etc., are not covered by the Building Regulations."
6_UK_UK_Approved_Document_E,"When an Approved Document makes reference to a named standard, the relevant version of the standard to which it refers is the one listed at the end of the publication."
7_UK_UK_Approved_Document_E,"However, if this version has been revised or updated by the issuing standards body, the new version may be used as a source of guidance provided it continues to address the relevant requirements of the Regulations."
10_UK_UK_Approved_Document_E,"The Workplace (Health, Safety and Welfare) Regulations 1992 contain some requirements which affect building design."
11_UK_UK_Approved_Document_E,"The main requirements are now covered by the Building Regulations, but for further information see – Workplace health, safety and welfare."
12_UK_UK_Approved_Document_E,"Workplace (Health, Safety and Welfare) Regulations 1992."
13_UK_UK_Approved_Document_E,"Approved Code of Practice and Guidance, 1998."
15_UK_UK_Approved_Document_E,"The Workplace (Health, Safety and Welfare) Regulations 1992 apply to the common parts of flats and similar buildings if people such as cleaners and caretakers are employed to work in these common parts."
16_UK_UK_Approved_Document_E,"Where the requirements of the Building Regulations that are covered by this Part do not apply to dwellings, the provisions may still be required in the situations described above in order to satisfy the Workplace Regulations."
19_UK_UK_Approved_Document_E,"This document is one of a series that has been approved and issued by the Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 to, and Regulation 7 of, the Building Regulations 2010 (SI 2010/2214) for England and Wales."
20_UK_UK_Approved_Document_E,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
21_UK_UK_Approved_Document_E,Approved Documents are intended to provide guidance for some of the more common building situations.
22_UK_UK_Approved_Document_E,"However, there may well be alternative ways of achieving compliance with the requirements."
23_UK_UK_Approved_Document_E,Thus there is no obligation to adopt any particular solution contained in an Approved Document if you prefer to meet the relevant requirement in some other way.
25_UK_UK_Approved_Document_E,The guidance contained in an Approved Document relates only to the particular requirements of the Regulations which the document addresses.
