id,text
0_UK_UK_Approved_Document_F_V1,Section 0: Introduction
1_UK_UK_Approved_Document_F_V1,Summary
2_UK_UK_Approved_Document_F_V1,"This approved document is Approved Document F, Volume 1: Dwellings."
3_UK_UK_Approved_Document_F_V1,It gives guidance on how to comply with Part F of Schedule 1 to the Building Regulations.
4_UK_UK_Approved_Document_F_V1,For guidance relating to non-
5_UK_UK_Approved_Document_F_V1,"domestic buildings, use Approved Document F, Volume 2: Buildings other than dwellings."
6_UK_UK_Approved_Document_F_V1,This approved document contains the following sections:
7_UK_UK_Approved_Document_F_V1,Approved document section
8_UK_UK_Approved_Document_F_V1,Section 0: Introduction
9_UK_UK_Approved_Document_F_V1,Section 1: Ventilation provision Related Building Regulations requirements
10_UK_UK_Approved_Document_F_V1,n/a
11_UK_UK_Approved_Document_F_V1,Requirement F1(1)
12_UK_UK_Approved_Document_F_V1,Section 2: Minimising the ingress of external pollutants
13_UK_UK_Approved_Document_F_V1,Section 3: Work on existing dwellings
14_UK_UK_Approved_Document_F_V1,"Section 4: Commissioning and providing information Requirement F1(2) and regulations 39, 42 and 44"
15_UK_UK_Approved_Document_F_V1,Appendix A: Key terms
16_UK_UK_Approved_Document_F_V1,Appendix B: Performance-based ventilation
17_UK_UK_Approved_Document_F_V1,Appendix C: Completion checklist and commissioning sheet
18_UK_UK_Approved_Document_F_V1,Appendix D: Checklist for ventilation provision in existing dwellings
19_UK_UK_Approved_Document_F_V1,Appendix E: Standards referred to
20_UK_UK_Approved_Document_F_V1,Appendix F: Documents referred to n/a
21_UK_UK_Approved_Document_F_V1,n/a
22_UK_UK_Approved_Document_F_V1,n/a
23_UK_UK_Approved_Document_F_V1,n/a
24_UK_UK_Approved_Document_F_V1,n/a
25_UK_UK_Approved_Document_F_V1,n/a
26_UK_UK_Approved_Document_F_V1,"Application 0.3 The guidance in Approved Document F, Volume 1 applies only to dwellings."
