id,text
0_UK_UK_Approved_Document_F_V2,Section 0: Introduction
1_UK_UK_Approved_Document_F_V2,Summary
5_UK_UK_Approved_Document_F_V2,This approved document contains the following sections: Approved document section
6_UK_UK_Approved_Document_F_V2,Section 0: Introduction
7_UK_UK_Approved_Document_F_V2,Section 1: Ventilation provision Related Building Regulations requirements
8_UK_UK_Approved_Document_F_V2,n/a
9_UK_UK_Approved_Document_F_V2,Requirement F1(1)
10_UK_UK_Approved_Document_F_V2,Section 2: Minimising the ingress of external pollutants
11_UK_UK_Approved_Document_F_V2,Section 3: Work on existing buildings
12_UK_UK_Approved_Document_F_V2,Section 4: Commissioning and providing information Requirement F1(2) and regulations 39 and 44
13_UK_UK_Approved_Document_F_V2,Appendix A: Key terms
14_UK_UK_Approved_Document_F_V2,Appendix B: Performance-based ventilation
15_UK_UK_Approved_Document_F_V2,Appendix C: CO2 monitoring
16_UK_UK_Approved_Document_F_V2,Appendix D: Standards referred to
17_UK_UK_Approved_Document_F_V2,Appendix E: Documents referred to n/a
18_UK_UK_Approved_Document_F_V2,n/a
19_UK_UK_Approved_Document_F_V2,n/a
20_UK_UK_Approved_Document_F_V2,n/a
21_UK_UK_Approved_Document_F_V2,n/a
24_UK_UK_Approved_Document_F_V2,NOTE:
26_UK_UK_Approved_Document_F_V2,Exemptions
29_UK_UK_Approved_Document_F_V2,"Building Regulations 2010 Approved Document F Volume 2, 2021 edition 1"
41_UK_UK_Approved_Document_F_V2,Emergency repairs
44_UK_UK_Approved_Document_F_V2,Minor works
47_UK_UK_Approved_Document_F_V2,Replacing parts.
53_UK_UK_Approved_Document_F_V2,"Approved Document F Volume 2, 2021 edition Building Regulations 2010"
54_UK_UK_Approved_Document_F_V2,ONLINE VERSIONONLINE VERSION Live/work units
61_UK_UK_Approved_Document_F_V2,NOTE:
64_UK_UK_Approved_Document_F_V2,Mixed-use developments
72_UK_UK_Approved_Document_F_V2,Interaction with Part B
