id,text
2_UK_UK_Approved_Document_F_V2,"This approved document is Approved Document F, Volume 2: Buildings other than dwellings."
3_UK_UK_Approved_Document_F_V2,It gives guidance on how to comply with Part F of Schedule 1 to the Building Regulations.
4_UK_UK_Approved_Document_F_V2,"For guidance relating to dwellings, use Approved Document F, Volume 1: Dwellings."
22_UK_UK_Approved_Document_F_V2,"Application 0.3 The guidance in Approved Document F, Volume 2 applies only to buildings other than dwellings."
23_UK_UK_Approved_Document_F_V2,"For blocks of flats with shared communal rooms, this approved document should be consulted for those rooms."
25_UK_UK_Approved_Document_F_V2,Rooms for residential purposes and buildings that contain only rooms for residential purposes are not dwellings and are covered by the guidance in this approved document.
27_UK_UK_Approved_Document_F_V2,Certain types of building are exempt from the Part F requirements of the Building Regulations.
28_UK_UK_Approved_Document_F_V2,These are outlined in paragraphs A7 to A13 of the Manual to the Building Regulations.
30_UK_UK_Approved_Document_F_V2,ONLINE VERSIONONLINE VERSION Historic and traditional buildings 0.5 Work to the following types of buildings may not need to comply fully with the ventilation standards in this approved document.
31_UK_UK_Approved_Document_F_V2,Those listed in accordance with section 1 of the Planning (Listed Buildings and Conservation Areas) Act 1990.
32_UK_UK_Approved_Document_F_V2,Those in a conservation area designated in accordance with section 69 of the Planning (Listed Buildings and Conservation Areas) Act 1990.
33_UK_UK_Approved_Document_F_V2,Other historic buildings with a vapour-permeable construction that both absorbs moisture and readily allows moisture to evaporate.
34_UK_UK_Approved_Document_F_V2,"These include those built with wattle and daub, cob or stone and constructions using lime render or mortar."
35_UK_UK_Approved_Document_F_V2,Work to a building in paragraph 0.5 should comply with the ventilation standards in this approved document where reasonably practicable.
36_UK_UK_Approved_Document_F_V2,The work should not result in either of the following outcomes.
37_UK_UK_Approved_Document_F_V2,"Unacceptably affect the significance of the listed building, conservation area or scheduled monument."
38_UK_UK_Approved_Document_F_V2,Increase the risk of long-term deterioration of the building fabric or fittings.
39_UK_UK_Approved_Document_F_V2,New extensions to historic and traditional buildings should comply with all ventilation standards in this approved document unless there is a need to match the external appearance or character of the extension to that of the host building.
40_UK_UK_Approved_Document_F_V2,The local authority’s conservation officer should be consulted when undertaking work to a building in paragraphs 0.5a or 0.5b.
42_UK_UK_Approved_Document_F_V2,"For emergency repairs, if it is not possible to notify the building control body in advance, the building control body should be notified as soon as possible."
43_UK_UK_Approved_Document_F_V2,"If the installer is registered with a competent person scheme, see Chapter 5 in Volume 1 and Chapter C in Volume 2 of the Manual to the Building Regulations."
45_UK_UK_Approved_Document_F_V2,"Minor works must comply with the relevant requirements of the Building Regulations, but the building control body does not need to be notified."
46_UK_UK_Approved_Document_F_V2,"For mechanical ventilation and air-conditioning systems, minor works include any of the following."
48_UK_UK_Approved_Document_F_V2,Adding an output or control device if testing and adjusting the system would not affect its energy efficiency or would not be possible.
49_UK_UK_Approved_Document_F_V2,Providing a self-contained mechanical ventilation or air-conditioning appliance when all the following apply.
50_UK_UK_Approved_Document_F_V2,Any electrical work is exempt from a requirement to give advance notice to a building control body.
51_UK_UK_Approved_Document_F_V2,Testing and adjusting the system would not affect its energy efficiency or would not be possible.
52_UK_UK_Approved_Document_F_V2,The appliance is not installed in a room that contains an open-flued combustion appliance.
55_UK_UK_Approved_Document_F_V2,A unit that contains both living accommodation and space for commercial purposes (e.g. for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.
56_UK_UK_Approved_Document_F_V2,The commercial part of the building can be reverted to domestic use if all of the following apply.
57_UK_UK_Approved_Document_F_V2,There is direct access between the commercial space and the living accommodation.
58_UK_UK_Approved_Document_F_V2,The commercial space and living accommodation are within the same thermal envelope.
59_UK_UK_Approved_Document_F_V2,The living accommodation comprises a substantial proportion of the total area of the unit.
60_UK_UK_Approved_Document_F_V2,What constitutes a ‘substantial proportion’ should be assessed on a case-by-case basis by the building control body.
62_UK_UK_Approved_Document_F_V2,A large non-domestic building that contains a small flat for a manager is not treated as a dwelling.
63_UK_UK_Approved_Document_F_V2,A dwelling that contains a room used as an office or utility space is still treated as a dwelling.
65_UK_UK_Approved_Document_F_V2,"When constructing a dwelling as part of a larger building that contains other types of accommodation, sometimes called a mixed-use development, refer to the two volumes of Approved Document F as follows."
66_UK_UK_Approved_Document_F_V2,"For guidance on each individual dwelling, use Approved Document F, Volume 1: Dwellings."
67_UK_UK_Approved_Document_F_V2,"For guidance on the non-dwelling parts of the building, such as shared communal rooms and commercial or retail space, use this approved document: Approved Document F, Volume 2: Buildings other than dwellings."
68_UK_UK_Approved_Document_F_V2,"Selected key interactions with other parts of the Building Regulations 0.14 The approved documents set out what, in ordinary circumstances, may be accepted as one way to comply with the Building Regulations."
69_UK_UK_Approved_Document_F_V2,"Those designing or undertaking building work remain responsible for assessing, on a case-by-case basis, whether specific circumstances require additional or alternative measures to comply with the regulatory requirements."
70_UK_UK_Approved_Document_F_V2,There are interactions between many of the requirements of the Building Regulations.
71_UK_UK_Approved_Document_F_V2,Guidance on some key interactions is given below.
73_UK_UK_Approved_Document_F_V2,"The requirements of Part B apply if, for example, ducts pass through any of the following."
74_UK_UK_Approved_Document_F_V2,A fire resisting structure.
75_UK_UK_Approved_Document_F_V2,A fire compartment.
76_UK_UK_Approved_Document_F_V2,A protected stairway.
77_UK_UK_Approved_Document_F_V2,This approved document gives guidance on window openings for ventilation.
78_UK_UK_Approved_Document_F_V2,"In addition, Approved Document B gives guidance on the size of escape windows."
79_UK_UK_Approved_Document_F_V2,The larger of the window openings specified in Approved Document B or Approved Document F should be applied in all cases.
82_UK_UK_Approved_Document_F_V2,Ventilation fans might cause combustion gases to spill from open-flued appliances.
83_UK_UK_Approved_Document_F_V2,"These combustion gases might fill the room instead of going up the flue or chimney, even if the combustion appliance and fan are in separate rooms."
84_UK_UK_Approved_Document_F_V2,The guidance in Approved Document J should be followed when installing and testing ventilation appliances.
85_UK_UK_Approved_Document_F_V2,Combustion appliances must operate safely whether or not fans are running.
87_UK_UK_Approved_Document_F_V2,Energy efficiency should be considered when specifying ventilation systems.
88_UK_UK_Approved_Document_F_V2,"Energy efficiency, including the control of infiltration, is dealt with under Part L of the Building Regulations."
90_UK_UK_Approved_Document_F_V2,"Manual controls, where provided for a ventilation device, should be within reasonable reach of the occupants."
91_UK_UK_Approved_Document_F_V2,Follow the guidance in Approved Documents K and M.
93_UK_UK_Approved_Document_F_V2,This document sets minimum standards for purge ventilation for rapidly diluting indoor air pollutants and extracting water vapour where necessary in habitable rooms in buildings other than dwellings.
94_UK_UK_Approved_Document_F_V2,"For domestic-type buildings, Part O may require a higher standard than the guidance given in this document for purge ventilation to remove excess heat."
95_UK_UK_Approved_Document_F_V2,"In this case, the higher of the two standards should be followed."
98_UK_UK_Approved_Document_F_V2,This section deals with the requirements of Part F1(1) of Schedule 1 to the Building Regulations 2010.
103_UK_UK_Approved_Document_F_V2,Requirement F1 does not apply to a building or space within a building:
104_UK_UK_Approved_Document_F_V2,provided for people in the building.
105_UK_UK_Approved_Document_F_V2,into which people do not normally go;
