id,text
0_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
1_UK_UK_Approved_Document_G,G
2_UK_UK_Approved_Document_G,"Consideration of technical risk In relation to the installation of new and replacement sanitation and hot water services, building work must satisfy all the technical requirements set out in Schedule 1 to the Building Regulations."
3_UK_UK_Approved_Document_G,"Attention should be paid in particular to the need to comply with Part A (Structure), Part B (Fire safety), Part C (Site preparation and resistance to contaminants and moisture), Part J (Combustion appliances and fuel storage systems), Part L (Conservation of fuel and power) and Part P (Electrical safety), as well as Part G."
4_UK_UK_Approved_Document_G,Introduction
5_UK_UK_Approved_Document_G,What is an Approved Document?
6_UK_UK_Approved_Document_G,"This document has been approved and issued by the Secretary of State to provide practical guidance on ways of complying with Requirements G1 to G6 and regulations 7 and 36 of the Building Regulations 2010 (SI 2010/2214) for England and Wales, as amended."
7_UK_UK_Approved_Document_G,The Building Regulations 2010 are referred to throughout the remainder of this Document as ‘the Building Regulations’.
8_UK_UK_Approved_Document_G,Where appropriate the Approved Document also gives guidance on relevant requirements in the Building (Approved Inspectors etc.)
9_UK_UK_Approved_Document_G,Regulations 2010 (SI 2010/2215).
10_UK_UK_Approved_Document_G,The intention of issuing Approved Documents is to provide guidance about compliance with speciﬁc aspects of the Building Regulations in some of the more common building situations.
11_UK_UK_Approved_Document_G,"They include examples of what, in ordinary circumstances, may be reasonable provision for compliance with the relevant requirement(s) of the Building Regulations to which they refer."
12_UK_UK_Approved_Document_G,If guidance in an Approved Document is followed there will be a presumption of compliance with the requirement(s) covered by the guidance.
13_UK_UK_Approved_Document_G,"However, this presumption is not conclusive, so simply following guidance does not guarantee compliance in an individual case."
14_UK_UK_Approved_Document_G,It is also important to note that there may well be other ways of achieving compliance with the requirements.
15_UK_UK_Approved_Document_G,There is therefore no obligation to adopt any particular solution contained in this Approved Document if you would prefer to meet the relevant requirement in some other way.
16_UK_UK_Approved_Document_G,"However, persons intending to carry out building work should always check with their Building Control Body (BCB), either the local authority or an Approved Inspector, that their proposals comply with Building Regulations."
17_UK_UK_Approved_Document_G,The guidance contained in this Approved Document relates only to the particular requirements of the Building Regulations that the document addresses (see ‘Requirements’ below).
18_UK_UK_Approved_Document_G,"However, building work may be subject to more than one requirement of the Building Regulations."
19_UK_UK_Approved_Document_G,In such cases the work will also have to comply with any other applicable requirements of the Building Regulations.
20_UK_UK_Approved_Document_G,This document is one of a series that has been approved and issued by the Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 and regulation 7 of the Building Regulations 2010 (SI 2010/2214) for England and Wales.
21_UK_UK_Approved_Document_G,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
22_UK_UK_Approved_Document_G,Approved Document G O N L I N E V E R S I O N
23_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency"
24_UK_UK_Approved_Document_G,3
25_UK_UK_Approved_Document_G,G O N L I N E V E R S I O N
26_UK_UK_Approved_Document_G,NN
27_UK_UK_Approved_Document_G,INTRODUCTION
28_UK_UK_Approved_Document_G,How to use this Approved Document
29_UK_UK_Approved_Document_G,In this document the following conventions have been adopted to assist understanding and interpretation:
30_UK_UK_Approved_Document_G,Texts shown against a green background are extracts from the Building Regulations or Building (Approved Inspectors etc.)
31_UK_UK_Approved_Document_G,"Regulations, and set out the legal requirements that relate to compliance with the sanitation, hot water safety and water efﬁciency requirements of Building Regulations."
32_UK_UK_Approved_Document_G,"It should be remembered however that, as noted above, building works must comply with all the other applicable provisions of Building Regulations."
33_UK_UK_Approved_Document_G,Key terms are deﬁned below and are printed in bold italic text.
34_UK_UK_Approved_Document_G,Details of technical publications referred to in the text of this document are repeated as references in Appendix C. A reference to a publication is likely to be made for one of two main reasons.
35_UK_UK_Approved_Document_G,"The publication may contain additional or more comprehensive technical detail, which it would be impractical to include in full in this Document but which is needed to fully explain ways of meeting the requirements; or it is a source of more general information."
36_UK_UK_Approved_Document_G,The reason for the reference will be indicated in each case.
37_UK_UK_Approved_Document_G,The reference will be to a speciﬁed edition of the document.
38_UK_UK_Approved_Document_G,The Approved Document may be amended from time to time to include new references or to refer to revised editions where this aids compliance.
