id,text
0_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
1_UK_UK_Approved_Document_G,G
4_UK_UK_Approved_Document_G,Introduction
8_UK_UK_Approved_Document_G,Where appropriate the Approved Document also gives guidance on relevant requirements in the Building (Approved Inspectors etc.)
9_UK_UK_Approved_Document_G,Regulations 2010 (SI 2010/2215).
22_UK_UK_Approved_Document_G,Approved Document G O N L I N E V E R S I O N
23_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency"
24_UK_UK_Approved_Document_G,3
25_UK_UK_Approved_Document_G,G O N L I N E V E R S I O N
26_UK_UK_Approved_Document_G,NN
27_UK_UK_Approved_Document_G,INTRODUCTION
28_UK_UK_Approved_Document_G,How to use this Approved Document
30_UK_UK_Approved_Document_G,Texts shown against a green background are extracts from the Building Regulations or Building (Approved Inspectors etc.)
39_UK_UK_Approved_Document_G,Where you can get further help
41_UK_UK_Approved_Document_G,The Government website: www.gov.uk
45_UK_UK_Approved_Document_G,Responsibility for compliance
48_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency 4"
49_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
50_UK_UK_Approved_Document_G,Approved Document G
51_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
52_UK_UK_Approved_Document_G,G
53_UK_UK_Approved_Document_G,The requirements
61_UK_UK_Approved_Document_G,Approved Document G O N L I N E V E R S I O N
62_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency"
63_UK_UK_Approved_Document_G,5
64_UK_UK_Approved_Document_G,G General guidance
87_UK_UK_Approved_Document_G,heated wholesome hot water or softened wholesome hot water for subsequent use
88_UK_UK_Approved_Document_G,water that is used to heat other water
93_UK_UK_Approved_Document_G,Kitchen means a room or part of a room which contains a sink and food preparation facilities
95_UK_UK_Approved_Document_G,Non
98_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency 6"
99_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
100_UK_UK_Approved_Document_G,Approved Document G
101_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
102_UK_UK_Approved_Document_G,NCENCE
103_UK_UK_Approved_Document_G,GENERAL GUIDANCE G
110_UK_UK_Approved_Document_G,"Room for residential purposes means a room, or a suite of rooms, which is not a dwelling-"
132_UK_UK_Approved_Document_G,Types of work covered by this Approved Document
133_UK_UK_Approved_Document_G,Building work
136_UK_UK_Approved_Document_G,Approved Document G O N L I N E V E R S I O N
137_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency"
138_UK_UK_Approved_Document_G,7
139_UK_UK_Approved_Document_G,G O N L I N E V E R S I O N
140_UK_UK_Approved_Document_G,DANCE
141_UK_UK_Approved_Document_G,GENERAL GUIDANCE
142_UK_UK_Approved_Document_G,DANCE
148_UK_UK_Approved_Document_G,Material change of use
152_UK_UK_Approved_Document_G,a building is used as a dwelling where previously it was not
153_UK_UK_Approved_Document_G,a building contains a ﬂat where previously it did not
155_UK_UK_Approved_Document_G,a building is used as an institution where previously it was not
156_UK_UK_Approved_Document_G,a building is used as a public building where previously it was not
157_UK_UK_Approved_Document_G,a building no longer comes within the exemptions in Schedule 2 to the Building Regulations where previously it did
158_UK_UK_Approved_Document_G,a building which contains at least one dwelling contains a greater or lesser number of dwellings than it did previously
159_UK_UK_Approved_Document_G,a building contains a room for residential purposes where previously it did not
160_UK_UK_Approved_Document_G,a building which contains at least one room for residential purposes contains a greater or lesser number of such rooms than it did previously
161_UK_UK_Approved_Document_G,a building is used as a shop where previously it was not
165_UK_UK_Approved_Document_G,Historic buildings
168_UK_UK_Approved_Document_G,listed buildings
169_UK_UK_Approved_Document_G,buildings situated in designated conservation areas
170_UK_UK_Approved_Document_G,buildings which are of architectural or historic interest and which are referred to as a material consideration in a local authority’s development plan
178_UK_UK_Approved_Document_G,There are two exceptions to this: where work is carried out under a self-
180_UK_UK_Approved_Document_G,"Sanitation, hot water safety and water efﬁciency 8"
181_UK_UK_Approved_Document_G,O N L I N E V E R S I O N
182_UK_UK_Approved_Document_G,Approved Document G
183_UK_UK_Approved_Document_G,NCENCE
