id,text
2_UK_UK_Approved_Document_G,"Consideration of technical risk In relation to the installation of new and replacement sanitation and hot water services, building work must satisfy all the technical requirements set out in Schedule 1 to the Building Regulations."
3_UK_UK_Approved_Document_G,"Attention should be paid in particular to the need to comply with Part A (Structure), Part B (Fire safety), Part C (Site preparation and resistance to contaminants and moisture), Part J (Combustion appliances and fuel storage systems), Part L (Conservation of fuel and power) and Part P (Electrical safety), as well as Part G."
5_UK_UK_Approved_Document_G,What is an Approved Document?
6_UK_UK_Approved_Document_G,"This document has been approved and issued by the Secretary of State to provide practical guidance on ways of complying with Requirements G1 to G6 and regulations 7 and 36 of the Building Regulations 2010 (SI 2010/2214) for England and Wales, as amended."
7_UK_UK_Approved_Document_G,The Building Regulations 2010 are referred to throughout the remainder of this Document as ‘the Building Regulations’.
10_UK_UK_Approved_Document_G,The intention of issuing Approved Documents is to provide guidance about compliance with speciﬁc aspects of the Building Regulations in some of the more common building situations.
11_UK_UK_Approved_Document_G,"They include examples of what, in ordinary circumstances, may be reasonable provision for compliance with the relevant requirement(s) of the Building Regulations to which they refer."
12_UK_UK_Approved_Document_G,If guidance in an Approved Document is followed there will be a presumption of compliance with the requirement(s) covered by the guidance.
13_UK_UK_Approved_Document_G,"However, this presumption is not conclusive, so simply following guidance does not guarantee compliance in an individual case."
14_UK_UK_Approved_Document_G,It is also important to note that there may well be other ways of achieving compliance with the requirements.
15_UK_UK_Approved_Document_G,There is therefore no obligation to adopt any particular solution contained in this Approved Document if you would prefer to meet the relevant requirement in some other way.
16_UK_UK_Approved_Document_G,"However, persons intending to carry out building work should always check with their Building Control Body (BCB), either the local authority or an Approved Inspector, that their proposals comply with Building Regulations."
17_UK_UK_Approved_Document_G,The guidance contained in this Approved Document relates only to the particular requirements of the Building Regulations that the document addresses (see ‘Requirements’ below).
18_UK_UK_Approved_Document_G,"However, building work may be subject to more than one requirement of the Building Regulations."
19_UK_UK_Approved_Document_G,In such cases the work will also have to comply with any other applicable requirements of the Building Regulations.
20_UK_UK_Approved_Document_G,This document is one of a series that has been approved and issued by the Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 and regulation 7 of the Building Regulations 2010 (SI 2010/2214) for England and Wales.
21_UK_UK_Approved_Document_G,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
29_UK_UK_Approved_Document_G,In this document the following conventions have been adopted to assist understanding and interpretation:
31_UK_UK_Approved_Document_G,"Regulations, and set out the legal requirements that relate to compliance with the sanitation, hot water safety and water efﬁciency requirements of Building Regulations."
32_UK_UK_Approved_Document_G,"It should be remembered however that, as noted above, building works must comply with all the other applicable provisions of Building Regulations."
33_UK_UK_Approved_Document_G,Key terms are deﬁned below and are printed in bold italic text.
34_UK_UK_Approved_Document_G,Details of technical publications referred to in the text of this document are repeated as references in Appendix C. A reference to a publication is likely to be made for one of two main reasons.
35_UK_UK_Approved_Document_G,"The publication may contain additional or more comprehensive technical detail, which it would be impractical to include in full in this Document but which is needed to fully explain ways of meeting the requirements; or it is a source of more general information."
36_UK_UK_Approved_Document_G,The reason for the reference will be indicated in each case.
37_UK_UK_Approved_Document_G,The reference will be to a speciﬁed edition of the document.
38_UK_UK_Approved_Document_G,The Approved Document may be amended from time to time to include new references or to refer to revised editions where this aids compliance.
40_UK_UK_Approved_Document_G,"If you do not understand the technical guidance or other information set out in this Approved Document and the additional detailed technical references to which it directs you, there are a number of routes through which you can seek further assistance:"
42_UK_UK_Approved_Document_G,"If you are the person undertaking the building work you can seek assistance either from your local authority building control service or from your approved inspector (depending on which building control service you are using, or intend to use, to certify compliance of your work with the requirements of the Building Regulations)."
43_UK_UK_Approved_Document_G,Businesses registered with a competent person self-certiﬁcation scheme may be able to get technical advice from their scheme operator.
44_UK_UK_Approved_Document_G,"If your query is of a highly technical nature you may wish to seek the advice of a specialist, or industry technical body, in the area of concern."
46_UK_UK_Approved_Document_G,"It is important to remember that if you are the person (e.g. designer, builder, installer) carrying out building work to which any requirement of Building Regulations applies you have a responsibility to ensure that the work complies with any such requirement."
47_UK_UK_Approved_Document_G,The building owner may also have a responsibility for ensuring compliance with Building Regulation requirements and could be served with an enforcement notice in cases of non-compliance.
54_UK_UK_Approved_Document_G,"This Approved Document deals with the sanitation, hot water safety and water efﬁciency requirements in the Building Regulations 2010."
55_UK_UK_Approved_Document_G,"Limitation on requirements In accordance with regulation 8 of the Building Regulations, the requirements in Parts A to D, F to K and P (except for paragraphs G2, H2 and J7) of Schedule 1 to the Building Regulations do not require anything to be done except for the purpose of securing reasonable standards of health and safety for persons in or about buildings (and any others who may be affected by buildings or matters connected with buildings)."
56_UK_UK_Approved_Document_G,Paragraph G2 is excluded from regulation 8 as it deals with the conservation of water.
57_UK_UK_Approved_Document_G,Paragraphs H2 and J7 are excluded from regulation 8 because they deal directly with prevention of the contamination of water and of oil pollution.
58_UK_UK_Approved_Document_G,"Parts E and M (which deal, respectively, with resistance to the passage of sound, and access to and use of buildings) are excluded from regulation 8 because they address the welfare and convenience of building users."
59_UK_UK_Approved_Document_G,Part L is excluded from regulation 8 because it addresses the conservation of fuel and power.
60_UK_UK_Approved_Document_G,"All these matters are amongst the purposes, other than health and safety, that may be addressed by Building Regulations."
65_UK_UK_Approved_Document_G,Key terms The following are key terms used in this document:
66_UK_UK_Approved_Document_G,"Note: Terms shown with * are deﬁned in legislation, either in the Building Act 1984 or the Building Regulations 2010, where the deﬁnition may be fuller than the deﬁnition given here."
67_UK_UK_Approved_Document_G,BCB means Building Control Body: a local authority or an Approved Inspector.
68_UK_UK_Approved_Document_G,"Building means any permanent or temporary building, but not any other kind of structure or erection, and a reference to a building includes a reference to part of a building."
69_UK_UK_Approved_Document_G,"This includes dwellings (houses, ﬂats) and public buildings."
70_UK_UK_Approved_Document_G,"Building work includes the erection or extension of a building, the provision or extension of a controlled service or ﬁtting in or in connection with a building, and the material alteration of a building, or a controlled service or ﬁtting."
71_UK_UK_Approved_Document_G,Combined temperature and pressure relief valve means a mechanically operated valve that opens to discharge water when a ﬁxed (factory set) temperature or ﬁxed (factory set) pressure is exceeded.
72_UK_UK_Approved_Document_G,"Controlled service or ﬁtting includes a service or ﬁtting subject to Schedule 1 requirements in respect of sanitation, hot water safety, water efﬁciency, drainage and waste disposal, combustion appliances and fuel storage, conservation of fuel or power, and electrical safety."
73_UK_UK_Approved_Document_G,Direct heating means a method of heating in which the heat source is integral with the hot water vessel.
74_UK_UK_Approved_Document_G,"Examples are an electrical immersion heater, or a gas burner with a ﬂue arrangement that passes through the vessel so that the ﬂue transfers heat to the stored water, or the circulation of water from a vessel situated near a burner with a ﬂue arrangement so that the ﬂue transfers heat to the circulating water."
75_UK_UK_Approved_Document_G,"Domestic hot water means water that has been heated for cooking, food preparation, personal washing or cleaning purposes."
76_UK_UK_Approved_Document_G,The term is used irrespective of the type of building in which the hot water system is installed.
77_UK_UK_Approved_Document_G,"Earth-closet means a closet having a movable receptacle for the reception of faecal matter and its deodorisation by the use of earth, ashes or chemicals, or by other methods."
78_UK_UK_Approved_Document_G,This will therefore include chemical and composting toilets.
79_UK_UK_Approved_Document_G,"Exempt buildings and work means the erection of any building or extension of a kind described in regulation 9 of and Schedule 2 to the Building Regulations 2010; or the carrying out of any work to or in connection with such a building or extension, if after the carrying out of that work it is still a building or extension of a kind described in that Schedule."
80_UK_UK_Approved_Document_G,Expansion vessel means a vessel to temporarily accommodate the expansion of water from the unvented hot water storage vessel as it is heated.
81_UK_UK_Approved_Document_G,Greywater is domestic wastewater excluding faecal matter and urine.
82_UK_UK_Approved_Document_G,"When appropriately treated this may replace the use of wholesome water in WCs, urinals, irrigation or washing machines."
83_UK_UK_Approved_Document_G,Harvested rainwater means rainwater harvested from roofs or other suitable surfaces and collected and stored.
84_UK_UK_Approved_Document_G,"When appropriately treated, this may replace the use of wholesome water in WCs, urinals, irrigation or washing machines."
85_UK_UK_Approved_Document_G,"Heated wholesome water means water that, when cold, was wholesome in accordance with the deﬁnition below and has been subjected to a heat source to increase its temperature."
86_UK_UK_Approved_Document_G,Hot water storage system means a vessel for storing:
89_UK_UK_Approved_Document_G,together with any ancillary safety devices described in paragraphs 3.10 and 3.11 of this Approved Document and all other applicable operating devices.
90_UK_UK_Approved_Document_G,"Hot water storage system package means a hot water storage system having the safety devices described in 3.10 and 3.17 of this Approved Document factory-ﬁtted by the manufacturer, together with a kit containing other applicable devices supplied by the manufacturer to be ﬁtted by the installer."
91_UK_UK_Approved_Document_G,Hot water storage system unit means a hot water storage system having the safety devices described in 3.10 and 3.17 of this Approved Document and all other applicable operating devices factory-ﬁtted by the manufacturer.
92_UK_UK_Approved_Document_G,Indirect heating means a method of heating stored water through a heat exchanger.
94_UK_UK_Approved_Document_G,"Material alteration means an alteration which results in a building or a controlled service or ﬁtting not complying with, or being more unsatisfactory than it was before in relation to Schedule 1 requirements in relation to structure, means of warning and escape, internal and external ﬁre spread, ﬁre service access and facilities, and access and use."
96_UK_UK_Approved_Document_G,-self-resetting energy cut-out means a device that will interrupt the supply of heat to a hot water storage vessel when a ﬁxed (factory set) temperature is exceeded.
97_UK_UK_Approved_Document_G,If this protective device is actuated it should only be possible to reset it manually.
104_UK_UK_Approved_Document_G,"Preparation of food means handling, making and cooking of food."
105_UK_UK_Approved_Document_G,Pressure relief valve means a mechanically operated valve that opens to discharge water when a ﬁxed (factory set) pressure is exceeded.
106_UK_UK_Approved_Document_G,Primary thermal store means a store of heat energy that can be used to heat domestic hot water by means of a heat exchanger.
107_UK_UK_Approved_Document_G,The thermal store can be heated by a variety of heat sources.
108_UK_UK_Approved_Document_G,Primary hot water thermal stores can be either vented or unvented.
109_UK_UK_Approved_Document_G,Risk assessment for the purposes of this document means the identiﬁcation of the hazards associated with a process or activity combined with an assessment of the probability and consequences of each hazard.
111_UK_UK_Approved_Document_G,"house or a ﬂat and which is used by one or more persons to live and sleep in, and includes a room in a hostel, a hotel, a boarding house, a hall of residence or a residential home, but does not include a room in a hospital, or other similar establishment, used for patient accommodation."
112_UK_UK_Approved_Document_G,"Sanitary accommodation means a room containing a WC or urinal, whether or not it also contains other sanitary appliances."
