id,text
0_UK_UK_Approved_Document_H,H Use of guidance
1_UK_UK_Approved_Document_H,THE APPROVED DOCUMENTS
2_UK_UK_Approved_Document_H,This document is one of a series that has been approved and issued by the Secretary of State for the purpose of providing practical guidance with respect to the requirements of Schedule 1 to and Regulation 7 of the Building Regulations 2010 (SI 2010/2214) for England and Wales.
3_UK_UK_Approved_Document_H,At the back of this document is a list of all the documents that have been approved and issued by the Secretary of State for this purpose.
4_UK_UK_Approved_Document_H,Approved Documents are intended to provide guidance for some of the more common building situations.
5_UK_UK_Approved_Document_H,"However, there may well be alternative ways of achieving compliance with the requirements."
6_UK_UK_Approved_Document_H,Thus there is no obligation to adopt any particular solution contained in an Approved Document if you prefer to meet the relevant requirement in some other way.
7_UK_UK_Approved_Document_H,Other requirements
8_UK_UK_Approved_Document_H,The guidance contained in an Approved Document relates only to the particular requirements of the Regulations which the document addresses.
9_UK_UK_Approved_Document_H,The building work will also have to comply with the requirements of any other relevant paragraphs in Schedule 1 to the Regulations.
10_UK_UK_Approved_Document_H,There are Approved Documents which give guidance on each of the Parts of Schedule 1 and on Regulation 7.
11_UK_UK_Approved_Document_H,LIMITATION ON REQUIREMENTS
12_UK_UK_Approved_Document_H,"In accordance with Regulation 8, the requirements in Parts A to K and N (except for paragraphs H2 and J6) of Schedule 1 to the Building Regulations do not require anything to be done except for the purpose of securing reasonable standards of health and safety for persons in or about buildings (and any others who may be affected by buildings or matters connected with buildings)."
13_UK_UK_Approved_Document_H,Paragraphs H2 and J7 are excluded from Regulation 8 because they deal directly with prevention of the contamination of water.
14_UK_UK_Approved_Document_H,Parts L and M are excluded because they respectively address the conservation of fuel and power and access and facilities for disabled people.
15_UK_UK_Approved_Document_H,"These matters are amongst the purposes, other than health and safety, that may be addressed by Building Regulations."
16_UK_UK_Approved_Document_H,MATERIALS AND WORKMANSHIP
