id,text
0_UK_UK_Approved_Document_H,H Use of guidance
1_UK_UK_Approved_Document_H,THE APPROVED DOCUMENTS
7_UK_UK_Approved_Document_H,Other requirements
11_UK_UK_Approved_Document_H,LIMITATION ON REQUIREMENTS
16_UK_UK_Approved_Document_H,MATERIALS AND WORKMANSHIP
23_UK_UK_Approved_Document_H,"THE WORKPLACE (HEALTH, SAFETY AND WELFARE)"
24_UK_UK_Approved_Document_H,REGULATIONS 1992
32_UK_UK_Approved_Document_H,4
33_UK_UK_Approved_Document_H,Drainage and waste disposal Approved Document HONLINE VERSIONONLINE VERSION USE OF GUIDANCE SAFE WORKING IN DRAINS AND SEWERS
41_UK_UK_Approved_Document_H,H
42_UK_UK_Approved_Document_H,5
43_UK_UK_Approved_Document_H,Approved Document H Drainage and waste disposalONLINE VERSIONONLINE VERSION FOUL WATER DRAINAGE
44_UK_UK_Approved_Document_H,The Requirement
45_UK_UK_Approved_Document_H,"This Approved Document, which took effect on 1 April 2002, deals with the following Requirement which is contained in the Building Regulations 2010"
46_UK_UK_Approved_Document_H,Requirement Limits on application
47_UK_UK_Approved_Document_H,Foul water drainage
53_UK_UK_Approved_Document_H,a cesspool.
57_UK_UK_Approved_Document_H,Guidance
58_UK_UK_Approved_Document_H,Performance
60_UK_UK_Approved_Document_H,Introduction to provisions
67_UK_UK_Approved_Document_H,is ventilated;
70_UK_UK_Approved_Document_H,6
73_UK_UK_Approved_Document_H,Drainage and waste disposal Approved Document HONLINE VERSIONONLINE VERSION Section 1: Sanitary pipework
74_UK_UK_Approved_Document_H,H1
80_UK_UK_Approved_Document_H,Traps
87_UK_UK_Approved_Document_H,Table 1 Minimum trap sizes and seal depths
88_UK_UK_Approved_Document_H,Diameter of trap Depth of seal (mm of water or equivalent)
89_UK_UK_Approved_Document_H,(mm) Appliance Washbasin 1 Bidet Bath 2 Shower 2 Food waste disposal unit Urinal bowl Sink Washing machine 2 Dishwashing machine 2
