id,text
0_UK_UK_Approved_Document_J,The requirements
1_UK_UK_Approved_Document_J,"This Approved Document, which takes effect on 1 October 2010, deals with combustion appliances and fuel storage systems in the Building Regulations 2010 (as amended)."
2_UK_UK_Approved_Document_J,"Limitation on requirements In accordance with regulation 8 of the Building Regulations, the requirements in Parts A to D, F to K and N and P (except for paragraphs G2, H2 and J6) of Schedule 1 to the Building Regulations do not require anything to be done except for the purpose of securing reasonable standards of health and safety for persons in or about buildings (and any others who may be affected by buildings or matters connected with buildings)."
3_UK_UK_Approved_Document_J,Paragraph G2 is excluded from regulation 8 as it deals with the conservation of water.
4_UK_UK_Approved_Document_J,Paragraphs H2 and J6 are excluded from regulation 8 because they deal directly with prevention of the contamination of water and of oil pollution.
5_UK_UK_Approved_Document_J,"Parts E and M (which deal, respectively, with resistance to the passage of sound and access to and use of buildings) are excluded from regulation 8 because they address the welfare and convenience of building users."
6_UK_UK_Approved_Document_J,Part L is excluded from regulation 8 because it addresses the conservation of fuel and power.
7_UK_UK_Approved_Document_J,"All these matters are amongst the purposes, other than health and safety that may be addressed by Building Regulations."
8_UK_UK_Approved_Document_J,Types of work covered by this Approved Document
9_UK_UK_Approved_Document_J,Building work
10_UK_UK_Approved_Document_J,"Building work, as defined in regulation 3 of the Building Regulations 2010, includes the erection and extension of a building, the provision or extension of a controlled service or fitting, and the material alteration of a building or a controlled service or fitting."
11_UK_UK_Approved_Document_J,"In addition, Building Regulations may apply in cases where the purposes for which or the manner or circumstances in which a building or part of a building is used change in the way that constitutes a material change of use."
12_UK_UK_Approved_Document_J,"Under regulation 4 of the Building Regulations 2010 (as amended), building work should be carried out in such a way that, on completion of work,"
13_UK_UK_Approved_Document_J,"the building complies with the applicable Parts of Schedule 1 to the Building Regulations,"
14_UK_UK_Approved_Document_J,"in the case of an extension or material alteration of a building, or the provision, extension or material alteration of a controlled service or fitting, where it did not comply with any such requirement, it is no more unsatisfactory in relation to that requirement than before the work was carried out."
15_UK_UK_Approved_Document_J,Work described in Part J concerns the provision or extension of controlled services or fittings.
16_UK_UK_Approved_Document_J,Work associated with installations covered in these sections may be subject to other relevant Parts of the Building Regulations.
17_UK_UK_Approved_Document_J,Material change of use A material change of use occurs in specified circumstances in which a building or part of a building that was previously used for one purpose will be used in future for another.
18_UK_UK_Approved_Document_J,Where there is a material change of use the Building Regulations set requirements that must be met before the building can be used for its new purpose.
19_UK_UK_Approved_Document_J,Regulation 5 of the Building Regulations specifies the following circumstances as material changes of use:
20_UK_UK_Approved_Document_J,• a building is used as a dwelling where previously it was not.
21_UK_UK_Approved_Document_J,• a building contains a flat where previously it did not.
22_UK_UK_Approved_Document_J,• a building is used as an hotel or boarding house where previously it was not.
23_UK_UK_Approved_Document_J,• a building is used as an institution where previously it was not.
24_UK_UK_Approved_Document_J,• a building is used as a public building where previously it was not.
25_UK_UK_Approved_Document_J,• a building no longer comes within the exemptions in Schedule 2 to the Building Regulations where previously it did.
26_UK_UK_Approved_Document_J,• a building which contains at least one dwelling contains a greater or lesser number of dwellings than it did previously.
27_UK_UK_Approved_Document_J,• a building contains a room for residential purposes where previously it did not.
28_UK_UK_Approved_Document_J,• a building which contains at least one room for residential puposes contains a greater or lesser number of such rooms than it did previously.
29_UK_UK_Approved_Document_J,• a building is used as a shop where previously it was not.
