id,text
0_UK_UK_Approved_Document_J,The requirements
8_UK_UK_Approved_Document_J,Types of work covered by this Approved Document
9_UK_UK_Approved_Document_J,Building work
31_UK_UK_Approved_Document_J,Historic buildings
33_UK_UK_Approved_Document_J,5
34_UK_UK_Approved_Document_J,JApproved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION J THE REQUIREMENTS
36_UK_UK_Approved_Document_J,listed buildings;
44_UK_UK_Approved_Document_J,Notification of work
47_UK_UK_Approved_Document_J,Competent person self-certification schemes under Schedule 3
51_UK_UK_Approved_Document_J,Details of current schemes including those 6
52_UK_UK_Approved_Document_J,relating to combustion appliances can be found from www.gov.uk/building-regulations-
55_UK_UK_Approved_Document_J,"Where work is carried out by a person registered with a competent person scheme, regulation 20 of the Building Regulations and regulation 20(1) of the Building (Approved Inspectors etc.)"
61_UK_UK_Approved_Document_J,Work which is not notifiable under Schedule 4
69_UK_UK_Approved_Document_J,Exemptions
72_UK_UK_Approved_Document_J,Materials and workmanship
79_UK_UK_Approved_Document_J,Supplementary guidance
81_UK_UK_Approved_Document_J,This material may be conveyed in official letters to chief executives of local authorities and Approved Inspectors and/or posted on the websites accessed through: www.gov.uk/housing-local-and-community/
83_UK_UK_Approved_Document_J,J
84_UK_UK_Approved_Document_J,Interaction with other legislation
85_UK_UK_Approved_Document_J,"The Workplace (Health, Safety and Welfare) Regulations 1992"
93_UK_UK_Approved_Document_J,Smoke control areas
102_UK_UK_Approved_Document_J,More information and details of authorised fuels and exempt appliances can be found on the internet at http://smokecontrol.defra.gov.uk/
103_UK_UK_Approved_Document_J,7
104_UK_UK_Approved_Document_J,Approved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION J THE REQUIREMENTS
105_UK_UK_Approved_Document_J,Maintenance
108_UK_UK_Approved_Document_J,8
109_UK_UK_Approved_Document_J,Combustion appliances and fuel storage systems Approved Document JONLINE VERSIONONLINE VERSION COMBUSTION APPLIANCES AND FUEL STORAGE SYSTEMS The Requirements J1/J2/J3/J4/J5/J6
110_UK_UK_Approved_Document_J,J
112_UK_UK_Approved_Document_J,Requirement Limits on application
121_UK_UK_Approved_Document_J,Part J Combustion Appliances and Fuel Storage Systems
122_UK_UK_Approved_Document_J,Air supply
124_UK_UK_Approved_Document_J,Discharge of products of combustion
126_UK_UK_Approved_Document_J,Warning of release of carbon monoxide
128_UK_UK_Approved_Document_J,Protection of building
130_UK_UK_Approved_Document_J,Provision of information
132_UK_UK_Approved_Document_J,Protection of liquid fuel storage systems
134_UK_UK_Approved_Document_J,Protection against pollution
140_UK_UK_Approved_Document_J,9
141_UK_UK_Approved_Document_J,JApproved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION Section 0: General guidance
142_UK_UK_Approved_Document_J,This Approved Document gives guidance Introduction to the provisions
155_UK_UK_Approved_Document_J,Explanation of terms used
159_UK_UK_Approved_Document_J,10
161_UK_UK_Approved_Document_J,A balanced flue appliance is a type of room-
166_UK_UK_Approved_Document_J,Diagram 1 Boundaries in this Approved Document
178_UK_UK_Approved_Document_J,"The designation system in BS EN 1443:2003 expresses the performance characteristics of a chimney or its components, as assessed in accordance with an appropriate European product standard, by means of a code such as EN 1234 –"
181_UK_UK_Approved_Document_J,Diagram 2 Chimneys and flues
182_UK_UK_Approved_Document_J,Sleeve
183_UK_UK_Approved_Document_J,J
184_UK_UK_Approved_Document_J,11
185_UK_UK_Approved_Document_J,JApproved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION J GENERAL GUIDANCE
189_UK_UK_Approved_Document_J,It allows the appliance to operate without interference from down-
191_UK_UK_Approved_Document_J,Diagram 3 Draught diverter and draught stabiliser
194_UK_UK_Approved_Document_J,Equivalent area is defined in BS EN
195_UK_UK_Approved_Document_J,13141
196_UK_UK_Approved_Document_J,-1:2004
199_UK_UK_Approved_Document_J,"Factory-made metal chimneys (also known as system chimneys) are prefabricated chimneys that are commonly manufactured as sets of components for assembly on site (although they can be supplied as one unit), having the performance appropriate for the 12"
200_UK_UK_Approved_Document_J,intended appliance.
204_UK_UK_Approved_Document_J,Appliances with fans providing the combustion air (including most oil-fired and many gas-
208_UK_UK_Approved_Document_J,(A roof-space above the top storey of a fire compartment is included in that fire compartment.)
219_UK_UK_Approved_Document_J,J Combustion appliances and fuel storage systems Approved Document JONLINE VERSIONONLINE VERSION GENERAL GUIDANCE J
224_UK_UK_Approved_Document_J,"There are two types of common systems, one being solely for use with gas-"
226_UK_UK_Approved_Document_J,Diagram 4 Types of installation
227_UK_UK_Approved_Document_J,13
228_UK_UK_Approved_Document_J,JApproved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION J GENERAL GUIDANCE
229_UK_UK_Approved_Document_J,Diagram 5 Fireplace recesses
246_UK_UK_Approved_Document_J,"In a natural draught flue, the combustion products flow into the flue as a result of the draught produced due to the difference between the temperature of the gases within 14"
247_UK_UK_Approved_Document_J,Combustion appliances and fuel storage systems Approved Document JONLINE VERSIONONLINE VERSION GENERAL GUIDANCE Diagram 6 The functions of hearths
248_UK_UK_Approved_Document_J,J
252_UK_UK_Approved_Document_J,Non
253_UK_UK_Approved_Document_J,-combustible material.
255_UK_UK_Approved_Document_J,Non
262_UK_UK_Approved_Document_J,(Use in buildings of combustible metals such as magnesium–aluminium alloys should be assessed in each individual case.)
272_UK_UK_Approved_Document_J,(See also heat input rate.)
274_UK_UK_Approved_Document_J,15
275_UK_UK_Approved_Document_J,Approved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION J GENERAL GUIDANCE
283_UK_UK_Approved_Document_J,"The size a flue or duct (area, diameter etc) Measuring the size of flues and ducts"
286_UK_UK_Approved_Document_J,Diagram 7 Measurement of flues and ducts
287_UK_UK_Approved_Document_J,16
288_UK_UK_Approved_Document_J,J Combustion appliances and fuel storage systems Approved Document JONLINE VERSIONONLINE VERSION Section 1: Provisions which apply generally to combustion installations
289_UK_UK_Approved_Document_J,In the Secretary of State’s view Performance
300_UK_UK_Approved_Document_J,Air supply for combustion appliances
307_UK_UK_Approved_Document_J,A room containing an open-flued appliance Permanently open ventilation of rooms
309_UK_UK_Approved_Document_J,An open-
312_UK_UK_Approved_Document_J,Permanent ventilation of appliance compartments
316_UK_UK_Approved_Document_J,Ventilation of other rooms or spaces
321_UK_UK_Approved_Document_J,17
322_UK_UK_Approved_Document_J,JApproved Document J Combustion appliances and fuel storage systemsONLINE VERSIONONLINE VERSION J PROVISIONS WHICH APPLY GENERALLY TO COMBUSTION INSTALLATIONS
323_UK_UK_Approved_Document_J,"Diagram 8 General air supply to a combustion appliance (for sizes see Sections 2, 3 and 4)"
324_UK_UK_Approved_Document_J,18
325_UK_UK_Approved_Document_J,J Combustion appliances and fuel storage systems Approved Document JONLINE VERSIONONLINE VERSION PROVISIONS WHICH APPLY GENERALLY TO
326_UK_UK_Approved_Document_J,COMBUSTION INSTALLATIONS J
327_UK_UK_Approved_Document_J,Diagram 9 Ventilator free areas
328_UK_UK_Approved_Document_J,Equivalent
329_UK_UK_Approved_Document_J,or Free area 1
330_UK_UK_Approved_Document_J,Equivalent
331_UK_UK_Approved_Document_J,or Free area 2
332_UK_UK_Approved_Document_J,Ventilator assembled on site from
333_UK_UK_Approved_Document_J,components
334_UK_UK_Approved_Document_J,The ventilator area is the smaller of
335_UK_UK_Approved_Document_J,equivalent area (1 or 2) (as declared
