id,text
0_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
1_UK_UK_Approved_Document_K,The Building Regulations
2_UK_UK_Approved_Document_K,The following is a high level summary of the Building Regulations relevant to most types of building work.
3_UK_UK_Approved_Document_K,"Where there is any doubt you should consult the full text of the regulations, available at www.legislation.gov.uk."
4_UK_UK_Approved_Document_K,Building work
5_UK_UK_Approved_Document_K,Regulation 3 of the Building Regulations defines ‘building work’.
6_UK_UK_Approved_Document_K,Building work includes:
7_UK_UK_Approved_Document_K,the erection or extension of a building
8_UK_UK_Approved_Document_K,the provision or extension of a controlled service or fitting
9_UK_UK_Approved_Document_K,the material alteration of a building or a controlled service or fitting.
10_UK_UK_Approved_Document_K,"Regulation 4 states that building work should be carried out in such a way that, when work is complete:"
11_UK_UK_Approved_Document_K,for new buildings or work on a building that complied with the applicable requirements of the Building Regulations: the building complies with the applicable requirements of the Building Regulations
12_UK_UK_Approved_Document_K,for work on an existing building that did not comply with the applicable requirements of the Building Regulations:
13_UK_UK_Approved_Document_K,the work itself must comply with the applicable requirements of the Building Regulations
14_UK_UK_Approved_Document_K,the building must be no more unsatisfactory in relation to the requirements than before the work was carried out.
15_UK_UK_Approved_Document_K,Material change of use
16_UK_UK_Approved_Document_K,Regulation 5 defines a ‘material change of use’ in which a building or part of a building that was previously used for one purpose will be used for another.
17_UK_UK_Approved_Document_K,The Building Regulations set out requirements that must be met before a building can be used for a new purpose.
18_UK_UK_Approved_Document_K,"To meet the requirements, the building may need to be upgraded in some way."
19_UK_UK_Approved_Document_K,Materials and workmanship
20_UK_UK_Approved_Document_K,"In accordance with regulation 7, building work must be carried out in a workmanlike manner using adequate and proper materials."
21_UK_UK_Approved_Document_K,Guidance on materials and workmanship is given in Approved Document 7.
22_UK_UK_Approved_Document_K,Energy efficiency requirements
23_UK_UK_Approved_Document_K,Part 6 of the Building Regulations imposes additional specific requirements for energy efficiency.
24_UK_UK_Approved_Document_K,"If a building is extended or renovated, the energy efficiency of the existing building or part of it may need to be upgraded."
25_UK_UK_Approved_Document_K,Building Regulations 2010 O N L I N E V E R S I O N
26_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
27_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
28_UK_UK_Approved_Document_K,Approved Docu
29_UK_UK_Approved_Document_K,"Approved Document K, 2013 edition Approved Docu"
30_UK_UK_Approved_Document_K,Approved Docu
31_UK_UK_Approved_Document_K,iii
32_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
33_UK_UK_Approved_Document_K,Notification of work
34_UK_UK_Approved_Document_K,Most building work and material changes of use must be notified to a building control body unless one of the following applies.
