id,text
0_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
1_UK_UK_Approved_Document_K,The Building Regulations
4_UK_UK_Approved_Document_K,Building work
7_UK_UK_Approved_Document_K,the erection or extension of a building
8_UK_UK_Approved_Document_K,the provision or extension of a controlled service or fitting
11_UK_UK_Approved_Document_K,for new buildings or work on a building that complied with the applicable requirements of the Building Regulations: the building complies with the applicable requirements of the Building Regulations
13_UK_UK_Approved_Document_K,the work itself must comply with the applicable requirements of the Building Regulations
15_UK_UK_Approved_Document_K,Material change of use
19_UK_UK_Approved_Document_K,Materials and workmanship
22_UK_UK_Approved_Document_K,Energy efficiency requirements
25_UK_UK_Approved_Document_K,Building Regulations 2010 O N L I N E V E R S I O N
26_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
27_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
28_UK_UK_Approved_Document_K,Approved Docu
29_UK_UK_Approved_Document_K,"Approved Document K, 2013 edition Approved Docu"
30_UK_UK_Approved_Document_K,Approved Docu
31_UK_UK_Approved_Document_K,iii
32_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
33_UK_UK_Approved_Document_K,Notification of work
37_UK_UK_Approved_Document_K,Responsibility for compliance
41_UK_UK_Approved_Document_K,"iv t K, 2013 edition"
42_UK_UK_Approved_Document_K,"Approved Document K, 2013 edition t K, 2013 edition"
43_UK_UK_Approved_Document_K,"t K, 2013 edition"
44_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
45_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
46_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
47_UK_UK_Approved_Document_K,Building Regulations 2010
48_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
49_UK_UK_Approved_Document_K,"Contents The approved documents The Building Regulations Approved Document K: Protection from falling, collision and impact Summary Application Interaction with other legislation Requirement K1: Stairs, ladders and ramps Performance Section 1: Stairs and ladders Scope Steepness of stairs – rise and going Stepped gangways in assembly buildings Construction of steps Headroom for stairs Width of flights of stairs Length of flights of stairs Landings for stairs Special stairs Handrails for stairs Guarding of stairs Access for maintenance Section 2: Ramps Scope Appearance of ramps Steepness of ramps Construction of ramps Design of ramps Width of ramps Obstruction of ramps Building Regulations 2010 O N L I N E V E R S I O N"
50_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
51_UK_UK_Approved_Document_K,O N L I N E V E R S I O N
52_UK_UK_Approved_Document_K,Approved Docu
53_UK_UK_Approved_Document_K,"Approved Document K, 2013 edition Approved Docu"
54_UK_UK_Approved_Document_K,Approved Docu
55_UK_UK_Approved_Document_K,Page i
56_UK_UK_Approved_Document_K,iii
57_UK_UK_Approved_Document_K,1
