id,text
2_UK_UK_Approved_Document_K,The following is a high level summary of the Building Regulations relevant to most types of building work.
3_UK_UK_Approved_Document_K,"Where there is any doubt you should consult the full text of the regulations, available at www.legislation.gov.uk."
5_UK_UK_Approved_Document_K,Regulation 3 of the Building Regulations defines ‘building work’.
6_UK_UK_Approved_Document_K,Building work includes:
9_UK_UK_Approved_Document_K,the material alteration of a building or a controlled service or fitting.
10_UK_UK_Approved_Document_K,"Regulation 4 states that building work should be carried out in such a way that, when work is complete:"
12_UK_UK_Approved_Document_K,for work on an existing building that did not comply with the applicable requirements of the Building Regulations:
14_UK_UK_Approved_Document_K,the building must be no more unsatisfactory in relation to the requirements than before the work was carried out.
16_UK_UK_Approved_Document_K,Regulation 5 defines a ‘material change of use’ in which a building or part of a building that was previously used for one purpose will be used for another.
17_UK_UK_Approved_Document_K,The Building Regulations set out requirements that must be met before a building can be used for a new purpose.
18_UK_UK_Approved_Document_K,"To meet the requirements, the building may need to be upgraded in some way."
20_UK_UK_Approved_Document_K,"In accordance with regulation 7, building work must be carried out in a workmanlike manner using adequate and proper materials."
21_UK_UK_Approved_Document_K,Guidance on materials and workmanship is given in Approved Document 7.
23_UK_UK_Approved_Document_K,Part 6 of the Building Regulations imposes additional specific requirements for energy efficiency.
24_UK_UK_Approved_Document_K,"If a building is extended or renovated, the energy efficiency of the existing building or part of it may need to be upgraded."
34_UK_UK_Approved_Document_K,Most building work and material changes of use must be notified to a building control body unless one of the following applies.
35_UK_UK_Approved_Document_K,It is work that will be self-certified by a registered competent person or certified by a registered third party.
36_UK_UK_Approved_Document_K,"It is work exempted from the need to notify by regulation 12(6A) of, or Schedule 4 to, the Building Regulations."
38_UK_UK_Approved_Document_K,"People who are responsible for building work (e.g. agent, designer, builder or installer) must ensure that the work complies with all applicable requirements of the Building Regulations."
39_UK_UK_Approved_Document_K,The building owner may also be responsible for ensuring that work complies with the Building Regulations.
40_UK_UK_Approved_Document_K,"If building work does not comply with the Building Regulations, the building owner may be served with an enforcement notice."
85_UK_UK_Approved_Document_K,Handrails for ramps Landings for ramps Guarding of ramps Requirement K2: Protection from falling Performance Section 3: Protection from falling Siting of pedestrian guarding Design of guarding Guarding of areas used for maintenance Requirement K3: Vehicle barriers and loading bays Performance Section 4: Vehicle barriers and loading bays Vehicle barriers Loading bays Guarding for loading bays Requirement K4: Protection against impact with glazing Performance Section 5: Protection against impact with glazing Glazing in critical locations Safe breakage Robustness Glazing in small panes Permanent screen protection Requirement K5.1:
86_UK_UK_Approved_Document_K,Protection from collision with open windows etc. Performance Section 6: Protection from collision with open windows etc. Projecting parts Spaces used only for maintenance Requirement K5.2:
157_UK_UK_Approved_Document_K,"This approved document gives guidance on how to comply with Parts K1, K2, K3, K4, K5.1, K5.2, K5.3, K5.4 and K6 of the Building Regulations."
158_UK_UK_Approved_Document_K,It contains the following sections:
163_UK_UK_Approved_Document_K,Section 5: Section 6: Guidance on protection from collision with open windows etc.
164_UK_UK_Approved_Document_K,Section 7: Section 8: Guidance on safe opening and closing of windows etc.
165_UK_UK_Approved_Document_K,Section 9: Guidance on safe access for cleaning windows etc.
166_UK_UK_Approved_Document_K,Section 10: Guidance on protection against impact from and trapping by doors.
169_UK_UK_Approved_Document_K,Regulation 3 defines building work such that the following applies.
171_UK_UK_Approved_Document_K,"erection, extension or material alteration of a building (other than an exempt building), and"
173_UK_UK_Approved_Document_K,requirement K4 and K5.2.
175_UK_UK_Approved_Document_K,"work, but the supply of the glazing may be subject to consumer protection legislation."
176_UK_UK_Approved_Document_K,Requirement K1 applies to means of access outside a building only when the access is part of the building (i.e. attached).
177_UK_UK_Approved_Document_K,"For example, requirement K1 does not apply to steps on land leading to a building, but does apply to entrance steps which are part of the building."
178_UK_UK_Approved_Document_K,Regarding access routes.
181_UK_UK_Approved_Document_K,Buildings other than dwellinghouses.
186_UK_UK_Approved_Document_K,The guidance provided in this document is in relation to the permanent features which form part of the building providing reasonable safety in the appropriate circumstances.
