id,text
0_UK_UK_Approved_Document_M_vol_1,"Section 0: Approved Document M Volume 1: Access to and use of dwellings Summary 0.1 This approved document gives guidance about how to comply with requirements M4(1), M4(2) and M4(3) of the Building Regulations."
1_UK_UK_Approved_Document_M_vol_1,It contains the following sections:
2_UK_UK_Approved_Document_M_vol_1,Section 1: Category 1 – Visitable dwellings
3_UK_UK_Approved_Document_M_vol_1,Section 2: Category 2 – Accessible and adaptable dwellings
4_UK_UK_Approved_Document_M_vol_1,Section 3: Category 3 – Wheelchair user dwellings
5_UK_UK_Approved_Document_M_vol_1,"Application 0.2 The recommendations of this volume of this approved document apply to newly erected dwellings, and dwellings undergoing material alteration, only."
6_UK_UK_Approved_Document_M_vol_1,They do not apply to the extension of a dwelling.
7_UK_UK_Approved_Document_M_vol_1,Optional requirements
8_UK_UK_Approved_Document_M_vol_1,Requirements M4(2) and M4(3) are ‘optional requirements’ as defined in the Building Regulations.
9_UK_UK_Approved_Document_M_vol_1,An optional requirement only applies where a condition that one or more dwellings should meet the relevant optional requirement is imposed on new development as part of the process of granting planning permission.
10_UK_UK_Approved_Document_M_vol_1,"Where no condition is imposed, dwellings only need to meet requirements M4(1)."
11_UK_UK_Approved_Document_M_vol_1,"Compliance should be assessed against only one of requirements M4(1), M4(2) or M4(3) for any given dwelling."
12_UK_UK_Approved_Document_M_vol_1,"Where any part of an approach route, including vertical circulation in the common parts of a block of flats, is shared between dwellings of different categories, Section A of the optional requirement for the highest numbered category of dwelling served will apply to that part of the approach route."
13_UK_UK_Approved_Document_M_vol_1,Where a local planning authority sets a planning condition for Category 3 (wheelchair user) housing it can specify which dwellings should be wheelchair accessible by including in the planning permission a condition stating that optional requirement M4(3)(2)(b) applies.
14_UK_UK_Approved_Document_M_vol_1,"Where no such condition is applied, optional requirement M4(3)(2)(a) will apply by default requiring that dwellings should be wheelchair adaptable."
15_UK_UK_Approved_Document_M_vol_1,The person carrying out building work must inform the building control body where any optional requirements apply.
16_UK_UK_Approved_Document_M_vol_1,"Interaction with other legislation The Workplace (Health, Safety and Welfare) Regulations"
17_UK_UK_Approved_Document_M_vol_1,"If people, such as cleaners and caretakers, are employed to work in the common parts of flats and similar buildings the Workplace (Health, Safety and Welfare) Regulations will apply."
18_UK_UK_Approved_Document_M_vol_1,"The Workplace (Health, Safety and Welfare) Regulations contain some requirements that affect building design."
19_UK_UK_Approved_Document_M_vol_1,The main requirements are covered by the Building Regulations.
20_UK_UK_Approved_Document_M_vol_1,For further information see www.hse.gov.uk.
21_UK_UK_Approved_Document_M_vol_1,"Building Regulations 2010 Approved Document M Volume 1, 2015 edition 1"
22_UK_UK_Approved_Document_M_vol_1,ONLINE VERSIONONLINE VERSION The Equality Act 2010 and Equality Act 2010 (Disability) Regulations
