id,text
2_UK_UK_Approved_Document_M_vol_1,Section 1: Category 1 – Visitable dwellings
3_UK_UK_Approved_Document_M_vol_1,Section 2: Category 2 – Accessible and adaptable dwellings
4_UK_UK_Approved_Document_M_vol_1,Section 3: Category 3 – Wheelchair user dwellings
7_UK_UK_Approved_Document_M_vol_1,Optional requirements
16_UK_UK_Approved_Document_M_vol_1,"Interaction with other legislation The Workplace (Health, Safety and Welfare) Regulations"
21_UK_UK_Approved_Document_M_vol_1,"Building Regulations 2010 Approved Document M Volume 1, 2015 edition 1"
22_UK_UK_Approved_Document_M_vol_1,ONLINE VERSIONONLINE VERSION The Equality Act 2010 and Equality Act 2010 (Disability) Regulations
26_UK_UK_Approved_Document_M_vol_1,Mixed use development
28_UK_UK_Approved_Document_M_vol_1,Material alterations
33_UK_UK_Approved_Document_M_vol_1,Interaction with Parts C and K of the Building Regulations
38_UK_UK_Approved_Document_M_vol_1,"Approved Document M Volume 1, 2015 edition Building Regulations 2010"
39_UK_UK_Approved_Document_M_vol_1,ONLINE VERSIONONLINE VERSION Requirement M4(1): Category 1 – Visitable dwellings
41_UK_UK_Approved_Document_M_vol_1,Requirement
42_UK_UK_Approved_Document_M_vol_1,Requirement
43_UK_UK_Approved_Document_M_vol_1,Category 1 – visitable dwelling
44_UK_UK_Approved_Document_M_vol_1,Access and use
45_UK_UK_Approved_Document_M_vol_1,Limits on application
46_UK_UK_Approved_Document_M_vol_1,M4(1).
47_UK_UK_Approved_Document_M_vol_1,Reasonable provision should be made for people to—
51_UK_UK_Approved_Document_M_vol_1,"use, the dwelling and its facilities"
53_UK_UK_Approved_Document_M_vol_1,Performance
62_UK_UK_Approved_Document_M_vol_1,"Building Regulations 2010 Approved Document M Volume 1, 2015 edition 3"
63_UK_UK_Approved_Document_M_vol_1,M4(1)ONLINE
64_UK_UK_Approved_Document_M_vol_1,VERSIONONLINE VERSION Section 1: Category 1 – Visitable dwellings
65_UK_UK_Approved_Document_M_vol_1,Section 1A:
66_UK_UK_Approved_Document_M_vol_1,Approach to the dwelling
67_UK_UK_Approved_Document_M_vol_1,Application
72_UK_UK_Approved_Document_M_vol_1,Approach routes
83_UK_UK_Approved_Document_M_vol_1,External ramps forming part of an approach route
85_UK_UK_Approved_Document_M_vol_1,Individual flights are: • • for gradients up to 1:15 – not more than 10m long
87_UK_UK_Approved_Document_M_vol_1,"Approved Document M Volume 1, 2015 edition Building Regulations 2010"
88_UK_UK_Approved_Document_M_vol_1,M4(1)ONLINE
89_UK_UK_Approved_Document_M_vol_1,VERSIONONLINE VERSION M4(1)
93_UK_UK_Approved_Document_M_vol_1,External stepped approach
102_UK_UK_Approved_Document_M_vol_1,Communal entrances
105_UK_UK_Approved_Document_M_vol_1,c
106_UK_UK_Approved_Document_M_vol_1,d
107_UK_UK_Approved_Document_M_vol_1,a
108_UK_UK_Approved_Document_M_vol_1,b
109_UK_UK_Approved_Document_M_vol_1,distance a-b = clear opening width
110_UK_UK_Approved_Document_M_vol_1,Key:
111_UK_UK_Approved_Document_M_vol_1,a inside face of door (when open)
112_UK_UK_Approved_Document_M_vol_1,b inside edge of door frame or stop
113_UK_UK_Approved_Document_M_vol_1,c leading edge d following edge
114_UK_UK_Approved_Document_M_vol_1,Notes:
116_UK_UK_Approved_Document_M_vol_1,Diagram 1.1 Measurement of clear opening width of external and internal doors
119_UK_UK_Approved_Document_M_vol_1,"Building Regulations 2010 Approved Document M Volume 1, 2015 edition 5"
120_UK_UK_Approved_Document_M_vol_1,ONLINE VERSIONONLINE VERSION M4(1)
121_UK_UK_Approved_Document_M_vol_1,Communal lifts and stairs General provisions
137_UK_UK_Approved_Document_M_vol_1,NOTE:
142_UK_UK_Approved_Document_M_vol_1,"Approved Document M Volume 1, 2015 edition Building Regulations 2010"
143_UK_UK_Approved_Document_M_vol_1,ONLINE VERSIONONLINE VERSION M4(1)
144_UK_UK_Approved_Document_M_vol_1,Section 1B: Private entrances and spaces within the dwelling
145_UK_UK_Approved_Document_M_vol_1,Application
152_UK_UK_Approved_Document_M_vol_1,Circulation areas and internal doorways
153_UK_UK_Approved_Document_M_vol_1,Door and hall widths
157_UK_UK_Approved_Document_M_vol_1,775mm
158_UK_UK_Approved_Document_M_vol_1,800mm
159_UK_UK_Approved_Document_M_vol_1,m
160_UK_UK_Approved_Document_M_vol_1,m
161_UK_UK_Approved_Document_M_vol_1,0
162_UK_UK_Approved_Document_M_vol_1,0
163_UK_UK_Approved_Document_M_vol_1,9
164_UK_UK_Approved_Document_M_vol_1,m
165_UK_UK_Approved_Document_M_vol_1,m
166_UK_UK_Approved_Document_M_vol_1,0
167_UK_UK_Approved_Document_M_vol_1,5
168_UK_UK_Approved_Document_M_vol_1,0
169_UK_UK_Approved_Document_M_vol_1,1
170_UK_UK_Approved_Document_M_vol_1,max.
171_UK_UK_Approved_Document_M_vol_1,m
172_UK_UK_Approved_Document_M_vol_1,m
173_UK_UK_Approved_Document_M_vol_1,0
174_UK_UK_Approved_Document_M_vol_1,5
175_UK_UK_Approved_Document_M_vol_1,7
176_UK_UK_Approved_Document_M_vol_1,m
177_UK_UK_Approved_Document_M_vol_1,m
178_UK_UK_Approved_Document_M_vol_1,0
179_UK_UK_Approved_Document_M_vol_1,5
180_UK_UK_Approved_Document_M_vol_1,7
181_UK_UK_Approved_Document_M_vol_1,m
182_UK_UK_Approved_Document_M_vol_1,m
183_UK_UK_Approved_Document_M_vol_1,0
184_UK_UK_Approved_Document_M_vol_1,0
185_UK_UK_Approved_Document_M_vol_1,9
186_UK_UK_Approved_Document_M_vol_1,m
187_UK_UK_Approved_Document_M_vol_1,m
188_UK_UK_Approved_Document_M_vol_1,0
189_UK_UK_Approved_Document_M_vol_1,5
190_UK_UK_Approved_Document_M_vol_1,7
191_UK_UK_Approved_Document_M_vol_1,max.
192_UK_UK_Approved_Document_M_vol_1,Key:
193_UK_UK_Approved_Document_M_vol_1,Localised obstruction not permitted in shaded zone
194_UK_UK_Approved_Document_M_vol_1,Permitted obstruction
195_UK_UK_Approved_Document_M_vol_1,"Diagram 1.2 Minimum door width, hall widths and localised obstructions"
196_UK_UK_Approved_Document_M_vol_1,1200mm
197_UK_UK_Approved_Document_M_vol_1,all dimensions are minimum except where noted
198_UK_UK_Approved_Document_M_vol_1,"Building Regulations 2010 Approved Document M Volume 1, 2015 edition 7"
199_UK_UK_Approved_Document_M_vol_1,ONLINE VERSIONONLINE VERSION M4(1)
200_UK_UK_Approved_Document_M_vol_1,Doorway clear opening width (mm)
201_UK_UK_Approved_Document_M_vol_1,Corridor clear passageway width (mm)
202_UK_UK_Approved_Document_M_vol_1,or wider
203_UK_UK_Approved_Document_M_vol_1,750
204_UK_UK_Approved_Document_M_vol_1,775
205_UK_UK_Approved_Document_M_vol_1,800
206_UK_UK_Approved_Document_M_vol_1,(when approached head on)
207_UK_UK_Approved_Document_M_vol_1,(when approach is not head-on)
208_UK_UK_Approved_Document_M_vol_1,(when approach is not head-on)
209_UK_UK_Approved_Document_M_vol_1,(when approach is not head on)
210_UK_UK_Approved_Document_M_vol_1,NOTE:
214_UK_UK_Approved_Document_M_vol_1,Sanitary facilities
215_UK_UK_Approved_Document_M_vol_1,WC facilities
221_UK_UK_Approved_Document_M_vol_1,C
222_UK_UK_Approved_Document_M_vol_1,W
223_UK_UK_Approved_Document_M_vol_1,f
224_UK_UK_Approved_Document_M_vol_1,o
225_UK_UK_Approved_Document_M_vol_1,t
226_UK_UK_Approved_Document_M_vol_1,n
227_UK_UK_Approved_Document_M_vol_1,o
228_UK_UK_Approved_Document_M_vol_1,r
229_UK_UK_Approved_Document_M_vol_1,f
230_UK_UK_Approved_Document_M_vol_1,o
231_UK_UK_Approved_Document_M_vol_1,t
232_UK_UK_Approved_Document_M_vol_1,i
233_UK_UK_Approved_Document_M_vol_1,g
234_UK_UK_Approved_Document_M_vol_1,n
235_UK_UK_Approved_Document_M_vol_1,n
236_UK_UK_Approved_Document_M_vol_1,e
237_UK_UK_Approved_Document_M_vol_1,p
238_UK_UK_Approved_Document_M_vol_1,O
239_UK_UK_Approved_Document_M_vol_1,m
240_UK_UK_Approved_Document_M_vol_1,m
241_UK_UK_Approved_Document_M_vol_1,0
242_UK_UK_Approved_Document_M_vol_1,5
243_UK_UK_Approved_Document_M_vol_1,2
244_UK_UK_Approved_Document_M_vol_1,m
245_UK_UK_Approved_Document_M_vol_1,m
246_UK_UK_Approved_Document_M_vol_1,0
247_UK_UK_Approved_Document_M_vol_1,5
248_UK_UK_Approved_Document_M_vol_1,7
249_UK_UK_Approved_Document_M_vol_1,m
250_UK_UK_Approved_Document_M_vol_1,m
251_UK_UK_Approved_Document_M_vol_1,0
252_UK_UK_Approved_Document_M_vol_1,5
253_UK_UK_Approved_Document_M_vol_1,7
254_UK_UK_Approved_Document_M_vol_1,Notes:
258_UK_UK_Approved_Document_M_vol_1,450*mm 400mm
259_UK_UK_Approved_Document_M_vol_1,450*mm 450*mm
260_UK_UK_Approved_Document_M_vol_1,Example 1.3A – Clear access for oblique transfer Example 1.3A – Clear access for frontal transfer Diagram 1.3 WC access zones
