id,text
2_UK_UK_Approved_Document_M_vol_2,"The aim is to provide a suitable means of access for people from the entrance point at the boundary of the site, and from any car parking that is provided on the site, to the building."
3_UK_UK_Approved_Document_M_vol_2,It is also important that routes between buildings within a complex are also accessible.
4_UK_UK_Approved_Document_M_vol_2,"In designing an approach to the building, it should be recognised that changes in level are difficult for many people to negotiate, including wheelchair users, people who need to use walking aids and people with impaired sight."
5_UK_UK_Approved_Document_M_vol_2,Access routes that are too narrow can also make it difficult for people to pass each other.
6_UK_UK_Approved_Document_M_vol_2,It is important to be aware that 1.3 people’s capabilities vary.
7_UK_UK_Approved_Document_M_vol_2,"For example, for some people, a stair is easier to use than a ramp."
8_UK_UK_Approved_Document_M_vol_2,"The building should be designed, within the overall constraints of space, so that the difference in level between the entrance storey and the site entry point is minimised."
9_UK_UK_Approved_Document_M_vol_2,"It is also important that potential hazards on access routes adjacent to buildings, e.g. open windows, are avoided so that people, particularly children and those with impaired sight or hearing, are not injured."
10_UK_UK_Approved_Document_M_vol_2,Note: The publication ‘Inclusive Mobility: A Guide to Best Practice on Access to Pedestrian and Transport Infrastructure’ gives detailed guidance on designing the external environment.
14_UK_UK_Approved_Document_M_vol_2,"or, if either of these is not accessible, to any alternative accessible entrances."
15_UK_UK_Approved_Document_M_vol_2,"If access is generally required between entrances, or between alternative accessible entrances outside the building, this access should as far as possible be level."
16_UK_UK_Approved_Document_M_vol_2,The site level of accessible entrances should be determined accordingly.
17_UK_UK_Approved_Document_M_vol_2,"Where a difference in level between the boundary of the site or car parking designated for disabled people and the building is unavoidable due to site constraints, the approach may have a gentle gradient over a long distance (for all or part/s of the approach) or it may incorporate a number of shorter parts at a steeper gradient, with level landings at intervals as rest points."
18_UK_UK_Approved_Document_M_vol_2,"Generally, gradients within the approach should be as gentle as possible."
19_UK_UK_Approved_Document_M_vol_2,"Where the gradient of the approach, whether over its whole length or in part, is 1:20 or steeper, that part of the approach should be designed as ramped access."
20_UK_UK_Approved_Document_M_vol_2,"All access routes to principal, or alternative accessible, entrances should be surfaced so that people are able to travel along them easily, without excessive effort and without the risk of tripping or falling."
21_UK_UK_Approved_Document_M_vol_2,"There should be sufficient space for people to approach the building, pass others who are travelling in the opposite direction and carry out all necessary manoeuvres."
22_UK_UK_Approved_Document_M_vol_2,A surface width of 1800mm can accommodate any amount of non-vehicular traffic without the need for passing places.
23_UK_UK_Approved_Document_M_vol_2,"A surface width of 1200mm may be acceptable on restricted sites, subject to agreement with the building control body."
24_UK_UK_Approved_Document_M_vol_2,"It is important to reduce the risks to people, particularly people with impaired sight, when approaching and passing around the perimeter of the building under all lighting conditions."
27_UK_UK_Approved_Document_M_vol_2,"A ‘level approach’ (from the boundary of the site and from car parking spaces designated for disabled people to the principal entrance, to a staff entrance or to an alternative accessible entrance) will satisfy Requirement M1 or M2 if:"
28_UK_UK_Approved_Document_M_vol_2,"it has a surface width of at least 1.5m, with passing places, free of obstructions to a height of 2.1m;"
29_UK_UK_Approved_Document_M_vol_2,"passing places at least 1.8m wide and at least 2m long are provided within sight of each other (the width of the passing place may be included in the width of the level approach), but in any case spaced at a distance no greater than 50m;"
30_UK_UK_Approved_Document_M_vol_2,"the gradient along its length is either no steeper than 1:60 along its whole length, or less steep than 1:20 with level landings (see 1.26(k)) introduced for each 500mm rise of the access (where necessary, between landings), in all cases with a cross-fall gradient no steeper than 1:40;"
31_UK_UK_Approved_Document_M_vol_2,"its surface is firm, durable and slip resistant, with undulations not exceeding 3mm under a 1m straight edge for formless materials."
32_UK_UK_Approved_Document_M_vol_2,Inappropriate materials might be loose sand or gravel;
33_UK_UK_Approved_Document_M_vol_2,"where there are different materials along the access route, they have similar frictional characteristics;"
34_UK_UK_Approved_Document_M_vol_2,"the difference in level at joints between paving units is no greater than 5mm, with joints filled flush or, if recessed, no deeper than 5mm and no wider than 10mm or, if unfilled, no wider than 5mm;"
35_UK_UK_Approved_Document_M_vol_2,the route to the principal entrance (or alternative accessible entrance) is clearly identified and well lit;
36_UK_UK_Approved_Document_M_vol_2,"the danger of inadvertently walking into a vehicular access route is minimised by providing a separate pedestrian route and, where there is an uncontrolled crossing point across the vehicular route, this is identified by a buff coloured blister surface (see Diagram 1, and ‘Guidance on the use of Tactile Paving Surfaces’)."
40_UK_UK_Approved_Document_M_vol_2,"People who need to travel to buildings by car need to be able to park, have sufficient space to enter and leave their vehicle, on occasions move to the rear of their vehicle, then walk, travel in a wheelchair or with pushchairs or luggage, etc. to the principal entrance, the staff entrance or any alternative accessible entrance of the building."
