id,text
0_UK_UK_Approved_Document_O,Section 0: Introduction
1_UK_UK_Approved_Document_O,Summary
5_UK_UK_Approved_Document_O,Approved document section
6_UK_UK_Approved_Document_O,Section 0: Introduction Section 1: Simplified method Section 2: Dynamic thermal modelling Related Building Regulations requirements
7_UK_UK_Approved_Document_O,n/a
8_UK_UK_Approved_Document_O,Requirement O1(1) of Schedule 1
9_UK_UK_Approved_Document_O,Section 3: Ensuring the overheating mitigation strategy is usable
10_UK_UK_Approved_Document_O,Requirement O1(2)(a) of Schedule 1
11_UK_UK_Approved_Document_O,Section 4: Providing information
12_UK_UK_Approved_Document_O,Regulation 40B Appendix A: Key terms
13_UK_UK_Approved_Document_O,Appendix B: Compliance checklist
14_UK_UK_Approved_Document_O,Appendix C: Areas with a high risk of its buildings overheating
15_UK_UK_Approved_Document_O,Appendix D: Calculating equivalent area
16_UK_UK_Approved_Document_O,Appendix E: Standards referred to
17_UK_UK_Approved_Document_O,Appendix F: Documents referred to
18_UK_UK_Approved_Document_O,n/a
19_UK_UK_Approved_Document_O,n/a
20_UK_UK_Approved_Document_O,n/a
21_UK_UK_Approved_Document_O,n/a
22_UK_UK_Approved_Document_O,n/a
23_UK_UK_Approved_Document_O,n/a
26_UK_UK_Approved_Document_O,Title
27_UK_UK_Approved_Document_O,Purpose for which the building is intended to be used
28_UK_UK_Approved_Document_O,Residential (dwellings)
30_UK_UK_Approved_Document_O,Residential (institutional)
35_UK_UK_Approved_Document_O,Residential (other)
37_UK_UK_Approved_Document_O,"Building Regulations 2010 Approved Document O, 2021 edition 1"
39_UK_UK_Approved_Document_O,Live/work units
46_UK_UK_Approved_Document_O,NOTE:
50_UK_UK_Approved_Document_O,Alternative approaches
56_UK_UK_Approved_Document_O,Selected key interactions with other parts of the Building Regulations
60_UK_UK_Approved_Document_O,"Approved Document O, 2021 edition Building Regulations 2010"
61_UK_UK_Approved_Document_O,ONLINE VERSIONONLINE VERSION Interaction with Part B
65_UK_UK_Approved_Document_O,Interaction with Part F
68_UK_UK_Approved_Document_O,Interaction with Part J
72_UK_UK_Approved_Document_O,Interaction with Part L
77_UK_UK_Approved_Document_O,Interaction with Part K and Part M
78_UK_UK_Approved_Document_O,"Where manual controls are provided, they should be within reasonable reach of the occupants, to comply with Approved Documents K and M. Interaction with Part K"
79_UK_UK_Approved_Document_O,"This approved document, Approved Document O, gives guidance on increased levels of protection from falling from openings compared to Part K. Interaction with Part Q"
82_UK_UK_Approved_Document_O,"Building Regulations 2010 Approved Document O, 2021 edition 3"
83_UK_UK_Approved_Document_O,ONLINE VERSIONONLINE VERSION Requirement O1
85_UK_UK_Approved_Document_O,Limits on application
86_UK_UK_Approved_Document_O,Requirement
87_UK_UK_Approved_Document_O,Requirement
88_UK_UK_Approved_Document_O,Overheating mitigation
89_UK_UK_Approved_Document_O,"Reasonable provision must be made in respect of a dwelling, institution or any other building containing one or more rooms for residential purposes, other than a room in a hotel (“residences”) to—"
92_UK_UK_Approved_Document_O,In meeting the obligations in paragraph (1)—
95_UK_UK_Approved_Document_O,Intention
100_UK_UK_Approved_Document_O,NOTE:
106_UK_UK_Approved_Document_O,"Approved Document O, 2021 edition Building Regulations 2010"
107_UK_UK_Approved_Document_O,O1ONLINE VERSIONONLINE VERSION Section 1: Simplified method
112_UK_UK_Approved_Document_O,Categorising residential buildings (simplified method)
117_UK_UK_Approved_Document_O,NOTE:
120_UK_UK_Approved_Document_O,NOTE:
122_UK_UK_Approved_Document_O,NOTE:
128_UK_UK_Approved_Document_O,Limiting solar gains
132_UK_UK_Approved_Document_O,
