id,text
2_UK_UK_Approved_Document_O,This approved document is Approved Document O: Overheating.
3_UK_UK_Approved_Document_O,It gives guidance on how to comply with Part O of the Building Regulations.
4_UK_UK_Approved_Document_O,This approved document contains the following sections.
24_UK_UK_Approved_Document_O,Application 0.3 The guidance in this approved document applies to new residential buildings only.
25_UK_UK_Approved_Document_O,Residential buildings within the scope of Part O and this approved document are detailed in Table 0.1.
29_UK_UK_Approved_Document_O,"Dwellings, which includes both dwellinghouses and flats."
31_UK_UK_Approved_Document_O,"Home, school or other similar establishment, where people sleep on the premises."
32_UK_UK_Approved_Document_O,The building may be living accommodation for the care or maintenance of any of the following.
33_UK_UK_Approved_Document_O,"Older and disabled people, due to illness or other physical or mental condition."
34_UK_UK_Approved_Document_O,People under the age of 5 years.
36_UK_UK_Approved_Document_O,"Residential college, hall of residence and other student accommodation, and living accommodation for children aged 5 years and older."
38_UK_UK_Approved_Document_O,Table 0.1 Residential buildings within the scope of this approved documentONLINE VERSIONONLINE VERSION Shared communal rooms and common spaces 0.4 Shared communal rooms and common spaces of buildings containing more than one residential unit fall within the scope of this approved document.
40_UK_UK_Approved_Document_O,"A unit that contains both living accommodation and space for commercial purposes (e.g. as a workshop or office) should be treated as a residential building, as long as the commercial part can revert to residential use."
41_UK_UK_Approved_Document_O,The commercial part of a building can revert to residential use if all of the following apply.
42_UK_UK_Approved_Document_O,There is direct access between the commercial space and the residential accommodation.
43_UK_UK_Approved_Document_O,The commercial space and the residential accommodation are within the same thermal envelope.
44_UK_UK_Approved_Document_O,The residential accommodation comprises a substantial proportion of the total area of the unit.
45_UK_UK_Approved_Document_O,What constitutes a ‘substantial proportion’ should be assessed on a case-by-case basis by the building control body.
47_UK_UK_Approved_Document_O,A large non-residential building that contains a small flat for a manager is not treated as a residential building.
48_UK_UK_Approved_Document_O,A residential building that contains a room used as an office or utility space is still treated as a residential building.
