id,text
0_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
1_UK_UK_Approved_Document_P,Approved Document P: Electrical safety – Dwellings
2_UK_UK_Approved_Document_P,Summary
3_UK_UK_Approved_Document_P,This approved document gives guidance on how to comply with Part P of the Building Regulations.
4_UK_UK_Approved_Document_P,It contains the following sections:
5_UK_UK_Approved_Document_P,Section 1: Section 2: Technical requirements for electrical work in dwellings
6_UK_UK_Approved_Document_P,"The types of building and electrical installation within the scope of Part P, and the types of electrical work that are notifiable"
7_UK_UK_Approved_Document_P,The different procedures that may be followed to show that electrical work complies with Part P
8_UK_UK_Approved_Document_P,Appendix A: Key terms
9_UK_UK_Approved_Document_P,Appendix B: Standards referred to.
10_UK_UK_Approved_Document_P,Section 3: Interaction with other parts of the Building Regulations
11_UK_UK_Approved_Document_P,Other parts of the Building Regulations contain requirements that affect electrical installations.
12_UK_UK_Approved_Document_P,"Examples include, but are not limited to, the following:"
13_UK_UK_Approved_Document_P,"Part A (Structure): depth of chases in walls, and size of holes and notches in floor and roof joists"
14_UK_UK_Approved_Document_P,"Part B (Fire safety): fire safety of certain electrical installations; provision of fire alarm and fire detection systems; fire resistance of service penetrations through floors, walls and ceilings"
15_UK_UK_Approved_Document_P,Part C (Site preparation and resistance to contaminants and moisture): resistance of service penetrations to rainwater and contaminants such as radon
16_UK_UK_Approved_Document_P,Part E (Resistance to the passage of sound): soundproofing of service penetrations
17_UK_UK_Approved_Document_P,Part F (Ventilation): dwelling ventilation rates
18_UK_UK_Approved_Document_P,Part L (Conservation of fuel and power): energy efficient lighting
19_UK_UK_Approved_Document_P,Part M (Access to and use of buildings): height of socket-outlets and switches.
20_UK_UK_Approved_Document_P,Building Regulations 2010 O N L I N E V E R S I O N
21_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
22_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
23_UK_UK_Approved_Document_P,Approved Docu
24_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition Approved Docu"
25_UK_UK_Approved_Document_P,Approved Docu
26_UK_UK_Approved_Document_P,1
27_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
28_UK_UK_Approved_Document_P,Design and installation
29_UK_UK_Approved_Document_P,Requirement P1: Design and installation This approved document deals with the following requirement from Part P of Schedule 1 to the Building Regulations 2010.
30_UK_UK_Approved_Document_P,Requirements
31_UK_UK_Approved_Document_P,Requirement
32_UK_UK_Approved_Document_P,Requirement
33_UK_UK_Approved_Document_P,Requirement
34_UK_UK_Approved_Document_P,Design and installation
35_UK_UK_Approved_Document_P,Design and installation
36_UK_UK_Approved_Document_P,Design and installation
37_UK_UK_Approved_Document_P,Reasonable provision shall be made in the design Reasonable provision shall be made in the design P1.P1.
38_UK_UK_Approved_Document_P,"Reasonable provision shall be made in the design and installation of electrical installations in order to and installation of electrical installations in order to and installation of electrical installations in order to protect persons operating, maintaining or altering the protect persons operating, maintaining or altering the protect persons operating, maintaining or altering the installations from fire or injury."
39_UK_UK_Approved_Document_P,installations from fire or injury.
40_UK_UK_Approved_Document_P,installations from fire or injury.
41_UK_UK_Approved_Document_P,Limits on application
42_UK_UK_Approved_Document_P,Limits on application
43_UK_UK_Approved_Document_P,Limits on application
44_UK_UK_Approved_Document_P,The requirements of this part apply only to electrical The requirements of this part apply only to electrical The requirements of this part apply only to electrical installations that are intended to operate at low or installations that are intended to operate at low or installations that are intended to operate at low or extra-low voltage and are:
45_UK_UK_Approved_Document_P,extra-low voltage and are:
46_UK_UK_Approved_Document_P,extra-low voltage and are:
47_UK_UK_Approved_Document_P,in or attached to a dwelling;
48_UK_UK_Approved_Document_P,in or attached to a dwelling;
49_UK_UK_Approved_Document_P,in or attached to a dwelling;
50_UK_UK_Approved_Document_P,"in the common parts of a building serving one or (b) in the common parts of a building serving one or (b) in the common parts of a building serving one or more dwellings, but excluding power supplies to lifts;"
51_UK_UK_Approved_Document_P,"more dwellings, but excluding power supplies to lifts;"
52_UK_UK_Approved_Document_P,"more dwellings, but excluding power supplies to lifts;"
53_UK_UK_Approved_Document_P,in a building that receives its electricity from a source (c) in a building that receives its electricity from a source (c) in a building that receives its electricity from a source located within or shared with a dwelling; or located within or shared with a dwelling; or located within or shared with a dwelling; or (d) in a garden or in or on land associated with a building (d) in a garden or in or on land associated with a building (d) in a garden or in or on land associated with a building where the electricity is from a source located within or where the electricity is from a source located within or where the electricity is from a source located within or shared with a dwelling.
54_UK_UK_Approved_Document_P,shared with a dwelling.
55_UK_UK_Approved_Document_P,shared with a dwelling.
56_UK_UK_Approved_Document_P,Performance
57_UK_UK_Approved_Document_P,"In the Secretary of State’s view, the requirements of Part P will be met if low voltage and extra-low voltage electrical installations in dwellings are designed and installed so that both of the following conditions are satisfied."
58_UK_UK_Approved_Document_P,They afford appropriate protection against mechanical and thermal damage.
59_UK_UK_Approved_Document_P,They do not present electric shock and fire hazards to people.
60_UK_UK_Approved_Document_P,"t P, 2013 edition"
61_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition t P, 2013 edition"
62_UK_UK_Approved_Document_P,"t P, 2013 edition"
63_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
64_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
65_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
66_UK_UK_Approved_Document_P,Building Regulations 2010
67_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
68_UK_UK_Approved_Document_P,Design and installation P1
69_UK_UK_Approved_Document_P,Section 1: Design and installation
70_UK_UK_Approved_Document_P,General
71_UK_UK_Approved_Document_P,Electrical installations should be designed and installed in accordance with BS 7671:2008 incorporating Amendment No 1:2011.
72_UK_UK_Approved_Document_P,Provision of information
73_UK_UK_Approved_Document_P,"Sufficient information should be provided to ensure that people can operate, maintain or alter an electrical installation with reasonable safety."
74_UK_UK_Approved_Document_P,The information should comprise items listed in BS 7671 and other appropriate information including:
75_UK_UK_Approved_Document_P,electrical installation certificates or reports describing the installation and giving details of the work carried out
76_UK_UK_Approved_Document_P,"permanent labels, for example on earth connections and bonds, and on items of electrical equipment such as consumer units and residual current devices (RCDs)"
77_UK_UK_Approved_Document_P,operating instructions and logbooks
78_UK_UK_Approved_Document_P,"for unusually large or complex installations only, detailed plans."
79_UK_UK_Approved_Document_P,Functionality requirements
80_UK_UK_Approved_Document_P,Part P of the Building Regulations covers the safety of electrical installation work; it does not cover system functionality.
81_UK_UK_Approved_Document_P,"Other parts of the Building Regulations and other legislation cover the functionality of electrically powered products such as fire alarm systems, fans and pumps."
82_UK_UK_Approved_Document_P,New dwellings
83_UK_UK_Approved_Document_P,"Wall-mounted socket-outlets, switches and consumer units in new dwellings should be easy to reach, in accordance with Part M of the Building Regulations (Access to and use of buildings)."
84_UK_UK_Approved_Document_P,NOTE:
