id,text
0_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
1_UK_UK_Approved_Document_P,Approved Document P: Electrical safety – Dwellings
2_UK_UK_Approved_Document_P,Summary
5_UK_UK_Approved_Document_P,Section 1: Section 2: Technical requirements for electrical work in dwellings
6_UK_UK_Approved_Document_P,"The types of building and electrical installation within the scope of Part P, and the types of electrical work that are notifiable"
7_UK_UK_Approved_Document_P,The different procedures that may be followed to show that electrical work complies with Part P
8_UK_UK_Approved_Document_P,Appendix A: Key terms
10_UK_UK_Approved_Document_P,Section 3: Interaction with other parts of the Building Regulations
13_UK_UK_Approved_Document_P,"Part A (Structure): depth of chases in walls, and size of holes and notches in floor and roof joists"
14_UK_UK_Approved_Document_P,"Part B (Fire safety): fire safety of certain electrical installations; provision of fire alarm and fire detection systems; fire resistance of service penetrations through floors, walls and ceilings"
15_UK_UK_Approved_Document_P,Part C (Site preparation and resistance to contaminants and moisture): resistance of service penetrations to rainwater and contaminants such as radon
16_UK_UK_Approved_Document_P,Part E (Resistance to the passage of sound): soundproofing of service penetrations
17_UK_UK_Approved_Document_P,Part F (Ventilation): dwelling ventilation rates
18_UK_UK_Approved_Document_P,Part L (Conservation of fuel and power): energy efficient lighting
20_UK_UK_Approved_Document_P,Building Regulations 2010 O N L I N E V E R S I O N
21_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
22_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
23_UK_UK_Approved_Document_P,Approved Docu
24_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition Approved Docu"
25_UK_UK_Approved_Document_P,Approved Docu
26_UK_UK_Approved_Document_P,1
27_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
28_UK_UK_Approved_Document_P,Design and installation
30_UK_UK_Approved_Document_P,Requirements
31_UK_UK_Approved_Document_P,Requirement
32_UK_UK_Approved_Document_P,Requirement
33_UK_UK_Approved_Document_P,Requirement
34_UK_UK_Approved_Document_P,Design and installation
35_UK_UK_Approved_Document_P,Design and installation
36_UK_UK_Approved_Document_P,Design and installation
41_UK_UK_Approved_Document_P,Limits on application
42_UK_UK_Approved_Document_P,Limits on application
43_UK_UK_Approved_Document_P,Limits on application
56_UK_UK_Approved_Document_P,Performance
60_UK_UK_Approved_Document_P,"t P, 2013 edition"
61_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition t P, 2013 edition"
62_UK_UK_Approved_Document_P,"t P, 2013 edition"
63_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
64_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
65_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
66_UK_UK_Approved_Document_P,Building Regulations 2010
67_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
68_UK_UK_Approved_Document_P,Design and installation P1
69_UK_UK_Approved_Document_P,Section 1: Design and installation
70_UK_UK_Approved_Document_P,General
72_UK_UK_Approved_Document_P,Provision of information
75_UK_UK_Approved_Document_P,electrical installation certificates or reports describing the installation and giving details of the work carried out
76_UK_UK_Approved_Document_P,"permanent labels, for example on earth connections and bonds, and on items of electrical equipment such as consumer units and residual current devices (RCDs)"
77_UK_UK_Approved_Document_P,operating instructions and logbooks
79_UK_UK_Approved_Document_P,Functionality requirements
82_UK_UK_Approved_Document_P,New dwellings
84_UK_UK_Approved_Document_P,NOTE:
85_UK_UK_Approved_Document_P,"Approved Document M recommends that in new dwellings only, switches and socket-"
90_UK_UK_Approved_Document_P,New dwellings formed by a change of use
93_UK_UK_Approved_Document_P,NOTE:
95_UK_UK_Approved_Document_P,Building Regulations 2010 O N L I N E V E R S I O N
96_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
97_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
98_UK_UK_Approved_Document_P,Approved Docu
99_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition Approved Docu"
100_UK_UK_Approved_Document_P,Approved Docu
101_UK_UK_Approved_Document_P,3
102_UK_UK_Approved_Document_P,Design and installation
103_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
104_UK_UK_Approved_Document_P,P1
105_UK_UK_Approved_Document_P,Additions and alterations to existing electrical installations
116_UK_UK_Approved_Document_P,"t P, 2013 edition"
117_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition t P, 2013 edition"
118_UK_UK_Approved_Document_P,"t P, 2013 edition"
119_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
120_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
121_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
122_UK_UK_Approved_Document_P,Building Regulations 2010
123_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
124_UK_UK_Approved_Document_P,Application of Part P
125_UK_UK_Approved_Document_P,P1
126_UK_UK_Approved_Document_P,Section 2: Application of Part P
127_UK_UK_Approved_Document_P,General
130_UK_UK_Approved_Document_P,the types of building and electrical installation that are within the scope of Part P
133_UK_UK_Approved_Document_P,Scope
136_UK_UK_Approved_Document_P,"outside the dwelling – for example fixed lighting and air conditioning units attached to outside walls, photovoltaic panels on roofs, and fixed lighting and pond pumps in gardens"
138_UK_UK_Approved_Document_P,in the common access areas of blocks of flats such as corridors and staircases
139_UK_UK_Approved_Document_P,"in shared amenities of blocks of flats such as laundries, kitchens and gymnasiums"
142_UK_UK_Approved_Document_P,in business premises in the same building as a dwelling but with separate metering
144_UK_UK_Approved_Document_P,NOTE:
148_UK_UK_Approved_Document_P,Building Regulations 2010 O N L I N E V E R S I O N
149_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
150_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
151_UK_UK_Approved_Document_P,Approved Docu
152_UK_UK_Approved_Document_P,"Approved Document P, 2013 edition Approved Docu"
153_UK_UK_Approved_Document_P,Approved Docu
154_UK_UK_Approved_Document_P,5
155_UK_UK_Approved_Document_P,Application of Part P
156_UK_UK_Approved_Document_P,O N L I N E V E R S I O N
157_UK_UK_Approved_Document_P,P1
158_UK_UK_Approved_Document_P,Roof space✓
159_UK_UK_Approved_Document_P,Dwelling
160_UK_UK_Approved_Document_P,✓
161_UK_UK_Approved_Document_P,Business unit
162_UK_UK_Approved_Document_P,✕
163_UK_UK_Approved_Document_P,M M
164_UK_UK_Approved_Document_P,See paragraphs 2.2 to 2.4
165_UK_UK_Approved_Document_P,Loft ✓
166_UK_UK_Approved_Document_P,Dwelling
167_UK_UK_Approved_Document_P,✓
168_UK_UK_Approved_Document_P,Business ✓
169_UK_UK_Approved_Document_P,unit
170_UK_UK_Approved_Document_P,Loft
171_UK_UK_Approved_Document_P,✓
172_UK_UK_Approved_Document_P,Dwelling
173_UK_UK_Approved_Document_P,✓
174_UK_UK_Approved_Document_P,M
175_UK_UK_Approved_Document_P,M
176_UK_UK_Approved_Document_P,Garden
