id,text
3_UK_UK_Approved_Document_P,This approved document gives guidance on how to comply with Part P of the Building Regulations.
4_UK_UK_Approved_Document_P,It contains the following sections:
9_UK_UK_Approved_Document_P,Appendix B: Standards referred to.
11_UK_UK_Approved_Document_P,Other parts of the Building Regulations contain requirements that affect electrical installations.
12_UK_UK_Approved_Document_P,"Examples include, but are not limited to, the following:"
19_UK_UK_Approved_Document_P,Part M (Access to and use of buildings): height of socket-outlets and switches.
29_UK_UK_Approved_Document_P,Requirement P1: Design and installation This approved document deals with the following requirement from Part P of Schedule 1 to the Building Regulations 2010.
37_UK_UK_Approved_Document_P,Reasonable provision shall be made in the design Reasonable provision shall be made in the design P1.P1.
38_UK_UK_Approved_Document_P,"Reasonable provision shall be made in the design and installation of electrical installations in order to and installation of electrical installations in order to and installation of electrical installations in order to protect persons operating, maintaining or altering the protect persons operating, maintaining or altering the protect persons operating, maintaining or altering the installations from fire or injury."
39_UK_UK_Approved_Document_P,installations from fire or injury.
40_UK_UK_Approved_Document_P,installations from fire or injury.
44_UK_UK_Approved_Document_P,The requirements of this part apply only to electrical The requirements of this part apply only to electrical The requirements of this part apply only to electrical installations that are intended to operate at low or installations that are intended to operate at low or installations that are intended to operate at low or extra-low voltage and are:
45_UK_UK_Approved_Document_P,extra-low voltage and are:
46_UK_UK_Approved_Document_P,extra-low voltage and are:
47_UK_UK_Approved_Document_P,in or attached to a dwelling;
48_UK_UK_Approved_Document_P,in or attached to a dwelling;
49_UK_UK_Approved_Document_P,in or attached to a dwelling;
50_UK_UK_Approved_Document_P,"in the common parts of a building serving one or (b) in the common parts of a building serving one or (b) in the common parts of a building serving one or more dwellings, but excluding power supplies to lifts;"
51_UK_UK_Approved_Document_P,"more dwellings, but excluding power supplies to lifts;"
52_UK_UK_Approved_Document_P,"more dwellings, but excluding power supplies to lifts;"
53_UK_UK_Approved_Document_P,in a building that receives its electricity from a source (c) in a building that receives its electricity from a source (c) in a building that receives its electricity from a source located within or shared with a dwelling; or located within or shared with a dwelling; or located within or shared with a dwelling; or (d) in a garden or in or on land associated with a building (d) in a garden or in or on land associated with a building (d) in a garden or in or on land associated with a building where the electricity is from a source located within or where the electricity is from a source located within or where the electricity is from a source located within or shared with a dwelling.
54_UK_UK_Approved_Document_P,shared with a dwelling.
55_UK_UK_Approved_Document_P,shared with a dwelling.
57_UK_UK_Approved_Document_P,"In the Secretary of State’s view, the requirements of Part P will be met if low voltage and extra-low voltage electrical installations in dwellings are designed and installed so that both of the following conditions are satisfied."
58_UK_UK_Approved_Document_P,They afford appropriate protection against mechanical and thermal damage.
59_UK_UK_Approved_Document_P,They do not present electric shock and fire hazards to people.
71_UK_UK_Approved_Document_P,Electrical installations should be designed and installed in accordance with BS 7671:2008 incorporating Amendment No 1:2011.
73_UK_UK_Approved_Document_P,"Sufficient information should be provided to ensure that people can operate, maintain or alter an electrical installation with reasonable safety."
74_UK_UK_Approved_Document_P,The information should comprise items listed in BS 7671 and other appropriate information including:
78_UK_UK_Approved_Document_P,"for unusually large or complex installations only, detailed plans."
80_UK_UK_Approved_Document_P,Part P of the Building Regulations covers the safety of electrical installation work; it does not cover system functionality.
81_UK_UK_Approved_Document_P,"Other parts of the Building Regulations and other legislation cover the functionality of electrically powered products such as fire alarm systems, fans and pumps."
83_UK_UK_Approved_Document_P,"Wall-mounted socket-outlets, switches and consumer units in new dwellings should be easy to reach, in accordance with Part M of the Building Regulations (Access to and use of buildings)."
86_UK_UK_Approved_Document_P,outlets for lighting and other equipment should be between 450mm and 1200mm from finished floor level.
87_UK_UK_Approved_Document_P,Approved Document M does not recommend a height for new consumer units.
88_UK_UK_Approved_Document_P,"However, one way of complying with Part M in new dwellings is to mount consumer units so that the switches are between 1350mm and 1450mm above floor level."
89_UK_UK_Approved_Document_P,"At this height, the consumer unit is out of reach of young children yet accessible to other people when standing or sitting."
91_UK_UK_Approved_Document_P,"Where a material change of use creates a new dwelling, or changes the number of dwellings in a building, regulation 6 requires that any necessary work is carried out to ensure that the building complies with requirement P1."
92_UK_UK_Approved_Document_P,This means that in some cases the existing electrical installation will need to be upgraded to meet current standards.
94_UK_UK_Approved_Document_P,"If existing cables are adequate, it is not necessary to replace them, even if they use old colour codes."
106_UK_UK_Approved_Document_P,"Regulation 4(3) states that when building work is complete, the building should be no more unsatisfactory in terms of complying with the applicable parts of Schedule 1 to the Building Regulations than before the building work was started."
107_UK_UK_Approved_Document_P,"Therefore, when extending or altering an electrical installation, only the new work must meet current standards."
108_UK_UK_Approved_Document_P,There is no obligation to upgrade the existing installation unless either of the following applies.
109_UK_UK_Approved_Document_P,The new work adversely affects the safety of the existing installation.
110_UK_UK_Approved_Document_P,The state of the existing installation is such that the new work cannot be operated safely.
111_UK_UK_Approved_Document_P,Any new work should be carried out in accordance with BS 7671.
112_UK_UK_Approved_Document_P,The existing electrical installation should be checked to ensure that the following conditions are all satisfied.
113_UK_UK_Approved_Document_P,The rating and condition of existing equipment belonging to both the consumer and to the electricity distributor are suitable for the equipment to carry the additional loads arising from the new work.
114_UK_UK_Approved_Document_P,Adequate protective measures are used.
115_UK_UK_Approved_Document_P,The earthing and equipotential bonding arrangements are satisfactory.
128_UK_UK_Approved_Document_P,"All electrical installation work carried out in a dwelling is subject to requirement P1, and should comply with the design and installation guidance in Section 1."
129_UK_UK_Approved_Document_P,Section 2 sets out:
131_UK_UK_Approved_Document_P,the types of electrical work that are notifiable and must be certified as complying with the Building Regulations.
132_UK_UK_Approved_Document_P,Certification procedures are set out in Section 3.
134_UK_UK_Approved_Document_P,Part P applies to electrical installations:
135_UK_UK_Approved_Document_P,"in a dwelling-house or flat, and to parts of the installation that are:"
137_UK_UK_Approved_Document_P,"in outbuildings such as sheds, detached garages and domestic greenhouses."
140_UK_UK_Approved_Document_P,in business premises (other than agricultural buildings) connected to the same meter as the electrical installation in a dwelling – for example shops and public houses below flats.
141_UK_UK_Approved_Document_P,Part P does not apply to electrical installations:
143_UK_UK_Approved_Document_P,that supply the power for lifts in blocks of flats (but Part P does apply to lift installations in single dwellings).
145_UK_UK_Approved_Document_P,"Schedule 2 to the Building Regulations identifies buildings – for example unoccupied, agricultural, temporary and small detached buildings – that are generally exempt from the requirements of the Regulations."
146_UK_UK_Approved_Document_P,"However, conservatories, porches, domestic greenhouses, garages and sheds that share their electricity with a dwelling are not exempt from Part P (by virtue of regulation 9(3)) and must comply with its requirements."
147_UK_UK_Approved_Document_P,The scope of Part P is illustrated in Diagram 1.
212_UK_UK_Approved_Document_P,Electrical installation work that is notifiable is set out in regulation 12(6A).
216_UK_UK_Approved_Document_P,the installation of a new circuit;
217_UK_UK_Approved_Document_P,the installation of a new circuit;
218_UK_UK_Approved_Document_P,the replacement of a consumer unit; or
219_UK_UK_Approved_Document_P,the replacement of a consumer unit; or
220_UK_UK_Approved_Document_P,any addition or alteration to existing circuits in a special location.
221_UK_UK_Approved_Document_P,any addition or alteration to existing circuits in a special location.
228_UK_UK_Approved_Document_P,a height of 2.25 metres; or
229_UK_UK_Approved_Document_P,(aa) a height of 2.25 metres; or
232_UK_UK_Approved_Document_P,ceiling at a point higher than 2.25 metres from that level; and
233_UK_UK_Approved_Document_P,ceiling at a point higher than 2.25 metres from that level; and
237_UK_UK_Approved_Document_P,tub or shower tray to a distance of 0.6 metres; or
238_UK_UK_Approved_Document_P,tub or shower tray to a distance of 0.6 metres; or
240_UK_UK_Approved_Document_P,of the shower head where it is attached to the wall or ceiling to a of the shower head where it is attached to the wall or ceiling to a distance of 1.2 metres; or
241_UK_UK_Approved_Document_P,distance of 1.2 metres; or
242_UK_UK_Approved_Document_P,a room containing a swimming pool or sauna heater.
243_UK_UK_Approved_Document_P,a room containing a swimming pool or sauna heater.
253_UK_UK_Approved_Document_P,"Diagram 2 illustrates the space around a bath tub or shower tray (a special location) within which minor additions and alterations to existing circuits, as well as the installation of new circuits, are notifiable."
261_UK_UK_Approved_Document_P,Bath tub or
