id,text
0_UK_UK_Approved_Document_Q,Approved Document Q: Security
1_UK_UK_Approved_Document_Q,Summary
2_UK_UK_Approved_Document_Q,This approved document gives guidance on how to comply with requirement Q1 of the Building Regulations.
3_UK_UK_Approved_Document_Q,It contains the following sections:
4_UK_UK_Approved_Document_Q,Doors
5_UK_UK_Approved_Document_Q,Section 1: Section 2: Windows
6_UK_UK_Approved_Document_Q,Appendix A: Key terms
7_UK_UK_Approved_Document_Q,Appendix B: Bespoke timber secure doorsets
8_UK_UK_Approved_Document_Q,Appendix C: Documents referred to
9_UK_UK_Approved_Document_Q,Appendix D: Standards referred to
10_UK_UK_Approved_Document_Q,Application
11_UK_UK_Approved_Document_Q,The guidance in this approved document applies to new dwellings only; this includes dwellings formed by a material change of use.
12_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 1"
13_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION Requirement Q1: Unauthorised access
14_UK_UK_Approved_Document_Q,This approved document deals with the following requirement from Part Q of Schedule 1 to the Building Regulations 2010.
15_UK_UK_Approved_Document_Q,Requirement
16_UK_UK_Approved_Document_Q,Requirement
17_UK_UK_Approved_Document_Q,PART Q SECURITY Unauthorised access
18_UK_UK_Approved_Document_Q,Reasonable provision must be made to resist unauthorised access to—
19_UK_UK_Approved_Document_Q,any dwelling; and
20_UK_UK_Approved_Document_Q,any part of a building from which access can be gained to a flat within the building.
21_UK_UK_Approved_Document_Q,Limits on application
22_UK_UK_Approved_Document_Q,Requirement Q1 applies only in relation to new dwellings.
23_UK_UK_Approved_Document_Q,Performance
24_UK_UK_Approved_Document_Q,Requirement Q1 applies to easily accessible doors and windows that provide access in any of the following circumstances:
25_UK_UK_Approved_Document_Q,into a dwelling from outside
26_UK_UK_Approved_Document_Q,into parts of a building containing flats from outside
27_UK_UK_Approved_Document_Q,into a flat from the common parts of the building.
28_UK_UK_Approved_Document_Q,"In the Secretary of State’s view, doors and windows will meet requirement Q1 if they can resist physical attack by a casual or opportunist burglar by being both:"
29_UK_UK_Approved_Document_Q,sufficiently robust b. fitted with appropriate hardware.
30_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
31_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION Q1
32_UK_UK_Approved_Document_Q,Section 1: Doors
33_UK_UK_Approved_Document_Q,General
34_UK_UK_Approved_Document_Q,All easily accessible doorsets (including garage doorsets and communal entrance doorsets) that provide access into a dwelling or into a building containing a dwelling should be secure doorsets in accordance with paragraphs 1.2 to 1.4.
35_UK_UK_Approved_Document_Q,NOTE:
36_UK_UK_Approved_Document_Q,"If a garage has no interconnecting doorset allowing access into the dwelling, garage doorsets need not be secure doorsets."
37_UK_UK_Approved_Document_Q,"Where access to the dwelling can be gained via an interconnecting doorset from the garage, then either the garage doorset (pedestrian and vehicular) or the interconnecting doorset should be a secure doorset."
38_UK_UK_Approved_Document_Q,Design of secure doorsets
39_UK_UK_Approved_Document_Q,Secure doorsets should be either:
40_UK_UK_Approved_Document_Q,"manufactured to a design that has been shown by test to meet the security requirements of British Standards publication PAS 24:2012, or b. designed and manufactured in accordance with Appendix B."
41_UK_UK_Approved_Document_Q,NOTE:
42_UK_UK_Approved_Document_Q,Doorsets satisfying other standards that provide similar or better performance are also acceptable.
43_UK_UK_Approved_Document_Q,These standards include:
44_UK_UK_Approved_Document_Q,• STS 201 Issue 5:2013
45_UK_UK_Approved_Document_Q,• LPS 1175 Issue 7:2010 security rating 2
46_UK_UK_Approved_Document_Q,• STS 202 Issue 3:2011 burglary rating 2
47_UK_UK_Approved_Document_Q,• LPS 2081 Issue 1:2015 security rating B.
48_UK_UK_Approved_Document_Q,Further advice is available in Secured by Design’s New Homes 2014.
49_UK_UK_Approved_Document_Q,"Letter plates, where provided, should: a. have a maximum aperture of 260mm x 40mm, and"
50_UK_UK_Approved_Document_Q,"be located and/or designed to hinder anyone attempting to remove keys with sticks and/or insert their hand, for example by incorporating a flap or other features to restrict access."
51_UK_UK_Approved_Document_Q,NOTE:
52_UK_UK_Approved_Document_Q,Letter plates meeting the requirements of the Door and Hardware Federation’s (DHF) technical specification TS 008:2012 have been shown to protect against the attacks mentioned above.
53_UK_UK_Approved_Document_Q,"The main doors for entering a dwelling (usually the front door) should have a door viewer unless other means exist to see callers, such as clear glass within the door or a window next to the doorset."
54_UK_UK_Approved_Document_Q,The same doorset should also have a door chain or door limiter.
55_UK_UK_Approved_Document_Q,NOTE:
56_UK_UK_Approved_Document_Q,"In some situations a door chain or limiter is not appropriate, for example where a warden may need emergency access to residents in sheltered housing."
57_UK_UK_Approved_Document_Q,"Alternative caller-identification measures, such as electronic audio-visual door entry systems, can be used to identify visitors."
58_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 3"
59_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION Q1
60_UK_UK_Approved_Document_Q,Installation and fixing of secure doorsets
61_UK_UK_Approved_Document_Q,Frames should be mechanically fixed to the structure of the building in accordance with the manufacturer’s installation instructions.
62_UK_UK_Approved_Document_Q,Lightweight framed walls should incorporate a resilient layer to reduce the risk of anyone breaking through the wall and accessing the locking system.
63_UK_UK_Approved_Document_Q,"The resilient layer should be timber sheathing at least 9mm thick, expanded metal or a similar resilient material."
64_UK_UK_Approved_Document_Q,The resilient layer should be to the full height of the door and 600mm either side of the doorset.
65_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
66_UK_UK_Approved_Document_Q,Q1
67_UK_UK_Approved_Document_Q,Section 2: Windows
68_UK_UK_Approved_Document_Q,General
69_UK_UK_Approved_Document_Q,"Ground floor, basement and other easily accessible windows (including easily accessible rooflights) should be secure windows in accordance with paragraphs 2.2 and 2.3."
70_UK_UK_Approved_Document_Q,Design of secure windows
71_UK_UK_Approved_Document_Q,Windows should be made to a design that has been shown by test to meet the security requirements of British Standards publication PAS 24:2012.
72_UK_UK_Approved_Document_Q,NOTE:
73_UK_UK_Approved_Document_Q,Windows satisfying other standards that provide similar or better performance are also acceptable.
74_UK_UK_Approved_Document_Q,These standards include:
75_UK_UK_Approved_Document_Q,• STS 204 Issue 3:2012
76_UK_UK_Approved_Document_Q,• LPS 1175 Issue 7:2010 security rating 1
77_UK_UK_Approved_Document_Q,• LPS 2081 Issue 1:2015 security rating A.
78_UK_UK_Approved_Document_Q,Further advice is available in Secured by Design’s New Homes 2014.
79_UK_UK_Approved_Document_Q,Installation and fixing of secure windows
80_UK_UK_Approved_Document_Q,Frames should be mechanically fixed to the structure of the building in accordance with the manufacturer’s installation instructions.
81_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 5"
82_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION A
83_UK_UK_Approved_Document_Q,Appendix A: Key terms
84_UK_UK_Approved_Document_Q,"Doorset A complete door assembly, assembled on site or delivered as a completed assembly, consisting of the door frame, door leaf or leaves, essential hardware and any integral side panel or fanlight (but excluding coupled assemblies)."
85_UK_UK_Approved_Document_Q,"Window Windows, rooflights, roof windows and similar."
86_UK_UK_Approved_Document_Q,Secure doorset Either:
87_UK_UK_Approved_Document_Q,"• a doorset that is proven to resist physical attack by a casual or opportunist burglar, or • a bespoke doorset incorporating construction features that are proven to reduce crime."
88_UK_UK_Approved_Document_Q,Secure window Either:
89_UK_UK_Approved_Document_Q,"• a window that is proven to resist criminal attack, or • a bespoke window incorporating construction features that are proven to reduce crime."
90_UK_UK_Approved_Document_Q,Easily accessible Either:
91_UK_UK_Approved_Document_Q,"• a window or doorway, any part of which is within 2m vertically of an accessible level surface such as the ground or basement level, or an access balcony, or • a window within 2m vertically of a flat or sloping roof (with a pitch of less than 30°) that is within 3.5m of ground level."
92_UK_UK_Approved_Document_Q,Coupled assembly A doorset and window that are supplied as separate self-contained frames and fixed together on site.
93_UK_UK_Approved_Document_Q,Proven (In the context of secure doorsets and secure windows) – a product designed and constructed in accordance with a specification or design shown by test to be capable of meeting the required performance.
94_UK_UK_Approved_Document_Q,Further information on materials and workmanship is given in Approved Document 7. NOTE 1: Laboratories accredited by the United Kingdom Accreditation Service (UKAS) or an equivalent European national accreditation body should have the necessary expertise to conduct the relevant tests.
95_UK_UK_Approved_Document_Q,NOTE 2: Any test evidence used to confirm the security of a construction should be carefully checked to ensure that it demonstrates compliance that is adequate and that applies to the intended use.
96_UK_UK_Approved_Document_Q,Evidence passed from one organisation to another can become unreliable if important details are lost.
97_UK_UK_Approved_Document_Q,Small differences in construction can significantly affect the performance of a doorset or window.
98_UK_UK_Approved_Document_Q,NOTE 3: Schemes that certify compliance with PAS 24:2012 or other standards that offer similar or better performance may be acceptable for demonstrating compliance.
99_UK_UK_Approved_Document_Q,A list of UKAS-accredited certification bodies is given on the UKAS website.
100_UK_UK_Approved_Document_Q,"Many recognised schemes are also listed in Secured by Design’s New Homes 2014, Section 2."
101_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
102_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION B
103_UK_UK_Approved_Document_Q,Appendix B: Bespoke timber secure doorsets
104_UK_UK_Approved_Document_Q,A timber doorset constructed in accordance with this appendix is considered a secure doorset for the purposes of requirement Q1.
105_UK_UK_Approved_Document_Q,NOTE:
106_UK_UK_Approved_Document_Q,The information in this appendix applies to doors of up to 1000mm wide and 2000mm high.
107_UK_UK_Approved_Document_Q,Additional measures may be necessary for larger doorsets.
108_UK_UK_Approved_Document_Q,Material
109_UK_UK_Approved_Document_Q,The doorset should be manufactured from solid or laminated timber with a minimum density of 600kg/m3.
110_UK_UK_Approved_Document_Q,Dimensions
111_UK_UK_Approved_Document_Q,"Door rails, stiles and muntins should be at least 44mm thick."
112_UK_UK_Approved_Document_Q,"After rebating, frame components should retain at least 32mm of timber."
113_UK_UK_Approved_Document_Q,Any panel within the doorset should be at least 15mm thick.
114_UK_UK_Approved_Document_Q,The panel should be securely held in place.
115_UK_UK_Approved_Document_Q,Beading should be mechanically fixed and glued in position.
116_UK_UK_Approved_Document_Q,5
117_UK_UK_Approved_Document_Q,The smaller dimension of each panel – which can be either the width or height of the panel – should be 230mm or less.
118_UK_UK_Approved_Document_Q,"Locks, hinges and letter plates"
119_UK_UK_Approved_Document_Q,"The main doors for entering a dwelling (usually the front doorset) should be fitted with a multipoint locking system that meets the requirements of: • PAS 3621 (key locking on both sides), or • PAS 8621 (non-key locking on the internal face), or • PAS 10621 (non-key locking on the internal face, but with an external locking override facility)."
120_UK_UK_Approved_Document_Q,"If it is not practical or desirable to install a multipoint locking system, a mortice lock that conforms with one of the following standards can be fitted instead, with a surface-mounted rim lock that conforms to the same standard: • BS 3621 (key locking both sides), or • BS 8621 (non-key locking on the internal face), or • BS 10621 (non-key locking on the internal face, but with an external locking override facility)."
121_UK_UK_Approved_Document_Q,"Between the locking points for the mortice lock and surface-mounted rim lock, the distance should be 400–600mm."
122_UK_UK_Approved_Document_Q,7
123_UK_UK_Approved_Document_Q,"The non-primary doors for entering a dwelling (for example, back door or garage interconnecting doors) should be fitted with a multipoint locking system that meets the requirements of:"
124_UK_UK_Approved_Document_Q,"• PAS 3621 (key locking on both sides), or • PAS 8621 (non-key locking on the internal face), or Building Regulations 2010 Approved Document Q, 2015 edition 7"
125_UK_UK_Approved_Document_Q,B
126_UK_UK_Approved_Document_Q,"• PAS 10621 (non-key locking on the internal face, but with an external locking override facility)."
127_UK_UK_Approved_Document_Q,"If it is not practical or desirable to install a multipoint locking system, a mortice lock that conforms with one of the following standards can be fitted instead, with two morticed bolts."
128_UK_UK_Approved_Document_Q,"• BS 3621 (key locking both sides), or • BS 8621 (non-key locking on the internal face), or • BS 10621 (non-key locking on the internal door face, but with an external locking override facility)."
129_UK_UK_Approved_Document_Q,"The morticed bolts should have a minimum projection of 20mm, should be at least 100mm from the top and bottom corners of the door, and should avoid any door construction joints."
130_UK_UK_Approved_Document_Q,Hinges accessible from outside should incorporate hinge bolts.
131_UK_UK_Approved_Document_Q,"Letter plates, where provided, should: a. have a maximum aperture of 260mm x 40mm, and b. incorporate a flap or other features designed to hinder anyone attempting to remove keys with sticks and/or insert their hand."
132_UK_UK_Approved_Document_Q,NOTE:
133_UK_UK_Approved_Document_Q,Letter plates meeting the requirements of the Door and Hardware Federation’s (DHF’s) technical specification TS 008:2012 have been shown to protect against the attacks mentioned above.
