id,text
0_UK_UK_Approved_Document_Q,Approved Document Q: Security
1_UK_UK_Approved_Document_Q,Summary
4_UK_UK_Approved_Document_Q,Doors
5_UK_UK_Approved_Document_Q,Section 1: Section 2: Windows
6_UK_UK_Approved_Document_Q,Appendix A: Key terms
7_UK_UK_Approved_Document_Q,Appendix B: Bespoke timber secure doorsets
8_UK_UK_Approved_Document_Q,Appendix C: Documents referred to
9_UK_UK_Approved_Document_Q,Appendix D: Standards referred to
10_UK_UK_Approved_Document_Q,Application
12_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 1"
13_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION Requirement Q1: Unauthorised access
15_UK_UK_Approved_Document_Q,Requirement
16_UK_UK_Approved_Document_Q,Requirement
17_UK_UK_Approved_Document_Q,PART Q SECURITY Unauthorised access
18_UK_UK_Approved_Document_Q,Reasonable provision must be made to resist unauthorised access to—
21_UK_UK_Approved_Document_Q,Limits on application
23_UK_UK_Approved_Document_Q,Performance
25_UK_UK_Approved_Document_Q,into a dwelling from outside
26_UK_UK_Approved_Document_Q,into parts of a building containing flats from outside
30_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
31_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION Q1
32_UK_UK_Approved_Document_Q,Section 1: Doors
33_UK_UK_Approved_Document_Q,General
35_UK_UK_Approved_Document_Q,NOTE:
38_UK_UK_Approved_Document_Q,Design of secure doorsets
41_UK_UK_Approved_Document_Q,NOTE:
44_UK_UK_Approved_Document_Q,• STS 201 Issue 5:2013
45_UK_UK_Approved_Document_Q,• LPS 1175 Issue 7:2010 security rating 2
46_UK_UK_Approved_Document_Q,• STS 202 Issue 3:2011 burglary rating 2
51_UK_UK_Approved_Document_Q,NOTE:
55_UK_UK_Approved_Document_Q,NOTE:
58_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 3"
59_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION Q1
60_UK_UK_Approved_Document_Q,Installation and fixing of secure doorsets
65_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
66_UK_UK_Approved_Document_Q,Q1
67_UK_UK_Approved_Document_Q,Section 2: Windows
68_UK_UK_Approved_Document_Q,General
70_UK_UK_Approved_Document_Q,Design of secure windows
72_UK_UK_Approved_Document_Q,NOTE:
75_UK_UK_Approved_Document_Q,• STS 204 Issue 3:2012
76_UK_UK_Approved_Document_Q,• LPS 1175 Issue 7:2010 security rating 1
79_UK_UK_Approved_Document_Q,Installation and fixing of secure windows
81_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 5"
82_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION A
83_UK_UK_Approved_Document_Q,Appendix A: Key terms
101_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
102_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION B
103_UK_UK_Approved_Document_Q,Appendix B: Bespoke timber secure doorsets
105_UK_UK_Approved_Document_Q,NOTE:
108_UK_UK_Approved_Document_Q,Material
110_UK_UK_Approved_Document_Q,Dimensions
116_UK_UK_Approved_Document_Q,5
118_UK_UK_Approved_Document_Q,"Locks, hinges and letter plates"
122_UK_UK_Approved_Document_Q,7
124_UK_UK_Approved_Document_Q,"• PAS 3621 (key locking on both sides), or • PAS 8621 (non-key locking on the internal face), or Building Regulations 2010 Approved Document Q, 2015 edition 7"
125_UK_UK_Approved_Document_Q,B
132_UK_UK_Approved_Document_Q,NOTE:
134_UK_UK_Approved_Document_Q,Door limitation and caller identification
137_UK_UK_Approved_Document_Q,NOTE:
140_UK_UK_Approved_Document_Q,Glazing
143_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
144_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION C
145_UK_UK_Approved_Document_Q,Appendix C: Documents referred to
147_UK_UK_Approved_Document_Q,"ACPO, 2014."
148_UK_UK_Approved_Document_Q,Appendix D: Standards referred to
149_UK_UK_Approved_Document_Q,British Standards
151_UK_UK_Approved_Document_Q,Security glazing.
152_UK_UK_Approved_Document_Q,Testing and classification of resistance against manual attack [2000]
153_UK_UK_Approved_Document_Q,BS 3621
155_UK_UK_Approved_Document_Q,Key egress [2007+A2:2012]
156_UK_UK_Approved_Document_Q,BS 8621
158_UK_UK_Approved_Document_Q,Keyless egress [2007+A2:2012]
159_UK_UK_Approved_Document_Q,BS 10621 Thief resistant dual-mode lock assembly [2007+A2:2012]
160_UK_UK_Approved_Document_Q,Publicly available specifications
161_UK_UK_Approved_Document_Q,PAS 24
163_UK_UK_Approved_Document_Q,External doorsets and windows intended to offer a level of security suitable for dwellings and other buildings exposed to comparable risk [2012]
164_UK_UK_Approved_Document_Q,PAS 3621
166_UK_UK_Approved_Document_Q,Keyed egress.
167_UK_UK_Approved_Document_Q,Performance requirements and test methods [2011]
168_UK_UK_Approved_Document_Q,PAS 8621
170_UK_UK_Approved_Document_Q,Keyless egress.
171_UK_UK_Approved_Document_Q,Performance requirements and test methods [2011]
172_UK_UK_Approved_Document_Q,"Building Regulations 2010 Approved Document Q, 2015 edition 9"
173_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION D
174_UK_UK_Approved_Document_Q,PAS 10621
177_UK_UK_Approved_Document_Q,Performance requirements and test methods [2011]
178_UK_UK_Approved_Document_Q,Loss Prevention Certification Board
179_UK_UK_Approved_Document_Q,LPS 2081: Issue 1
180_UK_UK_Approved_Document_Q,"Requirements and testing procedures for the LPCB approval and listing of building components, strongpoints, security enclosures and free-standing barriers offering resistance to intruders attempting to use stealth to gain entry [2015]"
181_UK_UK_Approved_Document_Q,LPS 1175: Issue 7
182_UK_UK_Approved_Document_Q,"Requirements and testing procedures for the LPCB approval and listing of intruder resistant building components, strongpoints, security enclosures and free-standing barriers [2010]"
183_UK_UK_Approved_Document_Q,Certisecure: Warrington Certification Limited
184_UK_UK_Approved_Document_Q,STS 201: Issue 5
185_UK_UK_Approved_Document_Q,Enhanced security requirements for doorsets to satisfy the requirements of PAS 24 [2013]
186_UK_UK_Approved_Document_Q,STS 202: Issue 3
187_UK_UK_Approved_Document_Q,"Requirements for burglary resistance of construction products including hinged, pivoted, folding or sliding doorsets, windows, curtain walling, security grilles, garage doors and shutters [2011]"
188_UK_UK_Approved_Document_Q,STS 204: Issue 3
189_UK_UK_Approved_Document_Q,Enhanced security performance for windows to satisfy the requirements of PAS 24 [2012]
190_UK_UK_Approved_Document_Q,Door and Hardware Federation TS 008
192_UK_UK_Approved_Document_Q,"Approved Document Q, 2015 edition Building Regulations 2010"
193_UK_UK_Approved_Document_Q,ONLINE VERSIONONLINE VERSION
