id,text
0_UK_UK_Approved_Document_R_vol_1,Section 0: Introduction
3_UK_UK_Approved_Document_R_vol_1,Section 1: Requirement RA1 – gigabit-ready physical infrastructure
4_UK_UK_Approved_Document_R_vol_1,Section 2: Requirement RA2 – connection to gigabit-capable network Section 3: Particulars of connection to public electronic communications network (‘connectivity plan’)
5_UK_UK_Approved_Document_R_vol_1,Appendix A: Key terms
6_UK_UK_Approved_Document_R_vol_1,Appendix B: Model form connectivity plan
11_UK_UK_Approved_Document_R_vol_1,"Building Regulations 2010 Approved Document R Volume 1, 2022 edition 1"
12_UK_UK_Approved_Document_R_vol_1,ONLINE VERSIONONLINE VERSION Section 1: Requirement RA1 – gigabit-ready physical infrastructure
14_UK_UK_Approved_Document_R_vol_1,Requirement
15_UK_UK_Approved_Document_R_vol_1,Requirement
16_UK_UK_Approved_Document_R_vol_1,Limits on application
17_UK_UK_Approved_Document_R_vol_1,Part R Infrastructure for electronic communications Gigabit-ready physical infrastructure
18_UK_UK_Approved_Document_R_vol_1,Requirements RA1 and RA2 apply to the erection of a dwelling or of a building that contains one or more dwellings. RA1
19_UK_UK_Approved_Document_R_vol_1,Building work must be carried out so as to ensure that each dwelling is equipped with gigabit-ready physical infrastructure that extends from a network termination point for gigabit-capable public electronic communications networks and reaches—
21_UK_UK_Approved_Document_R_vol_1,where the person carrying out the building work (“the developer”) has no right to install gigabit-
23_UK_UK_Approved_Document_R_vol_1,"where the developer has no such right and requirement RA2 is excluded or modified by regulation 44ZC, and would be so excluded or modified even if the gigabit-ready physical infrastructure were required to reach as close as is reasonably practicable to a distribution point—"
26_UK_UK_Approved_Document_R_vol_1,"where the developer has no right to install gigabit-ready physical infrastructure in land beyond the building, an access point for gigabit-"
28_UK_UK_Approved_Document_R_vol_1,"Approved Document R Volume 1, 2022 edition Building Regulations 2010"
29_UK_UK_Approved_Document_R_vol_1,RA1ONLINE VERSIONONLINE VERSION Part R Infrastructure for electronic communications continued
31_UK_UK_Approved_Document_R_vol_1,In this paragraph—
33_UK_UK_Approved_Document_R_vol_1,“the relevant 2-year period” means the period of 2 years beginning with the earlier of the following—
36_UK_UK_Approved_Document_R_vol_1,Intention
41_UK_UK_Approved_Document_R_vol_1,NOTE:
44_UK_UK_Approved_Document_R_vol_1,Application
48_UK_UK_Approved_Document_R_vol_1,new housing developments
49_UK_UK_Approved_Document_R_vol_1,self-build new dwellings
51_UK_UK_Approved_Document_R_vol_1,"Building Regulations 2010 Approved Document R Volume 1, 2022 edition 3"
52_UK_UK_Approved_Document_R_vol_1,"RA1ONLINE VERSIONONLINE VERSION 1.5 Where a new building contains more than one dwelling, a common access point for a gigabit-"
53_UK_UK_Approved_Document_R_vol_1,capable public electronic communications network is required as a part of the building’s gigabit-
69_UK_UK_Approved_Document_R_vol_1,NOTE:
73_UK_UK_Approved_Document_R_vol_1,"Approved Document R Volume 1, 2022 edition Building Regulations 2010"
74_UK_UK_Approved_Document_R_vol_1,RA1ONLINE VERSIONONLINE VERSION Network termination
75_UK_UK_Approved_Document_R_vol_1,"point (for each dwelling in building, see Diagrams 5 and 6)"
76_UK_UK_Approved_Document_R_vol_1,Dwelling/building containing
77_UK_UK_Approved_Document_R_vol_1,more than one dwelling
78_UK_UK_Approved_Document_R_vol_1,Access point/
79_UK_UK_Approved_Document_R_vol_1,common
80_UK_UK_Approved_Document_R_vol_1,access point
81_UK_UK_Approved_Document_R_vol_1,Network
82_UK_UK_Approved_Document_R_vol_1,distribution
83_UK_UK_Approved_Document_R_vol_1,point
84_UK_UK_Approved_Document_R_vol_1,Gigabit-ready physical
85_UK_UK_Approved_Document_R_vol_1,infrastructure (ducting)
86_UK_UK_Approved_Document_R_vol_1,Gigabit-capable public
87_UK_UK_Approved_Document_R_vol_1,electronic communications
88_UK_UK_Approved_Document_R_vol_1,network (spine network)
89_UK_UK_Approved_Document_R_vol_1,Diagram 1 Requirement RA1 – schematic example of gigabit-ready physical infrastructure from the network termination point to the network distribution point
90_UK_UK_Approved_Document_R_vol_1,NOTE:
93_UK_UK_Approved_Document_R_vol_1,NOTE:
100_UK_UK_Approved_Document_R_vol_1,"Building Regulations 2010 Approved Document R Volume 1, 2022 edition 5"
101_UK_UK_Approved_Document_R_vol_1,RA1ONLINE VERSIONONLINE VERSION Network termination
102_UK_UK_Approved_Document_R_vol_1,"point (for each dwelling in building, see Diagrams 5 and 6)"
103_UK_UK_Approved_Document_R_vol_1,Network
104_UK_UK_Approved_Document_R_vol_1,distribution
105_UK_UK_Approved_Document_R_vol_1,point
106_UK_UK_Approved_Document_R_vol_1,Access point/
107_UK_UK_Approved_Document_R_vol_1,common
