id,text
1_UK_UK_Approved_Document_R_vol_1,"This approved document, Approved Document R, Volume 1, provides guidance on how to comply with requirement RA1 and requirement RA2 of Schedule 1 to the Building Regulations, which respectively deal with the installation of gigabit-ready physical infrastructure and a connection to a gigabit-capable public electronic communications network when new dwellings are erected."
2_UK_UK_Approved_Document_R_vol_1,It contains the following sections:
7_UK_UK_Approved_Document_R_vol_1,Appendix C: Documents referred to.
8_UK_UK_Approved_Document_R_vol_1,This approved document provides guidance on when the requirement for a connection to a gigabit-capable public electronic communications network for new dwellings may be modified or excluded.
9_UK_UK_Approved_Document_R_vol_1,This approved document provides guidance on the particulars to be provided when submitting applications for Building Regulations approval.
10_UK_UK_Approved_Document_R_vol_1,"A separate approved document, Approved Document R, Volume 2, provides guidance on the requirements for in-building physical infrastructure for high-speed electronic communications networks when new buildings are erected or when existing buildings are subject to major renovation works (paragraph R1 does not apply to building work to which paragraph RA1 applies, e.g. when new dwellings are erected)."
13_UK_UK_Approved_Document_R_vol_1,This section deals with requirement RA1 from Part R of Schedule 1 to the Building Regulations 2010.
20_UK_UK_Approved_Document_R_vol_1,"a distribution point, or"
22_UK_UK_Approved_Document_R_vol_1,"ready physical infrastructure in land in which it would have to be installed if it were to reach a distribution point, as close as is reasonably practicable to a distribution point, or"
24_UK_UK_Approved_Document_R_vol_1,"as close as is reasonably practicable to a location at which a distribution point is likely to be installed within the relevant 2-year period (a “likely future location”), or"
25_UK_UK_Approved_Document_R_vol_1,"where there is no likely future location that is closer to the building than the closest distribution point already installed, an access point for gigabit-capable public electronic communications networks, or"
27_UK_UK_Approved_Document_R_vol_1,capable public electronic communications networks.
30_UK_UK_Approved_Document_R_vol_1,"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks."
32_UK_UK_Approved_Document_R_vol_1,“distribution point” means a distribution point for a gigabit-capable public electronic communications network;
34_UK_UK_Approved_Document_R_vol_1,"the day on which a building notice, initial notice or public body’s notice relating to work to which this paragraph applies is given;"
35_UK_UK_Approved_Document_R_vol_1,the day on which full plans relating to building work to which this paragraph applies are deposited.
37_UK_UK_Approved_Document_R_vol_1,"In the Secretary of State’s view, requirement RA1 for gigabit-ready physical infrastructure will be met by installing physical infrastructure or installations, including elements under joint ownership, to host wired or fixed wireless access networks that can do all of the following."
38_UK_UK_Approved_Document_R_vol_1,Facilitate a functioning connection to a gigabit capable public electronic communications network to each new dwelling.
39_UK_UK_Approved_Document_R_vol_1,Connect the building access point or common access point (where a building contains more than one dwelling) with a network termination point at each individual dwelling.
40_UK_UK_Approved_Document_R_vol_1,"Connect the network termination point with the physical point at which the network operator’s spine or core network ends (the network distribution point), or as close as is reasonably practicable where the developer has no right to install such infrastructure in land required to reach the distribution point."
42_UK_UK_Approved_Document_R_vol_1,"The network distribution point could be in a cabinet, a box mounted on a wall or on a telegraph pole."
43_UK_UK_Approved_Document_R_vol_1,It may or may not be on the development site.
45_UK_UK_Approved_Document_R_vol_1,Requirement RA1 for gigabit-ready physical infrastructure applies to the erection of a new dwelling or of a building that contains one or more dwellings.
46_UK_UK_Approved_Document_R_vol_1,A new dwelling may be a dwelling-house or a flat in a building that contains one or more dwellings.
47_UK_UK_Approved_Document_R_vol_1,New dwellings include the following:
50_UK_UK_Approved_Document_R_vol_1,"new dwellings in mixed-use developments (including live/work units, e.g. a flat (dwelling) that is a workplace for people who live there, and for people who do not live there)."
54_UK_UK_Approved_Document_R_vol_1,ready physical infrastructure.
55_UK_UK_Approved_Document_R_vol_1,In-building physical infrastructure is required from the common access point to the network termination points in each dwelling (see Diagram 6).
56_UK_UK_Approved_Document_R_vol_1,"In single-dwelling buildings, an access point is required as part of the gigabit-ready physical infrastructure (see Diagram 5)."
57_UK_UK_Approved_Document_R_vol_1,"Requirement RA1 does not apply to the following types of dwellings, buildings or building work."
58_UK_UK_Approved_Document_R_vol_1,Wholly non-residential buildings and existing buildings undergoing major renovation works.
59_UK_UK_Approved_Document_R_vol_1,New dwellings created through a material change of use.
60_UK_UK_Approved_Document_R_vol_1,"Rooms for residential purposes in hostels, hotels, boarding houses, schools and other educational establishments, and hospitals and other similar establishments used for patient accommodation."
61_UK_UK_Approved_Document_R_vol_1,"Buildings to be occupied by the Ministry of Defence or the armed forces of the Crown, or to be otherwise occupied for purposes connected to national security."
62_UK_UK_Approved_Document_R_vol_1,Buildings described in Schedule 2 (Exempt buildings and work) to the Building Regulations.
63_UK_UK_Approved_Document_R_vol_1,Buildings in areas isolated from a relevant public electronic communications network where both of the following apply.
64_UK_UK_Approved_Document_R_vol_1,The cost of providing a connection to a USO-standard public electronic communications network connection would exceed the cost cap (see paragraph 2.21).
65_UK_UK_Approved_Document_R_vol_1,"The prospect of a connection to a gigabit-capable public electronic communications network, a high-speed public electronic communications network or a USO-standard public electronic communications network is too remote to justify equipping the building with gigabit-ready physical infrastructure or an access point."
66_UK_UK_Approved_Document_R_vol_1,"Where a developer seeks to rely on the building being in an ‘isolated area’ as a reason to exempt new dwellings from requirement RA1, the developer must provide evidence in support of the exemption."
67_UK_UK_Approved_Document_R_vol_1,"This should include an explanation of how new dwellings are in an area that is isolated from a relevant connection, that the cost of providing a USO-standard public electronic communications network connection exceeds the cost cap and why the prospect of a connection to a relevant network in the isolated area is considered too remote to justify equipping the building with the relevant gigabit-ready physical infrastructure."
68_UK_UK_Approved_Document_R_vol_1,The application of this exemption will vary in different circumstances.
70_UK_UK_Approved_Document_R_vol_1,This evidence can be provided with the information submitted with the application for Building Regulations approval.
71_UK_UK_Approved_Document_R_vol_1,"The connectivity plan at Appendix B, which sets out a template for developers, can be used to provide such evidence and information."
72_UK_UK_Approved_Document_R_vol_1,"Requirement RA1 requires that the developer installs gigabit-ready physical infrastructure from the network termination point to the network distribution point, where the developer has access rights over the relevant land (see Diagram 1)."
91_UK_UK_Approved_Document_R_vol_1,All the diagrams in this approved document (Diagrams 1 to 6) are simplified.
92_UK_UK_Approved_Document_R_vol_1,Developers should refer to specific guidance and the requirements of the Building Regulations when planning gigabit-ready physical infrastructure with network operators.
94_UK_UK_Approved_Document_R_vol_1,All the diagrams in this approved document (Diagrams 1 to 6) reflect full fibre gigabit-ready physical infrastructure.
95_UK_UK_Approved_Document_R_vol_1,"Where fixed wireless access or satellite technology is deployed, such infrastructure will be installed differently."
96_UK_UK_Approved_Document_R_vol_1,Diagrams 5 and 6 provide more detail on gigabit-ready physical infrastructure inside the dwelling.
