id,text
0_UK_UK_Approved_Document_R_vol_2,Section 0: Introduction
1_UK_UK_Approved_Document_R_vol_2,"This approved document, Approved Document R, Volume 2, contains the following sections:"
2_UK_UK_Approved_Document_R_vol_2,Section 1: High-speed-ready in-building physical infrastructure
3_UK_UK_Approved_Document_R_vol_2,Appendix A: Key terms
4_UK_UK_Approved_Document_R_vol_2,Appendix B: Documents referred to.
5_UK_UK_Approved_Document_R_vol_2,"This approved document provides guidance on how to comply with the requirements for in-building physical infrastructure for high-speed electronic communication networks when new buildings are erected or when existing buildings are subject to major renovation works (but requirement R1 does not apply where requirement RA1 applies, e.g. when new dwellings are erected)."
6_UK_UK_Approved_Document_R_vol_2,"A separate approved document, Approved Document R Volume 1, provides guidance on how to comply with the requirement to install gigabit-ready physical infrastructure and a connection to a gigabit-capable public electronic communications network when new dwellings or a building containing one or more dwellings are erected."
7_UK_UK_Approved_Document_R_vol_2,"Building Regulations 2010 Approved Document R Volume 2, 2022 edition 1"
8_UK_UK_Approved_Document_R_vol_2,ONLINE VERSIONONLINE VERSION Requirement R1: High-speed-ready in-building physical infrastructure
9_UK_UK_Approved_Document_R_vol_2,This section deals with requirement R1 of Schedule 1 to the Building Regulations 2010.
10_UK_UK_Approved_Document_R_vol_2,Requirement
11_UK_UK_Approved_Document_R_vol_2,Requirement
12_UK_UK_Approved_Document_R_vol_2,Limits on application
13_UK_UK_Approved_Document_R_vol_2,Part R Infrastructure for electronic communications
14_UK_UK_Approved_Document_R_vol_2,High-speed-ready in-building physical infrastructure
15_UK_UK_Approved_Document_R_vol_2,"Requirement R1 applies to building work, other than building work to which paragraph RA1 applies, that consists of—"
16_UK_UK_Approved_Document_R_vol_2,the erection of buildings; or
17_UK_UK_Approved_Document_R_vol_2,major renovation works to buildings.
18_UK_UK_Approved_Document_R_vol_2,R1
19_UK_UK_Approved_Document_R_vol_2,Building work must be carried out so as to ensure that the building is equipped with a high-speed-
20_UK_UK_Approved_Document_R_vol_2,"ready in-building physical infrastructure, up to a network termination point for high-speed electronic communications networks."
21_UK_UK_Approved_Document_R_vol_2,"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for high-speed electronic communications networks."
22_UK_UK_Approved_Document_R_vol_2,Performance
23_UK_UK_Approved_Document_R_vol_2,"In the Secretary of State’s view, a building will meet requirement R1 if it is designed and constructed so that high-speed electronic communications networks can be installed in the future."
24_UK_UK_Approved_Document_R_vol_2,"Approved Document R Volume 2, 2022 edition Building Regulations 2010"
25_UK_UK_Approved_Document_R_vol_2,R1ONLINE VERSIONONLINE VERSION Section 1: In-building physical infrastructure
26_UK_UK_Approved_Document_R_vol_2,Introduction
27_UK_UK_Approved_Document_R_vol_2,"Requirement R1 applies to new buildings and to existing buildings that are subject to major renovation works, including existing dwellings subject to such works."
28_UK_UK_Approved_Document_R_vol_2,See paragraph 1.5 for types of building and building work that are exempt.
29_UK_UK_Approved_Document_R_vol_2,"Requirement R1 does not apply where requirement RA1 applies, e.g. when a new dwelling or a building containing one or more dwellings is erected."
30_UK_UK_Approved_Document_R_vol_2,"Requirement R1 is to provide the in-building physical infrastructure so that, in future, copper or fibre-optic cables or wireless devices capable of delivering broadband speeds greater than 30 Mbps can be installed."
31_UK_UK_Approved_Document_R_vol_2,NOTE:
32_UK_UK_Approved_Document_R_vol_2,"A standard copper telephone cable, when connected to a service provider’s fibre network, can deliver broadband speeds up to 70 Mbps."
33_UK_UK_Approved_Document_R_vol_2,"The requirement is to provide only the in-building physical infrastructure, from the service provider’s access point to the occupier’s network termination point."
34_UK_UK_Approved_Document_R_vol_2,Multi-dwelling buildings that are subject to major renovation works must be equipped with a common access point capable of serving all the dwellings within the building.
35_UK_UK_Approved_Document_R_vol_2,"It is not a requirement to provide any network cabling or equipment, or any in-building physical infrastructure that extends internally beyond the network termination point."
36_UK_UK_Approved_Document_R_vol_2,Nor is it a requirement to provide any external or site-wide infrastructure beyond the access point or common access point.
37_UK_UK_Approved_Document_R_vol_2,The developer and broadband service provider should agree who will install such external infrastructure.
38_UK_UK_Approved_Document_R_vol_2,Application
39_UK_UK_Approved_Document_R_vol_2,Requirement R1 does not apply to the following types of building or building work.
40_UK_UK_Approved_Document_R_vol_2,The erection of a new dwelling described in requirements RA1 and RA2 for gigabit-ready physical infrastructure and gigabit-capable connections (see Approved Document R Volume 1: Physical infrastructure and network connection for new dwellings).
41_UK_UK_Approved_Document_R_vol_2,A new dwelling may be a dwelling-
42_UK_UK_Approved_Document_R_vol_2,house or a flat in a building that contains one or more dwellings.
43_UK_UK_Approved_Document_R_vol_2,Dwellings include the following:
44_UK_UK_Approved_Document_R_vol_2,new housing developments
45_UK_UK_Approved_Document_R_vol_2,self-build new dwellings
46_UK_UK_Approved_Document_R_vol_2,"new dwellings in mixed-use developments (including live/work units, e.g. a flat (dwelling) that is a workplace for people who live there, and for people who do not live there)."
47_UK_UK_Approved_Document_R_vol_2,"Buildings and work described in Classes 2 to 7 of Schedule 2 (Exempt buildings and work) to the Building Regulations – for example, sheds, domestic greenhouses, garages, conservatories and other small detached buildings with no sleeping accommodation."
48_UK_UK_Approved_Document_R_vol_2,"Building Regulations 2010 Approved Document R Volume 2, 2022 edition 3"
49_UK_UK_Approved_Document_R_vol_2,R1ONLINE VERSIONONLINE VERSION c. Buildings included in the schedule of monuments maintained under section 1 of the Ancient Monuments and Archaeological Areas Act 1979.
50_UK_UK_Approved_Document_R_vol_2,Buildings for which compliance with requirement R1 would unacceptably alter their character or appearance and that are either of the following:
