id,text
0_UK_UK_Approved_Document_S,Section 0: Introduction
1_UK_UK_Approved_Document_S,Summary
2_UK_UK_Approved_Document_S,This approved document is Approved Document S. It gives guidance on how to comply with Part S of Schedule 1 to the Building Regulations.
3_UK_UK_Approved_Document_S,This approved document contains the following sections:
4_UK_UK_Approved_Document_S,Approved document section
5_UK_UK_Approved_Document_S,Section 0: Introduction Related Building Regulations requirements
6_UK_UK_Approved_Document_S,n/a
7_UK_UK_Approved_Document_S,Section 1: New residential buildings
8_UK_UK_Approved_Document_S,Requirement S1 of Schedule 1 and regulation 44D
9_UK_UK_Approved_Document_S,Section 2: Material change of use and major renovations for residential buildings
10_UK_UK_Approved_Document_S,Requirements S2 and S3 of Schedule 1 and regulations 44E and 44F
11_UK_UK_Approved_Document_S,Section 3: New buildings other than residential or mixed-use buildings
12_UK_UK_Approved_Document_S,Section 4: Major renovations of buildings which are not residential or mixed-use buildings
13_UK_UK_Approved_Document_S,Requirement S4 of Schedule 1 and regulation 44G
14_UK_UK_Approved_Document_S,Requirement S5 of Schedule 1 and regulation 44H
15_UK_UK_Approved_Document_S,Section 5: Mixed-use buildings
16_UK_UK_Approved_Document_S,Requirement S6 of Schedule 1 and regulation 44I
17_UK_UK_Approved_Document_S,Section 6: Standards for electric vehicle charge points and cable routes
18_UK_UK_Approved_Document_S,Regulation 44J
19_UK_UK_Approved_Document_S,Appendix A: Key terms
20_UK_UK_Approved_Document_S,Appendix B: Standards referred to
21_UK_UK_Approved_Document_S,Appendix C: Documents referred to n/a n/a n/a
22_UK_UK_Approved_Document_S,Application
23_UK_UK_Approved_Document_S,The guidance in Approved Document S applies to the following types of building work.
24_UK_UK_Approved_Document_S,New residential buildings.
25_UK_UK_Approved_Document_S,New non-residential buildings.
26_UK_UK_Approved_Document_S,Buildings undergoing material change of use.
27_UK_UK_Approved_Document_S,Residential buildings undergoing major renovation.
28_UK_UK_Approved_Document_S,Non
29_UK_UK_Approved_Document_S,-residential buildings undergoing major renovation.
30_UK_UK_Approved_Document_S,Mixed-use buildings undergoing relevant building work.
31_UK_UK_Approved_Document_S,"Details of the application of the Part S requirements, including exemptions, are set out in the relevant sections of this document."
32_UK_UK_Approved_Document_S,"Building Regulations 2010 Approved Document S, 2021 edition 1"
33_UK_UK_Approved_Document_S,"ONLINE VERSIONONLINE VERSION Selected key interactions with other parts of the Building Regulations 0.5 The approved documents set out what, in ordinary circumstances, may be accepted as one way to comply with the Building Regulations."
34_UK_UK_Approved_Document_S,"Those designing or undertaking building work remain responsible for assessing, on a case-by-case basis, whether specific circumstances require additional or alternative measures to achieve compliance with the regulatory requirements."
35_UK_UK_Approved_Document_S,There are interactions between many of the requirements of the Building Regulations.
36_UK_UK_Approved_Document_S,Guidance on some key interactions is given below.
37_UK_UK_Approved_Document_S,Interaction with Part B
38_UK_UK_Approved_Document_S,"This approved document, Approved Document S, provides guidance on the installation and location of electric vehicle charge points."
39_UK_UK_Approved_Document_S,"Where a car park is constructed or work is carried out to an existing car park, care must be taken to ensure that the fire safety requirements of the Building Regulations have been met."
40_UK_UK_Approved_Document_S,Follow the guidance in Approved Document B.
41_UK_UK_Approved_Document_S,Interaction with Part K
42_UK_UK_Approved_Document_S,"This approved document, Approved Document S, provides guidance on the location of electric vehicle charge points."
43_UK_UK_Approved_Document_S,Approved Document K gives guidance on vehicle barriers and loading bays.
44_UK_UK_Approved_Document_S,"Interaction with Part M 0.8 This approved document, Approved Document S, provides guidance on the installation and location of electric vehicle charge points."
45_UK_UK_Approved_Document_S,"Manual controls, where provided, should be within reasonable reach of the occupants."
46_UK_UK_Approved_Document_S,Access requirements must be considered when locating electric vehicle charge points.
47_UK_UK_Approved_Document_S,Accessible parking spaces must meet the Part M requirements.
48_UK_UK_Approved_Document_S,Follow the guidance in Approved Document M.
49_UK_UK_Approved_Document_S,Interaction with Part P
50_UK_UK_Approved_Document_S,"This approved document, Approved Document S, provides guidance on the installation and location of electric vehicle charge points."
51_UK_UK_Approved_Document_S,"Where electrical work is carried out for a dwelling, Part P of the Building Regulations must be met."
52_UK_UK_Approved_Document_S,Follow the guidance in Approved Document P.
53_UK_UK_Approved_Document_S,NOTE:
54_UK_UK_Approved_Document_S,"For workplaces, the Electricity at Work Regulations 1989 sets requirements."
55_UK_UK_Approved_Document_S,"Approved Document S, 2021 edition Building Regulations 2010"
56_UK_UK_Approved_Document_S,ONLINE VERSIONONLINE VERSION Requirement S1 and regulation 44D: Electric vehicle charging provisions for new residential buildings
57_UK_UK_Approved_Document_S,This section deals with requirement S1 from Part S of Schedule 1 and regulation 44D of the Building Regulations 2010.
58_UK_UK_Approved_Document_S,Requirement
59_UK_UK_Approved_Document_S,The erection of new residential buildings
60_UK_UK_Approved_Document_S,A new residential building with associated parking must have access to electric vehicle charge points as provided for in paragraph (2).
61_UK_UK_Approved_Document_S,The number of associated parking spaces which have access to electric vehicle charge points must be—
62_UK_UK_Approved_Document_S,"the total number of associated parking spaces, where there are fewer associated parking spaces than there are dwellings contained in the residential building; or"
63_UK_UK_Approved_Document_S,"the number of associated parking spaces that is equal to the total number of dwellings contained in the residential building, where there are the same number of associated parking spaces as, or more associated parking spaces than, there are dwellings."
64_UK_UK_Approved_Document_S,"Cable routes for electric vehicle charge points must be installed in any associated parking spaces which do not, in accordance with paragraph (2), have an electric vehicle charge point where—"
65_UK_UK_Approved_Document_S,a new residential building has more than 10 associated parking spaces; and
66_UK_UK_Approved_Document_S,there are more associated parking spaces than there are dwellings contained in the residential building.
67_UK_UK_Approved_Document_S,"Building Regulations 2010 Approved Document S, 2021 edition 3"
68_UK_UK_Approved_Document_S,S1ONLINE
69_UK_UK_Approved_Document_S,VERSIONONLINE VERSION Regulation
70_UK_UK_Approved_Document_S,Application of paragraph S1 of Schedule 1 (the erection of new residential buildings)
71_UK_UK_Approved_Document_S,The requirements of paragraph S1 of Schedule 1 apply in relation to the erection of a new residential building with associated parking as follows.
72_UK_UK_Approved_Document_S,The number of electric vehicle charge points that must be installed is the maximum number of electric vehicle charge points that it is possible to install at an average sum of £3600 or less for the connection cost of each electric vehicle charge point connection (“the £3600 cap”).
73_UK_UK_Approved_Document_S,"If it is not possible to completely fulfil the requirements of paragraph S1(2) of Schedule 1 as a result of the operation of the £3600 cap, cable routes for electric vehicle charge points must be installed in the associated parking spaces that would otherwise be required to have electric vehicle charge points, but for the operation of the £3600 cap."
74_UK_UK_Approved_Document_S,"Where the new residential building has, or will have, associated parking that is situated within a covered car park—"
75_UK_UK_Approved_Document_S,if there are or will be any associated parking spaces situated in a position other than in a covered car park—
76_UK_UK_Approved_Document_S,the requirements of paragraph S1 of Schedule 1 must first be applied in relation to those parking spaces; then
77_UK_UK_Approved_Document_S,"if the number of associated parking spaces, which are situated in a position other than in a covered car park, is insufficient to completely fulfil the requirements of paragraph S1(2) of Schedule 1, cable routes for electric vehicle charge points must be installed in—"
