id,text
0_UK_UK_Approved_Document_S,Section 0: Introduction
1_UK_UK_Approved_Document_S,Summary
4_UK_UK_Approved_Document_S,Approved document section
5_UK_UK_Approved_Document_S,Section 0: Introduction Related Building Regulations requirements
6_UK_UK_Approved_Document_S,n/a
7_UK_UK_Approved_Document_S,Section 1: New residential buildings
8_UK_UK_Approved_Document_S,Requirement S1 of Schedule 1 and regulation 44D
9_UK_UK_Approved_Document_S,Section 2: Material change of use and major renovations for residential buildings
10_UK_UK_Approved_Document_S,Requirements S2 and S3 of Schedule 1 and regulations 44E and 44F
11_UK_UK_Approved_Document_S,Section 3: New buildings other than residential or mixed-use buildings
12_UK_UK_Approved_Document_S,Section 4: Major renovations of buildings which are not residential or mixed-use buildings
13_UK_UK_Approved_Document_S,Requirement S4 of Schedule 1 and regulation 44G
14_UK_UK_Approved_Document_S,Requirement S5 of Schedule 1 and regulation 44H
15_UK_UK_Approved_Document_S,Section 5: Mixed-use buildings
16_UK_UK_Approved_Document_S,Requirement S6 of Schedule 1 and regulation 44I
17_UK_UK_Approved_Document_S,Section 6: Standards for electric vehicle charge points and cable routes
18_UK_UK_Approved_Document_S,Regulation 44J
19_UK_UK_Approved_Document_S,Appendix A: Key terms
20_UK_UK_Approved_Document_S,Appendix B: Standards referred to
21_UK_UK_Approved_Document_S,Appendix C: Documents referred to n/a n/a n/a
22_UK_UK_Approved_Document_S,Application
28_UK_UK_Approved_Document_S,Non
32_UK_UK_Approved_Document_S,"Building Regulations 2010 Approved Document S, 2021 edition 1"
37_UK_UK_Approved_Document_S,Interaction with Part B
41_UK_UK_Approved_Document_S,Interaction with Part K
49_UK_UK_Approved_Document_S,Interaction with Part P
53_UK_UK_Approved_Document_S,NOTE:
55_UK_UK_Approved_Document_S,"Approved Document S, 2021 edition Building Regulations 2010"
56_UK_UK_Approved_Document_S,ONLINE VERSIONONLINE VERSION Requirement S1 and regulation 44D: Electric vehicle charging provisions for new residential buildings
58_UK_UK_Approved_Document_S,Requirement
59_UK_UK_Approved_Document_S,The erection of new residential buildings
61_UK_UK_Approved_Document_S,The number of associated parking spaces which have access to electric vehicle charge points must be—
64_UK_UK_Approved_Document_S,"Cable routes for electric vehicle charge points must be installed in any associated parking spaces which do not, in accordance with paragraph (2), have an electric vehicle charge point where—"
67_UK_UK_Approved_Document_S,"Building Regulations 2010 Approved Document S, 2021 edition 3"
68_UK_UK_Approved_Document_S,S1ONLINE
69_UK_UK_Approved_Document_S,VERSIONONLINE VERSION Regulation
70_UK_UK_Approved_Document_S,Application of paragraph S1 of Schedule 1 (the erection of new residential buildings)
74_UK_UK_Approved_Document_S,"Where the new residential building has, or will have, associated parking that is situated within a covered car park—"
75_UK_UK_Approved_Document_S,if there are or will be any associated parking spaces situated in a position other than in a covered car park—
76_UK_UK_Approved_Document_S,the requirements of paragraph S1 of Schedule 1 must first be applied in relation to those parking spaces; then
77_UK_UK_Approved_Document_S,"if the number of associated parking spaces, which are situated in a position other than in a covered car park, is insufficient to completely fulfil the requirements of paragraph S1(2) of Schedule 1, cable routes for electric vehicle charge points must be installed in—"
81_UK_UK_Approved_Document_S,"if all the associated parking spaces are situated in a covered car park, cable routes for electric vehicle charge points must be installed—"
82_UK_UK_Approved_Document_S,where there are 10 or fewer parking spaces—
86_UK_UK_Approved_Document_S,NOTE:
87_UK_UK_Approved_Document_S,"Where the building control body is an approved inspector, see regulation 8 of the Building (Approved Inspectors etc.)"
89_UK_UK_Approved_Document_S,Intention
92_UK_UK_Approved_Document_S,
96_UK_UK_Approved_Document_S,"Approved Document S, 2021 edition Building Regulations 2010"
97_UK_UK_Approved_Document_S,S1ONLINE
98_UK_UK_Approved_Document_S,VERSIONONLINE VERSION Section 1: New residential buildings
99_UK_UK_Approved_Document_S,New dwellings
102_UK_UK_Approved_Document_S,
105_UK_UK_Approved_Document_S,NOTE:
108_UK_UK_Approved_Document_S,If either:
109_UK_UK_Approved_Document_S,the average connection cost for an electric vehicle charge point connection is greater than £3600
110_UK_UK_Approved_Document_S,some of the associated parking spaces associated with the new residential building are within a covered car park
114_UK_UK_Approved_Document_S,If the number of associated parking spaces for the new residential building is both
115_UK_UK_Approved_Document_S,more than 10
116_UK_UK_Approved_Document_S,more than the number of dwellings
118_UK_UK_Approved_Document_S,Application of the requirements to new residential buildings
122_UK_UK_Approved_Document_S,NOTE:
126_UK_UK_Approved_Document_S,"Building Regulations 2010 Approved Document S, 2021 edition 5"
127_UK_UK_Approved_Document_S,S1ONLINE
128_UK_UK_Approved_Document_S,VERSIONONLINE VERSION Site boundary
129_UK_UK_Approved_Document_S,Garage/
130_UK_UK_Approved_Document_S,car port 1
131_UK_UK_Approved_Document_S,Parking
132_UK_UK_Approved_Document_S,space 1
133_UK_UK_Approved_Document_S,Parking
134_UK_UK_Approved_Document_S,space 4
135_UK_UK_Approved_Document_S,Garage/
136_UK_UK_Approved_Document_S,car port 2
137_UK_UK_Approved_Document_S,Garden
138_UK_UK_Approved_Document_S,Garden
139_UK_UK_Approved_Document_S,Parking
140_UK_UK_Approved_Document_S,space 2
141_UK_UK_Approved_Document_S,Dwelling 1
142_UK_UK_Approved_Document_S,Dwelling 2
143_UK_UK_Approved_Document_S,Parking
144_UK_UK_Approved_Document_S,space 3
145_UK_UK_Approved_Document_S,NOTES:
154_UK_UK_Approved_Document_S,"Diagram 1.1 Determining associated parking spaces and site boundaries, example 1"
155_UK_UK_Approved_Document_S,"Approved Document S, 2021 edition Building Regulations 2010"
156_UK_UK_Approved_Document_S,S1ONLINE
157_UK_UK_Approved_Document_S,VERSIONONLINE VERSION Site boundary
158_UK_UK_Approved_Document_S,for building 1
159_UK_UK_Approved_Document_S,Vegetation/
160_UK_UK_Approved_Document_S,landscaping
161_UK_UK_Approved_Document_S,Car park 1
162_UK_UK_Approved_Document_S,Car park 2
163_UK_UK_Approved_Document_S,Building 2
164_UK_UK_Approved_Document_S,Building 1
165_UK_UK_Approved_Document_S,Car park 3
166_UK_UK_Approved_Document_S,On-street
167_UK_UK_Approved_Document_S,parking
168_UK_UK_Approved_Document_S,Car park 4
169_UK_UK_Approved_Document_S,NOTES:
177_UK_UK_Approved_Document_S,
183_UK_UK_Approved_Document_S,"Diagram 1.2 Determining associated parking spaces and site boundaries, example 2"
184_UK_UK_Approved_Document_S,"Building Regulations 2010 Approved Document S, 2021 edition 7"
185_UK_UK_Approved_Document_S,S1ONLINE
194_UK_UK_Approved_Document_S,
196_UK_UK_Approved_Document_S,
198_UK_UK_Approved_Document_S,NOTE:
199_UK_UK_Approved_Document_S,"For new dwellings where there is no requirement to install an electric vehicle charge point, cable routes may be required; see paragraph 1.2. 8"
200_UK_UK_Approved_Document_S,"Approved Document S, 2021 edition Building Regulations 2010"
201_UK_UK_Approved_Document_S,S1ONLINE
202_UK_UK_Approved_Document_S,VERSIONONLINE VERSION Requirement S2 and regulation 44E: Dwellings resulting from a material change of use
204_UK_UK_Approved_Document_S,Requirement
