id,text
2_UK_UK_Approved_Document_S,This approved document is Approved Document S. It gives guidance on how to comply with Part S of Schedule 1 to the Building Regulations.
3_UK_UK_Approved_Document_S,This approved document contains the following sections:
23_UK_UK_Approved_Document_S,The guidance in Approved Document S applies to the following types of building work.
24_UK_UK_Approved_Document_S,New residential buildings.
25_UK_UK_Approved_Document_S,New non-residential buildings.
26_UK_UK_Approved_Document_S,Buildings undergoing material change of use.
27_UK_UK_Approved_Document_S,Residential buildings undergoing major renovation.
29_UK_UK_Approved_Document_S,-residential buildings undergoing major renovation.
30_UK_UK_Approved_Document_S,Mixed-use buildings undergoing relevant building work.
31_UK_UK_Approved_Document_S,"Details of the application of the Part S requirements, including exemptions, are set out in the relevant sections of this document."
33_UK_UK_Approved_Document_S,"ONLINE VERSIONONLINE VERSION Selected key interactions with other parts of the Building Regulations 0.5 The approved documents set out what, in ordinary circumstances, may be accepted as one way to comply with the Building Regulations."
34_UK_UK_Approved_Document_S,"Those designing or undertaking building work remain responsible for assessing, on a case-by-case basis, whether specific circumstances require additional or alternative measures to achieve compliance with the regulatory requirements."
35_UK_UK_Approved_Document_S,There are interactions between many of the requirements of the Building Regulations.
36_UK_UK_Approved_Document_S,Guidance on some key interactions is given below.
38_UK_UK_Approved_Document_S,"This approved document, Approved Document S, provides guidance on the installation and location of electric vehicle charge points."
39_UK_UK_Approved_Document_S,"Where a car park is constructed or work is carried out to an existing car park, care must be taken to ensure that the fire safety requirements of the Building Regulations have been met."
40_UK_UK_Approved_Document_S,Follow the guidance in Approved Document B.
42_UK_UK_Approved_Document_S,"This approved document, Approved Document S, provides guidance on the location of electric vehicle charge points."
43_UK_UK_Approved_Document_S,Approved Document K gives guidance on vehicle barriers and loading bays.
44_UK_UK_Approved_Document_S,"Interaction with Part M 0.8 This approved document, Approved Document S, provides guidance on the installation and location of electric vehicle charge points."
45_UK_UK_Approved_Document_S,"Manual controls, where provided, should be within reasonable reach of the occupants."
46_UK_UK_Approved_Document_S,Access requirements must be considered when locating electric vehicle charge points.
47_UK_UK_Approved_Document_S,Accessible parking spaces must meet the Part M requirements.
48_UK_UK_Approved_Document_S,Follow the guidance in Approved Document M.
50_UK_UK_Approved_Document_S,"This approved document, Approved Document S, provides guidance on the installation and location of electric vehicle charge points."
51_UK_UK_Approved_Document_S,"Where electrical work is carried out for a dwelling, Part P of the Building Regulations must be met."
52_UK_UK_Approved_Document_S,Follow the guidance in Approved Document P.
54_UK_UK_Approved_Document_S,"For workplaces, the Electricity at Work Regulations 1989 sets requirements."
57_UK_UK_Approved_Document_S,This section deals with requirement S1 from Part S of Schedule 1 and regulation 44D of the Building Regulations 2010.
60_UK_UK_Approved_Document_S,A new residential building with associated parking must have access to electric vehicle charge points as provided for in paragraph (2).
62_UK_UK_Approved_Document_S,"the total number of associated parking spaces, where there are fewer associated parking spaces than there are dwellings contained in the residential building; or"
63_UK_UK_Approved_Document_S,"the number of associated parking spaces that is equal to the total number of dwellings contained in the residential building, where there are the same number of associated parking spaces as, or more associated parking spaces than, there are dwellings."
65_UK_UK_Approved_Document_S,a new residential building has more than 10 associated parking spaces; and
66_UK_UK_Approved_Document_S,there are more associated parking spaces than there are dwellings contained in the residential building.
71_UK_UK_Approved_Document_S,The requirements of paragraph S1 of Schedule 1 apply in relation to the erection of a new residential building with associated parking as follows.
72_UK_UK_Approved_Document_S,The number of electric vehicle charge points that must be installed is the maximum number of electric vehicle charge points that it is possible to install at an average sum of £3600 or less for the connection cost of each electric vehicle charge point connection (“the £3600 cap”).
73_UK_UK_Approved_Document_S,"If it is not possible to completely fulfil the requirements of paragraph S1(2) of Schedule 1 as a result of the operation of the £3600 cap, cable routes for electric vehicle charge points must be installed in the associated parking spaces that would otherwise be required to have electric vehicle charge points, but for the operation of the £3600 cap."
78_UK_UK_Approved_Document_S,"(aa) the number of parking spaces in the covered car park which, when added to the number of associated parking spaces which are situated in a position other than in the covered car park, corresponds to the total number of dwellings with associated parking, where the total number of associated parking spaces is 10 or less;"
79_UK_UK_Approved_Document_S,"(bb) all the associated parking spaces in the covered car park, where the total number of associated parking spaces is both less than the number of dwellings with associated parking and 10 or less; and"
80_UK_UK_Approved_Document_S,"(cc) all the associated parking spaces in the covered car park, where the total number of associated parking spaces is more than 10;"
83_UK_UK_Approved_Document_S,(aa) in the number of associated parking spaces in the covered car park which corresponds to the total number of dwellings with associated parking;
84_UK_UK_Approved_Document_S,(bb) in all the parking spaces where there are fewer parking spaces than there are dwellings;
85_UK_UK_Approved_Document_S,"in all the parking spaces in the covered car park, where there are more than 10 parking spaces."
88_UK_UK_Approved_Document_S,Regulations 2010 (as amended).
90_UK_UK_Approved_Document_S,"In the Secretary of State’s view, requirement S1 and regulation 44D are met if building work complies with all the following."
91_UK_UK_Approved_Document_S,"For a new residential building where requirement S1 applies (paragraph 1.4), electric vehicle charge points are installed in accordance with paragraph 1.1."
93_UK_UK_Approved_Document_S,"For new residential buildings where both of the following conditions apply, cable routes are installed."
