example_id,content,processed_content,label,metadata
0aaf71f0-a482-4a72-a407-0d6db79c7f6f,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey.","In a building consisting primarily of one storey , no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey .",O O B-object B-quality I-quality I-quality I-quality I-quality O O O O B-value I-value O B-quality O O O O B-value I-value O B-quality B-object O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '69_Finnish_FireSafety'}
17d9350b-ba07-405f-bbe3-3b728eab4dee,The facilities suitable for persons with mobility and functional impairment shall be marked  with  the  International  Symbol  of  Access.,The facilities suitable for persons with mobility and functional impairment shall be marked with the International Symbol of Access .,O B-object B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '62_Finnish_Accessibility'}
1de9d3e5-dee3-42c9-b929-80b7936f1642,The lift shall provide access to the entrance level and each level with entry to a dwelling or a space serving the use of the building.,The lift shall provide access to the entrance level and each level with entry to a dwelling or a space serving the use of the building .,O B-object O B-quality I-quality O O B-property I-property O O B-property I-property I-property O O B-object O O B-object B-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '33_Finnish_Accessibility'}
2ef73ac0-d424-4e28-9782-3dbaf6e0a046,Attics and uppermost floor voids shall be divided into 400 m2 parts.,Attics and uppermost floor voids shall be divided into 400 m2 parts .,B-object O B-quality B-object I-object O O B-quality I-quality I-quality I-quality I-quality O,{'ID': '107_Finnish_FireSafety'}
2ff58135-b89d-40d1-a145-51aad9e5a942,"The landing in front of the outside door shall be at least 1,500 millimetres wide and at least 1,500 millimetres long.","The landing in front of the outside door shall be at least 1,500 millimetres wide and at least 1,500 millimetres long .",O B-object B-quality I-quality I-quality I-quality I-quality I-quality O O O O B-value I-value B-property O O O B-value I-value B-property O,{'ID': '16_Finnish_Accessibility'}
43e26628-8b62-4cc6-91e2-284335df1564,"In  rooms  used  for  sleeping  or  rest,  the  one-hour  A-weighted  equivalent continuous sound level of impulsive, narrow-band or low-frequency noise may not exceed 25 decibels.","In rooms used for sleeping or rest , the one-hour A-weighted equivalent continuous sound level of impulsive , narrow-band or low-frequency noise may not exceed 25 decibels .",O B-object B-quality I-quality I-quality I-quality I-quality O O B-property I-property I-property I-property I-property I-property I-property I-property I-property I-property I-property I-property I-property O O O B-value I-value O,{'ID': '17_Finnish_AcousticEnvironment'}
56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,"Storage premises with a fire load exceeding 1,200 MJ/m2 are not permitted within the building.","Storage premises with a fire load exceeding 1,200 MJ/m2 are not permitted within the building .",B-object I-object O O B-property I-property O B-value I-value O B-quality I-quality I-quality I-quality I-quality O,{'ID': '73_Finnish_FireSafety'}
5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,"If  the  domestic  hot  water cylinder  is  located  inside  the  building  envelope,  50  of  the  calculated  domestic  hot  water cylinder heat loss shall be added to the thermal load of the spaces of the building.","If the domestic hot water cylinder is located inside the building envelope , 50 of the calculated domestic hot water cylinder heat loss shall be added to the thermal load of the spaces of the building .",O O B-quality B-object I-object I-object O B-quality I-quality I-quality I-quality I-quality O B-value O O B-quality B-property I-property I-property I-property I-property I-property O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '105_Finnish_EnergyEfficiency'}
703e5c71-bd54-4267-acf4-fa7db1e70d49,"Any sound system in an auditorium, a restaurant, a conference facility, a facility for festive occasions, a teaching facility or other similar assembly facility or a public service facility shall have an induction loop or a similar sound transmission system.","Any sound system in an auditorium , a restaurant , a conference facility , a facility for festive occasions , a teaching facility or other similar assembly facility or a public service facility shall have an induction loop or a similar sound transmission system .",O B-object I-object O O B-object O O B-object O O B-object I-object O O B-object I-object I-object I-object O O B-object I-object O O B-object I-object I-object O O B-object I-object I-object O O O B-object I-object O O B-object I-object I-object I-object O,{'ID': '67_Finnish_Accessibility'}
7134933d-17df-4a8c-b72e-1c09177bad1c,The spread of fire in voids of wall-type building elements must be restricted at least by storey.,The spread of fire in voids of wall-type building elements must be restricted at least by storey .,O B-property I-property I-property O B-object O B-quality B-object I-object O O B-quality I-quality I-quality I-quality I-quality O,{'ID': '130_Finnish_FireSafety'}
