example_id,content,processed_content,label,metadata
802f724b-cd37-4e78-9cbc-42ccec62237f,"System controls should be wired so that when there is no demand for space heating or hot water, the heating appliance, if appropriate, and pump are switched off.","System controls should be wired so that when there is no demand for space heating or hot water , the heating appliance , if appropriate , and pump are switched off .",B-object I-object O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '306_UK_DocM_V2_AccessAndUseOfBuildings'}
082a011b-2d6a-4569-b58d-f8cab00f5d81,The quality of the installation of the ventilator product should be checked to ensure it is correctly mounted within the wall or window aperture.,The quality of the installation of the ventilator product should be checked to ensure it is correctly mounted within the wall or window aperture .,O B-property I-property I-property I-property O O B-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '191_UK_DocF_V1_Ventilation'}
8e8f4fb5-00b5-404f-89df-a07287984748,"In buildings with a total useful floor area greater than 1000m2, automatic meter reading and data collection facilities should be installed.","In buildings with a total useful floor area greater than 1000m2 , automatic meter reading and data collection facilities should be installed .",O B-object O O B-property I-property I-property I-property O O B-value O B-object I-object I-object O B-object I-object I-object O O O O,{'ID': '229_UK_DocM_V2_AccessAndUseOfBuildings'}
319372c4-2f9b-4594-8150-b9fd2c7670c4,A stack vent located in cold premises shall be thermally insulated.,A stack vent located in cold premises shall be thermally insulated .,O B-object I-object O O B-object I-object O O B-quality I-quality O,{'ID': '136_Finnish_Health-WaterAndSewerage'}
009e12eb-db83-485c-9ffc-e1f462251109,Each air terminal should have a free area of at least 90 of the free area of its associated duct.,Each air terminal should have a free area of at least 90 of the free area of its associated duct .,O B-object I-object O O O B-object I-object O O O B-value O O B-object I-object O O B-quality B-object O,{'ID': '115_UK_DocF_V1_Ventilation'}
7f72632a-dc0a-4318-afd7-7090b42350fc,Mechanical supply terminals should be located and directed to avoid draughts.,Mechanical supply terminals should be located and directed to avoid draughts .,B-quality B-object I-object O O B-quality O B-quality O B-quality I-quality O,{'ID': '106_UK_DocF_V1_Ventilation'}
3724fd47-22f7-432c-81a2-1abcb95c7df2,"The total number of ventilators installed in a dwellings habitable rooms and kitchens should be no fewer than five, except in one bedroom properties, where there should be no fewer than four.","The total number of ventilators installed in a dwellings habitable rooms and kitchens should be no fewer than five , except in one bedroom properties , where there should be no fewer than four .",O B-property I-property I-property I-property O O O B-object B-object I-object O B-object O O O O O B-value O O O B-value B-object B-object O O O O O O O O B-value O,{'ID': '96_UK_DocF_V1_Ventilation'}
500fc416-e652-4a2c-8dd3-8d9754ea1829,There should be no visible mould on the inner surfaces of external walls of a properly heated building with typical moisture generation.,There should be no visible mould on the inner surfaces of external walls of a properly heated building with typical moisture generation .,O O O B-quality I-quality B-object O O B-property I-property O B-quality B-object O O B-quality I-quality B-object B-quality I-quality I-quality I-quality O,{'ID': '115_UK_DocF_V2_Ventilation'}
385a4365-40c0-4c07-8854-b07bde292fd2,"The  electrical  energy  consumption  of  a  mechanical ventilation  system  shall  be  calculated  on  the  basis  of  air  flows,  specific  fan  powers  and operating times for all air handling units and powered roof ventilators in the building.","The electrical energy consumption of a mechanical ventilation system shall be calculated on the basis of air flows , specific fan powers and operating times for all air handling units and powered roof ventilators in the building .",O B-quality B-property I-property O O B-quality B-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '109_Finnish_EnergyEfficiency'}
0df5892a-e396-424e-90f1-74f6ccfb9e1a,"A certain proportion of the changing rooms, washing facilities, saunas and swimming pools in a non-residential building shall be suitable for a person with mobility and functional impairment.","A certain proportion of the changing rooms , washing facilities , saunas and swimming pools in a non-residential building shall be suitable for a person with mobility and functional impairment .",O B-value I-value O O B-object I-object O B-object I-object O B-object O B-object I-object O O B-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '61_Finnish_Accessibility'}
8c7cf3d7-3ab9-4cb4-99bf-016cbbd4914d,Mechanical ventilation systems must be commissioned to provide adequate ventilation.,Mechanical ventilation systems must be commissioned to provide adequate ventilation .,B-quality B-object I-object O O B-quality I-quality I-quality I-quality I-quality O,{'ID': '180_UK_DocF_V1_Ventilation'}
3322ab9c-4c2b-49af-9bf5-74e0efec08d1,The water system shall withstand internal excess pressure of at least 1 000 kilopascals.,The water system shall withstand internal excess pressure of at least 1 000 kilopascals .,O B-object I-object O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '65_Finnish_Health-WaterAndSewerage'}
9ff8b8fd-5361-4c3d-9a7e-7459276c8df7,The dwelling fabric energy efficiency rate must not exceed the individual dwellings target fabric energy efficiency rate.,The dwelling fabric energy efficiency rate must not exceed the individual dwellings target fabric energy efficiency rate .,O B-property I-property I-property I-property I-property O O O O B-quality B-object B-property I-property I-property I-property I-property O,{'ID': '66_UK_DocL_V1_ConsrvationOfFuelAndPower'}
e20c760b-a97f-4309-b96a-bcec7cc52b39,Water must be able to drain off the roof without causing damage to the building.,Water must be able to drain off the roof without causing damage to the building .,B-object O O O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '102_Finnish_Health-Humidity'}
7a6635fc-c464-4d61-8ef1-2fdbf13bb9e7,"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U_d values), which is often greater than the area of the roof opening.","U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight ( U_d values ) , which is often greater than the area of the roof opening .",B-property O B-object O B-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '140_UK_DocM_V2_AccessAndUseOfBuildings'}
