object,property,quality,value
building,height,new,one
dwelling,width,mechanical,two
doors,area,existing,2
dwellings,wide,installed,10
buildings,U-values,external,900mm
system,target primary energy rate,designed,25
insulation,target emission rate,accessible,five
parking spaces,tread,other,0.07
windows,riser,safe,"1,500 millimetres"
walls,floor area,continuous,300mm
it,speed,associated,800 millimetres
stairs,thick,vertical,One
door,building primary energy rate,insulated,1
space,building emission rate,calculated,two years
ventilation,dwelling primary energy rate,replaced,60
people,CO2 emission factor,wheelchair-accessible,900 millimetres
ventilation systems,dwelling emission rate,individual,28 metres
roof,dwelling fabric energy efficiency rate,relevant,1800mm
controls,U-value,effective,three
rooflights,edges,suitable,2m
terminals,category,open,50
window,dimensions,covered,50mm
steps,primary energy factor,large,400mm
premises,gradient,draught-proofed,01:20:00
handrail,cost,horizontal,500 millimetres
areas,target fabric energy efficiency rate,outdoor,proportion
means,number,Mechanical,1000m2
pipework,heat loss,internal,0.7 metres
ties,long,same,3
provision,temperature,natural,4
exit,surfaces,used,1100mm
wall,both sides,combined,100 millimetres
ventilation system,location,major,100mm
cable routes,rise,installing,25mm
information,level difference,any,40
fan,class,whole,220 millimetres
air flow,distance,principal,50 millimetres
water system,depth,indoor,150m2
access route,clear width,similar,0.3
approach route,total cost,access,600mm
bedrooms,total floor area,All,"1,500  millimetres"
glazing,performance,constructed,180 millimetres
boiler,energy performance,variable,270 millimetres
its,ventilation rate,equivalent,300 millimetres
roof windows,gradients,recorded,9 metres
lift,equivalent area,located,160 millimetres
parts,flow rate,free,"1,200 millimetres"
entrance,efficiencies,portable,0.1m2
area,rated output,unisex,1400mm
Provision,construction,minimum,15 degrees
ducts,value,each,90
barrier,primary energy,for entering a dwelling,9mm
background ventilators,one side,smaller,20 litres per second
floor,protective part,clear,3m
systems,design,step-free,20C
Consideration,total number of ventilators,reduced,230mm
cube,thickness,convenient,650mm
People,high,exposed,90mm
approach,efficiency,wheelchair adaptable,one per 100m2
openings,CO2 emissions,given to the building control body,65mm
users,results,manual,0.15m/s
bedroom,feasibility of installing high-efficiency alternative systems,appropriate,75 light source lumens per circuit-watt
service pipes,room temperature,completed,2.5 ties/m2
building control body,extract air categories,alternative accessible,450mm
structure,sections,insulated at ceiling level,16/01/2023 00:00
car park,slope,acceptable,4
renovation,level differences,effective controls,13l/s
they,categories,calculated based on a horizontal position,200 m2
lighting,tie force,Vertical,four
Wheelchair users,going,designed and constructed,0.15
entrances,dimension,between floor levels,180kW
spaces,impact,set to achieve the desired continuous flow rate,0.7
attic,facade area,mounted,500kW
facade,steps,secondary,30
panel,domestic hot water circulation heat loss,single,100
room,reference value,glass,30m2
crawl space,energy consumption,maximised,0.055555556
heating appliance,air leakage rate figure,Reasonable,twice the rise plus the going (2R G)
storeys,design value,rebalanced,between 550mm and 700mm
element,drop,shown to meet the required standard,10 litres per second per person
notice,air flow,primary,6m
seating area,diameter,necessary,280mm
Windows,spread of fire,ambulant,190  millimetres
fans,opening,capable of opening outwards,250 millimetres
work,service life,reverted to domestic use,ten millimetres
free area,pitch,installed in the ground,0.9 metres
requirement,use,total,three metres
Doors,presence,restrict the spread of fire and smoke,one metre
heating system,size,provide safe evacuation,six metres
pipes,surface,facilitate rescue and extinguishing measures,30% load
access routes,deep,planned,23C
water heater,rate of heat release,smoke extraction,Five ventilators
pumping station,automatic flow adjustment,automatic,150mm
duct,luminous efficacy,wheelchair accessible,20
ramps,opening angle,shown to comply with the energy efficiency requirements,25W/m2
water,ventilation,wired,1 in 40
heat emitters,exceptional circumstances,sufficiently spacious,100 litres
sanitary facilities,total flow rate,suitable for their purpose,300 litres
heating systems,proportion,for motor vehicles,1m3/s
their,energy efficiency measures,with visual impairment,0.2
electric vehicle charge point,visual contrast,measured,m3/(hm2) at 50Pa
report,ventilation provision,irrespective of the storey on which the dwelling is located,20mm
System controls,travel distance,sufficient,0.052083333
floors,specification,second,10m
index terminal,that,appropriately sized,0.05
doorset,air extract rate,average,5m
Drawings,air flow rate,thermally insulated,900-1000mm
roofs,Signs,treated as a dwelling,1m2
kitchens,seasonal energy efficiency ratio,full,400kg
rooflight-and-kerb assemblies,rated speed,made and assembled so as to be reasonably airtight,3.3m
cavity closers,shape,openable,850-1000mm
staircases,access,powered,three seconds
Systems,sales counter,business,0.3W/m2
district heat network,heating plant emission rate,provided,40 degrees Celsius
flight,part,in a single location,600kg/m3
Water,air flow rates,public,E
Ventilation,Air flow rates,tight,2.2 metres
landings,reception,met,600 millimetres
habitable room,number of appliances,operate safely,600 x 600 millimetres
sign,air flow resistance,separate-sex,8 per cent (1:12.5)
waterproofing,emission rate,Modular,60 persons
