example_id,content,metadata,tagged_sentence,relation_type,e1_tag,e2_tag
082c7ed9-3579-48c2-a0d2-076f1edd647c,"Each of the two sections of the centrally hinged window should be assessed as a single side, bottom or top hung window.",{'ID': '112_UK_DocO_Overheating'},"Each of the <e1>two</e1> <e2>sections</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal,value,property
0da52584-1b37-48b5-840f-3795ae695275,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,{'ID': '119_UK_DocM_V2_AccessAndUseOfBuildings'},the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>two</e1> <e2>doors</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal,value,object
0da52584-1b37-48b5-840f-3795ae695275,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,{'ID': '119_UK_DocM_V2_AccessAndUseOfBuildings'},the minimum clear dimensions of the platform are: 1100mm wide and <e1>1400mm</e1> <e2>deep</e2> where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal,value,property
0da52584-1b37-48b5-840f-3795ae695275,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,{'ID': '119_UK_DocM_V2_AccessAndUseOfBuildings'},the minimum clear dimensions of the platform are: <e1>1100mm</e1> <e2>wide</e2> and 1400mm deep where two doors are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal,value,property
20518e80-6f7e-457f-8c5a-59fa4c0eb324,"When calculating the heat loss for a buildings design solution, the design value shall be used as the value of the air leakage rate figure for the building envelope.",{'ID': '137_Finnish_EnergyEfficiency'},"When calculating the heat loss for a buildings design solution, the <e1>design value</e1> shall be used as the value of the <e2>air leakage rate figure</e2> for the building envelope.",equal,property,property
208b093d-361f-4aec-819d-4abca4e72c68,"in an evacuation area where the maximum number of occupants is 60, the second exit may be no less than 900 millimetres in width.",{'ID': '216_Finnish_FireSafety'},"in an evacuation area where the <e1>maximum number of occupants</e1> is <e2>60</e2>, the second exit may be no less than 900 millimetres in width.",equal,property,value
2633c957-07b4-4caa-a9d6-5acbac16b0b0,NOTE: Linear interpolation should be used to determine efficiencies between manufacturers declared efficiencies at 30 and 100 load.,{'ID': '245_UK_DocM_V2_AccessAndUseOfBuildings'},NOTE: Linear interpolation should be used to determine efficiencies between manufacturers declared efficiencies at 30 and <e1>100</e1> <e2>load</e2>.,equal,value,property
2afa8bba-b5ad-4e12-bc27-4beea3fd09b2,The normal relationship between the dimensions of the rise and going is: twice the rise plus the going (2R G) equals between 550mm and 700mm.,{'ID': '19_UK_DocK_ProtectionFromFalling'},The normal relationship between the <e1>dimensions</e1> of the rise and going is: <e2>twice the rise plus the going (2R G)</e2> equals between 550mm and 700mm.,equal,property,value
2afa8bba-b5ad-4e12-bc27-4beea3fd09b2,The normal relationship between the dimensions of the rise and going is: twice the rise plus the going (2R G) equals between 550mm and 700mm.,{'ID': '19_UK_DocK_ProtectionFromFalling'},The normal relationship between the dimensions of the rise and going is: <e1>twice the rise plus the going (2R G)</e1> equals <e2>between 550mm and 700mm</e2>.,equal,value,value
2cc3d5b0-d3b4-45f2-a00d-838fd3f9abbb,"There should be a supply rate, in the absence of tobacco smoke or other excessive pollutants, of 10 litres per second per person.",{'ID': '114_UK_DocF_V2_Ventilation'},"There should be a <e1>supply rate</e1>, in the absence of tobacco smoke or other excessive pollutants, of <e2>10 litres per second per person</e2>.",equal,object,value
2f8d4247-e53b-49ae-bd26-c4f1765eaee8,"Extract air of categories 2, 3 and 4 shall not be used as recirculation air.",{'ID': '73_Finnish_Health-IndoorClimateAndVentilation'},"Extract air of <e1>categories</e1> <e2>2</e2>, 3 and 4 shall not be used as recirculation air.",equal,property,value
2f8d4247-e53b-49ae-bd26-c4f1765eaee8,"Extract air of categories 2, 3 and 4 shall not be used as recirculation air.",{'ID': '73_Finnish_Health-IndoorClimateAndVentilation'},"Extract air of <e1>categories</e1> 2, 3 and <e2>4</e2> shall not be used as recirculation air.",equal,property,value
3121fe90-27db-405e-a42a-df3cd22ee176,"Where necessary, two handrails, one above the other, must be installed in order to take into account children and users of wheelchairs.",{'ID': '55_Finnish_SafetyOfUse'},"Where necessary, <e1>two </e1><e2>handrails</e2>, one above the other, must be installed in order to take into account children and users of wheelchairs.",equal,value,object
34a524ec-6994-426f-86af-78788fd34a80,"Between the locking points for the mortice lock and surface-mounted rim lock, the distance should be 400-600mm.",{'ID': '36_UK_DocQ_Security_Dwellings'},"Between the locking points for the mortice lock and surface-mounted rim lock, the <e1>distance</e1> should be <e2>400-600mm</e2>.",equal,property,value
3724fd47-22f7-432c-81a2-1abcb95c7df2,"The total number of ventilators installed in a dwellings habitable rooms and kitchens should be no fewer than five, except in one bedroom properties, where there should be no fewer than four.",{'ID': '96_UK_DocF_V1_Ventilation'},"The total number of ventilators installed in a dwellings habitable rooms and kitchens should be no fewer than five, except in <e1>one</e1> <e2>bedroom</e2> properties, where there should be no fewer than four.",equal,value,object
389c960b-525d-4f2e-9a2c-1805eb2dc20d,The full area under a stair that forms part of the storage provision should be counted as 1m2.,{'ID': '79_UK_DocM_V1_AccessAndUseOfBuildings'},The full <e1>area</e1> under a stair that forms part of the storage provision should be counted as <e2>1m2</e2>.,equal,property,value
4abb3268-3ba6-47e8-a8b7-4676dbaa9a16,"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear headroom of 2m, except in doorways.",{'ID': '28_UK_DocK_ProtectionFromFalling'},"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear <e1>headroom</e1> of <e2>2m</e2>, except in doorways.",equal,property,value
4e8c5c50-44af-48f6-b959-e6f9b31afa1e,"If the planned time of use of a modular or portable building in a single location is less than two years, the only practical heating technology may be electric resistance heating.",{'ID': '89_UK_DocM_V2_AccessAndUseOfBuildings'},"If the planned time of use of a modular or portable building in a single location is less than two years, the only practical <e1>heating technology</e1> may be <e2>electric resistance heating</e2>.",equal,object,object
511c1a7f-08b9-48ec-aea6-9b749fdf31a1,"A non-residential building shall, considering the intended use and functional units of the building and distances in the building, have an adequate number of appropriately located toilet facilities which are suitable for users of wheelchairs and walking frames with wheels.",{'ID': '51_Finnish_Accessibility'},"A non-residential building shall, considering the intended use and functional units of the building and distances in the building, have an <e1>adequate number</e1> of appropriately located <e2>toilet facilities</e2> which are suitable for users of wheelchairs and walking frames with wheels.",equal,value,object
5e51b653-449e-4d00-be19-0e20ecff5c49,The default condition should be off.,{'ID': '213_UK_DocM_V2_AccessAndUseOfBuildings'},The default <e1>condition</e1> should be <e2>off</e2>.,equal,property,value
5fa7daca-cb50-4397-a736-617e52d30187,"If efficiencies at below 30% are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load.",{'ID': '246_UK_DocM_V2_AccessAndUseOfBuildings'},"If <e1>efficiencies</e1> at below 30% are required and unavailable, the <e2>boiler efficiency</e2> may be taken as equal to that at 30% load.",equal,property,property
5fa7daca-cb50-4397-a736-617e52d30187,"If efficiencies at below 30% are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load.",{'ID': '246_UK_DocM_V2_AccessAndUseOfBuildings'},"If efficiencies at below 30% are required and unavailable, the <e1>boiler efficiency</e1> may be taken as equal to that at <e2>30% load</e2>.",equal,property,value
