example_id,content,metadata,tagged_sentence,relation_type,e1_tag,e2_tag
009e12eb-db83-485c-9ffc-e1f462251109,Each air terminal should have a free area of at least 90 of the free area of its associated duct.,{'ID': '115_UK_DocF_V1_Ventilation'},Each air terminal should have a <e1>free area</e1> of at least <e2>90</e2> of the free area of its associated duct.,greater-equal,object,value
01d924bf-4a69-4eb8-b05e-ce993aee3d45,Perimeter insulation should be continuous and have a minimum thickness of 25mm.,{'ID': '135_UK_DocL_V1_ConsrvationOfFuelAndPower'},Perimeter insulation should be continuous and have a minimum <e1>thickness</e1> of <e2>25mm</e2>.,greater-equal,property,value
0262f6e5-21bc-4312-9388-8ac93b79416d,The minimum full load EER of the absorption chillers should be no worse than 0.7.,{'ID': '285_UK_DocM_V2_AccessAndUseOfBuildings'},The minimum full <e1>load EER</e1> of the absorption chillers should be no worse than <e2>0.7</e2>.,greater-equal,property,value
09b2a395-5293-4b7d-82d4-5312482d59e9,"Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least 300mm away from any projecting corner.",{'ID': '46_UK_DocM_V1_AccessAndUseOfBuildings'},"Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least <e1>300mm</e1> <e2>away</e2> from any projecting corner.",greater-equal,value,property
0ea1e862-2434-4fc8-97a2-b076c992ef20,"The width of an exit must be at least 1,200 millimetres and its free height must be at least 2,100 millimetres.",{'ID': '214_Finnish_FireSafety'},"The width of an exit must be at least 1,200 millimetres and its free <e1>height</e1> must be at least <e2>2,100 millimetres</e2>.",greater-equal,property,value
0ea1e862-2434-4fc8-97a2-b076c992ef20,"The width of an exit must be at least 1,200 millimetres and its free height must be at least 2,100 millimetres.",{'ID': '214_Finnish_FireSafety'},"The <e1>width</e1> of an exit must be at least <e2>1,200 millimetres</e2> and its free height must be at least 2,100 millimetres.",greater-equal,property,value
0f67dad7-6df9-444b-8e72-f447668e3fde,"Where sanitary facilities are wheelchair accessible, WC pans should be a minimum of 400mm high.",{'ID': '104_UK_DocM_V1_AccessAndUseOfBuildings'},"Where sanitary facilities are wheelchair accessible, WC pans should be a minimum of <e1>400mm</e1> <e2>high</e2>.",greater-equal,value,property
113b8bf8-1856-45f5-a54b-d65ef100b437,"If a gas-fired combination boiler is installed in an existing dwelling, at least one of the following energy efficiency measures, appropriate to the system, should be installed.",{'ID': '262_UK_DocL_V1_ConsrvationOfFuelAndPower'},"If a gas-fired combination boiler is installed in an existing dwelling, at least <e1>one</e1> of the following <e2>energy efficiency measures</e2>, appropriate to the system, should be installed.",greater-equal,value,property
164122ed-c7ac-4cf8-8a54-3d56c144f78d,"In general, the findings indicate that there should be at least the same number of WCs (for women) as urinals (for men) and for some building types, e.g. large retail buildings, at least twice as many.",{'ID': '172_UK_DocM_V2_AccessAndUseOfBuildings'},"In general, the findings indicate that there should be at least the same number of <e1>WCs (for women)</e1> as <e2>urinals (for men)</e2> and for some building types, e.g. large retail buildings, at least twice as many.",greater-equal,object,object
19478a13-7457-4dd3-a394-744f826db7b0,"The handle to at least one window in the principal living area is 700-1000mm above floor level, unless fitted with a remote opening device that is within this height range.",{'ID': '127_UK_DocM_V1_AccessAndUseOfBuildings'},"The handle to at least <e1>one</e1> <e2>window</e2> in the principal living area is 700-1000mm above floor level, unless fitted with a remote opening device that is within this height range.",greater-equal,value,object
203faa23-7b71-47c9-a6e5-2333ac45389e,"The riser of the indoor steps of dwelling units and living quarters  may  be  no  more  than  190  millimetres,  and  the  tread  must  be  no  less  than  250 millimetres.",{'ID': '22_Finnish_SafetyOfUse'},"The riser of the indoor steps of dwelling units and living quarters may be no more than 190 millimetres, and the <e1>tread</e1> must be no less than <e2>250 millimetres</e2>.",greater-equal,property,value
29232335-402c-4ed9-af74-fd093ac22e28,The natural or mechanical ventilation system of a building shall be strong and its air-tightness shall be at least class B.,{'ID': '95_Finnish_Health-IndoorClimateAndVentilation'},The natural or mechanical ventilation system of a building shall be strong and its air-tightness shall be at least <e1>class</e1> <e2>B</e2>.,greater-equal,property,value
2ca092ec-4425-4552-a389-fd0dadfbd154,NOTE: A floor level with a gradient of 1:20 or steeper should be designed as a ramp.,{'ID': '54_UK_DocK_ProtectionFromFalling'},NOTE: A floor level with a <e1>gradient</e1> of <e2>1:20</e2> or steeper should be designed as a ramp.,greater-equal,property,value
2ff58135-b89d-40d1-a145-51aad9e5a942,"The landing in front of the outside door shall be at least 1,500 millimetres wide and at least 1,500 millimetres long.",{'ID': '16_Finnish_Accessibility'},"The landing in front of the outside door shall be at least <e1>1,500 millimetres</e1> <e2>wide</e2> and at least 1,500 millimetres long.",greater-equal,value,property
