example_id,content,metadata,tagged_sentence,relation_type,e1_tag,e2_tag
05864826-21ef-4ae7-9af8-2aaeffc7267a,Modular and portable buildings with a planned service life of more than two years but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,{'ID': '83_UK_DocM_V2_AccessAndUseOfBuildings'},Modular and portable buildings with a planned <e1>service life</e1> of more than <e2>two years</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater,property,value
079db365-cfed-474e-9329-25349ac0db4a,"In connection with the door of an outside space of an individual dwelling the level difference outside the door may be more than 20 millimetres if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",{'ID': '21_Finnish_Accessibility'},"In connection with the door of an outside space of an individual dwelling the <e1>level difference</e1> outside the door may be more than <e2>20 millimetres</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater,property,value
11f2902d-29c2-474e-97d0-628a2a97a666,"Level differences of over 500 millimetres must be equipped with an appropriate safety barrier, railing or handrail.",{'ID': '109_Finnish_SafetyOfUse'},"<e1>Level differences</e1> of over <e2>500 millimetres</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater,property,value
12e545d1-64f4-45c9-a520-5b8a003eba0a,"If the dwelling has more than one exposed facade, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",{'ID': '85_UK_DocF_V1_Ventilation'},"If the dwelling has more than <e1>one</e1> exposed <e2>facade</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater,value,object
1e3d8e3a-93fd-47e2-833e-d7f36c901c77,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,{'ID': '131_UK_DocM_V1_AccessAndUseOfBuildings'},Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>casings</e1> above <e2>1800mm</e2> may be discounted when measuring clear width.,greater,object,value
1e3d8e3a-93fd-47e2-833e-d7f36c901c77,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,{'ID': '131_UK_DocM_V1_AccessAndUseOfBuildings'},Skirtings totalling up to 50mm total thickness and shallow projecting <e1>ducts</e1> or casings above <e2>1800mm</e2> may be discounted when measuring clear width.,greater,object,value
23cff3c3-1251-4c5f-9fd9-8f52d25eb494,Gasfired boilers and multi-stage oilfired boilers with an output of more than 500kW should have fully modulating burner controls.,{'ID': '252_UK_DocM_V2_AccessAndUseOfBuildings'},Gasfired boilers and multi-stage oilfired boilers with an <e1>output</e1> of more than <e2>500kW</e2> should have fully modulating burner controls.,greater,property,value
29c431ee-ea93-491d-ab13-06418d93c488,"If luminous efficacy is greater than 75 light source lumens per circuit-watt, manual control is acceptable.",{'ID': '338_UK_DocL_V1_ConsrvationOfFuelAndPower'},"If <e1>luminous efficacy</e1> is greater than <e2>75 light source lumens per circuit-watt</e2>, manual control is acceptable.",greater,property,value
302c413e-fefd-47f1-914f-0dc787e4a761,"Where illuminance on surfaces is greater than 200 lux, a difference in light reflectance value should be a minimum of 20 points.",{'ID': '29_UK_DocM_V2_AccessAndUseOfBuildings'},"Where <e1>illuminance</e1> on surfaces is greater than <e2>200 lux</e2>, a difference in light reflectance value should be a minimum of 20 points.",greater,property,value
35cacecf-06dc-4b0f-aadb-db2ee05518c7,The area of windows and roof windows (but excluding display windows) within the area served exceeds 40 of the facade area.,{'ID': '495_UK_DocM_V2_AccessAndUseOfBuildings'},The area of windows and roof windows (but excluding display windows) <e1>within the area served</e1> exceeds <e2>40</e2> of the facade area.,greater,quality,value
