example_id,content,metadata,tagged_sentence,relation_type,e1_tag,e2_tag
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610,The smaller dimension of each panel which can be either the width or height of the panel should be 230mm or less.,{'ID': '33_UK_DocQ_Security_Dwellings'},The smaller <e1>dimension</e1> of each panel which can be either the width or height of the panel should be <e2>230mm</e2> or less.,less-equal,property,value
01008f69-874b-443e-bcb2-2f5630280049,"If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living, the riser may be no more than 220 millimetres and the tread must be no less than 220 millimetres.",{'ID': '24_Finnish_SafetyOfUse'},"If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living, the <e1>riser</e1> may be no more than <e2>220 millimetres</e2> and the tread must be no less than 220 millimetres.",less-equal,property,value
0a7ff0c7-c5f9-4069-9d7e-2bfd6c4871d3,The floor area of the extension does not exceed 30m2.,{'ID': '13_UK_DocL_V1_ConsrvationOfFuelAndPower'},The <e1>floor area</e1> of the extension does not exceed <e2>30m2</e2>.,less-equal,property,value
0aaf71f0-a482-4a72-a407-0d6db79c7f6f,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey.",{'ID': '69_Finnish_FireSafety'},"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than <e1>50 m2</e1> of non-fire-compartmented <e2>areas</e2> that essentially relate to the business of the building may be located on the level of second storey.",less-equal,value,object
103f99ad-884b-4bae-9f22-ccb1c5bc3d26,"In an open garage of no more than five storeys, the maximum area may be used as the surface area of the storeys, even though the driveways between the various storeys are combined.",{'ID': '110_Finnish_FireSafety'},"In an open garage of no more than <e1>five</e1> <e2>storeys</e2>, the maximum area may be used as the surface area of the storeys, even though the driveways between the various storeys are combined.",less-equal,value,object
1913381b-a2cc-496e-9168-82ccf2a01d50,"In connection with repair and alteration work, the heat emitters connected to the domestic hot water ring duct may be replaced so that the heat emission capacity of the heat emitters to be installed does not exceed 200 Watts per room.",{'ID': '67_Finnish_Health-WaterAndSewerage'},"In connection with repair and alteration work, the heat emitters connected to the domestic hot water ring duct may be replaced so that the <e1>heat emission capacity</e1> of the heat emitters to be installed does not exceed <e2>200 Watts per room</e2>.",less-equal,property,value
1e3d8e3a-93fd-47e2-833e-d7f36c901c77,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,{'ID': '131_UK_DocM_V1_AccessAndUseOfBuildings'},Skirtings totalling up to <e1>50mm</e1> <e2>total thickness</e2> and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,less-equal,value,property
203faa23-7b71-47c9-a6e5-2333ac45389e,"The riser of the indoor steps of dwelling units and living quarters  may  be  no  more  than  190  millimetres,  and  the  tread  must  be  no  less  than  250 millimetres.",{'ID': '22_Finnish_SafetyOfUse'},"The <e1>riser</e1> of the indoor steps of dwelling units and living quarters may be no more than <e2>190 millimetres</e2>, and the tread must be no less than 250 millimetres.",less-equal,property,value
2f815a08-db3c-48a6-b248-d69aeac870ee,"the vertical travel distance is: a. not more than 2m, where there is no liftway enclosure and no floor penetration; b. more than 2m, where there is a liftway enclosure.",{'ID': '173_UK_DocM_V2_AccessAndUseOfBuildings'},"the vertical <e1>travel distance</e1> is: a. not more than <e2>2m</e2>, where there is no liftway enclosure and no floor penetration; b. more than 2m, where there is a liftway enclosure.",less-equal,property,value
2fad9e0f-fa0d-4a6b-9c63-152ef8828c4d,An upstand built on site should not exceed a U-value of 0.35W/(m2K).,{'ID': '115_UK_DocL_V1_ConsrvationOfFuelAndPower'},An upstand built on site should not exceed a <e1>U-value</e1> of <e2>0.35W/(m2K)</e2>.,less-equal,property,value
36650de0-ef3c-4fd1-8199-f47c0e576076,the rated speed of the platform does not exceed 0.15m/s.,{'ID': '183_UK_DocM_V2_AccessAndUseOfBuildings'},the <e1>rated speed</e1> of the platform does not exceed <e2>0.15m/s</e2>.,less-equal,property,value
38cd3221-7fc9-4462-be20-78b16a4309d3,The area of openings in the newly created dwelling should not be more than 25 of the total floor area.,{'ID': '490_UK_DocL_V1_ConsrvationOfFuelAndPower'},The <e1>area</e1> of openings in the newly created dwelling should not be more than <e2>25</e2> of the total floor area.,less-equal,property,value
3c0a8ccb-d813-40fb-b69b-88250d3bc4ec,These fittings should not exceed a centre pane U-value of 1.2W/(m2K).,{'ID': '118_UK_DocL_V1_ConsrvationOfFuelAndPower'},These fittings should not exceed a <e1>centre pane U-value</e1> of <e2>1.2W/(m2K)</e2>.,less-equal,property,value
3c28dbd6-8a3d-4ede-ae08-89e4b5d69d60,The approach route is a minimum of 900mm wide with a maximum cross fall of 1 in 40.,{'ID': '16_UK_DocM_V1_AccessAndUseOfBuildings'},The approach route is a minimum of 900mm wide with a maximum <e1>cross fall</e1> of <e2>1 in 40</e2>.,less-equal,property,value
3ca5cb38-b90b-4449-ba14-4268866df8e1,The water heater is close to the draw-off points and has a storage capacity no greater than 100 litres.,{'ID': '463_UK_DocM_V2_AccessAndUseOfBuildings'},The water heater is close to the draw-off points and has a <e1>storage capacity</e1> no greater than <e2>100 litres</e2>.,less-equal,property,value
3e9fc57e-bc69-4f17-a056-dd7767afa9bb,"If the height of the building does not exceed 28 metres, access to the attic fire compartments from the outside shall be required.",{'ID': '241_Finnish_FireSafety'},"If the <e1>height</e1> of the building does not exceed <e2>28 metres</e2>, access to the attic fire compartments from the outside shall be required.",less-equal,property,value
40b40b1b-d1b1-49d8-b9b7-13c5845a169d,The structure of the control appliance of the plumbing fixture shall be such that its surface temperature does not arise above 40 degrees Celsius.,{'ID': '71_Finnish_Health-WaterAndSewerage'},The structure of the control appliance of the plumbing fixture shall be such that its <e1>surface temperature</e1> does not arise above <e2>40 degrees Celsius</e2>.,less-equal,property,value
43e26628-8b62-4cc6-91e2-284335df1564,"In  rooms  used  for  sleeping  or  rest,  the  one-hour  A-weighted  equivalent continuous sound level of impulsive, narrow-band or low-frequency noise may not exceed 25 decibels.",{'ID': '17_Finnish_AcousticEnvironment'},"In rooms used for sleeping or rest, the <e1>one-hour A-weighted equivalent continuous sound level of impulsive, narrow-band or low-frequency noise</e1> may not exceed <e2>25 decibels</e2>.",less-equal,property,value
45338082-ca66-418b-8fe1-8f2be926f330,A cube of no more than 100 millimetres may pass between the stair steps.,{'ID': '52_Finnish_SafetyOfUse'},A <e1>cube</e1> of no more than <e2>100 millimetres</e2> may pass between the stair steps.,less-equal,object,value
