example_id,content,metadata,tagged_sentence,relation_type,e1_tag,e2_tag
13a437c0-918c-47f2-85bd-b80dd69eb027,"There are no limits on the design of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",{'ID': '138_UK_DocM_V2_AccessAndUseOfBuildings'},"There are no <e1>limits</e1> on the <e2>design</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of,property,property
26980508-105c-49db-8595-bf001a48d757,"In rooms with no fixed seats or furnishings, the number of persons shall be calculated to be two persons per square metre.",{'ID': '103_Finnish_SafetyOfUse'},"In <e1>rooms</e1> with no fixed <e2>seats</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of,object,object
26980508-105c-49db-8595-bf001a48d757,"In rooms with no fixed seats or furnishings, the number of persons shall be calculated to be two persons per square metre.",{'ID': '103_Finnish_SafetyOfUse'},"In <e1>rooms</e1> with no fixed seats or <e2>furnishings</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of,object,object
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78,"In a room with no openable window, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",{'ID': '83_UK_DocF_V1_Ventilation'},"In a <e1>room</e1> with no openable <e2>window</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of,object,object
72d7716f-7e3e-442c-9e42-14d4b19e18e3,A district heat network that is being connected to a new building should not have a CO2 emission factor for delivered heat to the building which is greater than 0.350kgCO2/kWh.,{'ID': '336_UK_DocM_V2_AccessAndUseOfBuildings'},A <e1>district heat network</e1> that is being connected to a new building should not have a <e2>CO2 emission factor</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of,object,property
72e7ed0c-9e73-46b2-a919-20f3fea337fd,"An area with a potentially flammable or explosive atmosphere must not be located in a building where there are dwellings, accommodation premises, institutions or assembly and business premises.",{'ID': '56_Finnish_FireSafety'},"An <e1>area</e1> with a potentially flammable or explosive atmosphere must not be located in a <e2>building</e2> where there are dwellings, accommodation premises, institutions or assembly and business premises.",not-part-of,object,object
793cb939-b3d9-46eb-ae65-71a4d5c8031b,Where the parking is within the private curtilage of the dwelling (but not within a carport or garage) at least one space is a standard parking bay that can be widened to 3.3m.,{'ID': '43_UK_DocM_V1_AccessAndUseOfBuildings'},Where the <e1>parking</e1> is within the private curtilage of the dwelling (but not within a carport or <e2>garage</e2>) at least one space is a standard parking bay that can be widened to 3.3m.,not-part-of,object,object
7faab614-f3bc-41b4-9dbf-0ff2b3ea56f3,"Where the cost of installing only cable routes is more than 7% of the total cost of the major renovation, there is no requirement to install either electric vehicle charge points or cable routes.",{'ID': '53_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},"Where the cost of installing only cable routes is more than 7% of the total cost of the major <e1>renovation</e1>, there is no <e2>requirement</e2> to install either electric vehicle charge points or cable routes.",not-part-of,object,object
c2e0629d-350b-45b8-9e9e-d58be1780f12,"If the basement has no bedrooms, it should be treated as having one bedroom when calculating the ventilation required for the purposes of meeting the ventilation standards.",{'ID': '73_UK_DocF_V1_Ventilation'},"If the <e1>basement</e1> has no <e2>bedrooms</e2>, it should be treated as having one bedroom when calculating the ventilation required for the purposes of meeting the ventilation standards.",not-part-of,object,object
e15250c0-1279-4d29-a1ec-31560b045007,Extinguishing routes of basement storeys must not be connected to fire and smoke-proof exits.,{'ID': '244_Finnish_FireSafety'},<e1>Extinguishing routes</e1> of basement storeys must not be connected to fire and smoke-proof <e2>exits</e2>.,not-part-of,object,object
