example_id,tagged_sentence,relation_type
082c7ed9-3579-48c2-a0d2-076f1edd647c_0,"Each of the <e1>0.7 metres</e1> <e2>service</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_1,"Each of the <e1>1,500 millimetres</e1> <e2>primary energy factor</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_2,"Each of the <e1>2.4m</e1> <e2>entry</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_3,"Each of the <e1>90mm</e1> <e2>above</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_4,"Each of the <e1>50</e1> <e2>fire resistance time</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_5,"Each of the <e1>six metres</e1> <e2>results</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_6,"Each of the <e1>50 m</e1> <e2>minimum value</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_7,"Each of the <e1>m3/(hm2) at 50Pa</e1> <e2>heat</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_8,"Each of the <e1>E 15</e1> <e2>steps</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_9,"Each of the <e1>30</e1> <e2>air tightness</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_10,"Each of the <e1>0.05</e1> <e2>total capital cost</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
082c7ed9-3579-48c2-a0d2-076f1edd647c_11,"Each of the <e1>0.7</e1> <e2>SEER</e2> of the centrally hinged window should be assessed as a single side, bottom or top hung window.",equal
0da52584-1b37-48b5-840f-3795ae695275_0,"the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>2,100 millimetres</e1> <e2>Window handles</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.",equal
0da52584-1b37-48b5-840f-3795ae695275_1,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>one metre</e1> <e2>Heating systems</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal
0da52584-1b37-48b5-840f-3795ae695275_2,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>1 in 40</e1> <e2>open-plan space</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal
0da52584-1b37-48b5-840f-3795ae695275_3,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>70 kN</e1> <e2>ventilation fans</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal
0da52584-1b37-48b5-840f-3795ae695275_4,the minimum clear dimensions of the platform are: 1100mm wide and 1400mm deep where <e1>0.7W/(m2K)</e1> <e2>Manual controls</e2> are located at 90Â° relative to each other and where the lifting platform is enclosed or where provision is being made for an accompanied wheelchair user.,equal
