example_id,tagged_sentence,relation_type
009e12eb-db83-485c-9ffc-e1f462251109_0,Each air terminal should have a <e1>living quarters</e1> of at least <e2>70 kN</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_1,Each air terminal should have a <e1>gap</e1> of at least <e2>400kg</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_10,"Each air terminal should have a <e1>storm water sewers</e1> of at least <e2>1,200 MJ/m2</e2> of the free area of its associated duct.",greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_11,Each air terminal should have a <e1>filling alarm</e1> of at least <e2>850-1000mm</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_2,Each air terminal should have a <e1>restaurant</e1> of at least <e2>0.2</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_3,Each air terminal should have a <e1>building services</e1> of at least <e2>1400mm</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_4,Each air terminal should have a <e1>environment</e1> of at least <e2>0.35W/(m2K)</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_5,Each air terminal should have a <e1>Roofs</e1> of at least <e2>0.3W/m2</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_6,Each air terminal should have a <e1>toilet washroom</e1> of at least <e2>9 metres</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_7,Each air terminal should have a <e1>air gap</e1> of at least <e2>10</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_8,Each air terminal should have a <e1>sheathing board</e1> of at least <e2>190  millimetres</e2> of the free area of its associated duct.,greater-equal
009e12eb-db83-485c-9ffc-e1f462251109_9,Each air terminal should have a <e1>premises</e1> of at least <e2>twice the rise plus the going (2R G)</e2> of the free area of its associated duct.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_0,Perimeter insulation should be continuous and have a minimum <e1>entry</e1> of <e2>500 millimetres</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_1,Perimeter insulation should be continuous and have a minimum <e1>measures</e1> of <e2>300 litres</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_10,Perimeter insulation should be continuous and have a minimum <e1>agreed level of provision</e1> of <e2>0.055555556</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_11,Perimeter insulation should be continuous and have a minimum <e1>parasitic energy use</e1> of <e2>half a metre</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_2,Perimeter insulation should be continuous and have a minimum <e1>heat gain</e1> of <e2>1.3 seconds</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_3,Perimeter insulation should be continuous and have a minimum <e1>directions</e1> of <e2>400mm</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_4,Perimeter insulation should be continuous and have a minimum <e1>gradient</e1> of <e2>20</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_5,Perimeter insulation should be continuous and have a minimum <e1>surface area</e1> of <e2>1800mm</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_6,"Perimeter insulation should be continuous and have a minimum <e1>thresholds</e1> of <e2>1,000 millimetres</e2>.",greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_7,Perimeter insulation should be continuous and have a minimum <e1>layers</e1> of <e2>20mm</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_8,Perimeter insulation should be continuous and have a minimum <e1>anthracite figure</e1> of <e2>0.9 metres</e2>.,greater-equal
01d924bf-4a69-4eb8-b05e-ce993aee3d45_9,Perimeter insulation should be continuous and have a minimum <e1>energy efficiency measures</e1> of <e2>two </e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_0,The minimum full <e1>total number of ventilators</e1> of the absorption chillers should be no worse than <e2>40 degrees Celsius</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_1,The minimum full <e1>floor  plate areas</e1> of the absorption chillers should be no worse than <e2>25W/m2</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_10,The minimum full <e1>vicinity</e1> of the absorption chillers should be no worse than <e2>1100mm</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_11,"The minimum full <e1>dwelling primary energy rate</e1> of the absorption chillers should be no worse than <e2>1,000 millimetres</e2>.",greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_2,The minimum full <e1>output</e1> of the absorption chillers should be no worse than <e2>100 millimetres</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_3,The minimum full <e1>installation</e1> of the absorption chillers should be no worse than <e2>2.4m</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_4,The minimum full <e1>sunken area</e1> of the absorption chillers should be no worse than <e2>0.35W/(m2K)</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_5,The minimum full <e1>going</e1> of the absorption chillers should be no worse than <e2>0.136kgCO2/kWh</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_6,The minimum full <e1>fire resistance time</e1> of the absorption chillers should be no worse than <e2>18 dm3/s</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_7,The minimum full <e1>energy efficiency</e1> of the absorption chillers should be no worse than <e2>0.055555556</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_8,The minimum full <e1>entry</e1> of the absorption chillers should be no worse than <e2>44mm</e2>.,greater-equal
0262f6e5-21bc-4312-9388-8ac93b79416d_9,The minimum full <e1>storage capacity</e1> of the absorption chillers should be no worse than <e2>600mm</e2>.,greater-equal
