example_id,tagged_sentence,relation_type
05864826-21ef-4ae7-9af8-2aaeffc7267a_0,Modular and portable buildings with a planned <e1>impact</e1> of more than <e2>two</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_1,Modular and portable buildings with a planned <e1>equivalent area</e1> of more than <e2>90mm</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_2,Modular and portable buildings with a planned <e1>Capacities</e1> of more than <e2>0.3</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_3,Modular and portable buildings with a planned <e1>minimum value</e1> of more than <e2>800 millimetres</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_4,Modular and portable buildings with a planned <e1>Ventilation</e1> of more than <e2>3.3m</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_5,Modular and portable buildings with a planned <e1>type and quality</e1> of more than <e2>500 millimetres</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_6,Modular and portable buildings with a planned <e1>thickness</e1> of more than <e2>190  millimetres</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_7,Modular and portable buildings with a planned <e1>energy consumption</e1> of more than <e2>200 millimetres</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_8,Modular and portable buildings with a planned <e1>room temperature</e1> of more than <e2>0.055555556</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_9,Modular and portable buildings with a planned <e1>target fabric energy efficiency rate</e1> of more than <e2>8 per cent (1:12.5)</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_10,Modular and portable buildings with a planned <e1>ventilation rate</e1> of more than <e2>0.06 m2</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
05864826-21ef-4ae7-9af8-2aaeffc7267a_11,Modular and portable buildings with a planned <e1>spread of fire</e1> of more than <e2>300 litres</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater
079db365-cfed-474e-9329-25349ac0db4a_0,"In connection with the door of an outside space of an individual dwelling the <e1>manufacturers declared efficiencies</e1> outside the door may be more than <e2>50</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_1,"In connection with the door of an outside space of an individual dwelling the <e1>surfaces</e1> outside the door may be more than <e2>0.052083333</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_2,"In connection with the door of an outside space of an individual dwelling the <e1>boiler type</e1> outside the door may be more than <e2>100 litres</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_3,"In connection with the door of an outside space of an individual dwelling the <e1>total flow rate</e1> outside the door may be more than <e2>adequate means</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_4,"In connection with the door of an outside space of an individual dwelling the <e1>travel distance</e1> outside the door may be more than <e2>900-1000mm</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_5,"In connection with the door of an outside space of an individual dwelling the <e1>building emission rate</e1> outside the door may be more than <e2>1.501kWhPE/kWh</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_6,"In connection with the door of an outside space of an individual dwelling the <e1>air extract rate</e1> outside the door may be more than <e2>5m</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_7,"In connection with the door of an outside space of an individual dwelling the <e1>air distribution</e1> outside the door may be more than <e2>230mm</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_8,"In connection with the door of an outside space of an individual dwelling the <e1>edges</e1> outside the door may be more than <e2>6m</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_9,"In connection with the door of an outside space of an individual dwelling the <e1>standards</e1> outside the door may be more than <e2>2.4m</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_10,"In connection with the door of an outside space of an individual dwelling the <e1>from the inside face of the wall</e1> outside the door may be more than <e2>three seconds</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
079db365-cfed-474e-9329-25349ac0db4a_11,"In connection with the door of an outside space of an individual dwelling the <e1>maximum number of occupants</e1> outside the door may be more than <e2>0.2</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_0,"<e1>CO2</e1> of over <e2>250 millimetres</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_1,"<e1>high</e1> of over <e2>100</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_2,"<e1>total extract air flow</e1> of over <e2>eight per cent</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_3,"<e1>energy efficiency measures</e1> of over <e2>15 degrees</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_4,"<e1>topography</e1> of over <e2>150m2</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_5,"<e1>standards</e1> of over <e2>0.052083333</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_6,"<e1>air extract rate</e1> of over <e2>0.15</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_7,"<e1>glare and reflections</e1> of over <e2>01:08:00</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_8,"<e1>fire performance</e1> of over <e2>1,200 millimetres</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_9,"<e1>control capabilities</e1> of over <e2>0.3</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_10,"<e1>installed generation capacity</e1> of over <e2>24 degrees Celsius</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
11f2902d-29c2-474e-97d0-628a2a97a666_11,"<e1>maximum capacity</e1> of over <e2>50 m</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_0,"If the dwelling has more than <e1>E 15</e1> exposed <e2>bathroom</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_1,"If the dwelling has more than <e1>160 millimetres</e1> exposed <e2>floor-to-wall junctions</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_2,"If the dwelling has more than <e1>850 millimetres</e1> exposed <e2>oven</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_3,"If the dwelling has more than <e1>220 millimetres</e1> exposed <e2>ramp</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_4,"If the dwelling has more than <e1>70 kN</e1> exposed <e2>commercial part</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_5,"If the dwelling has more than <e1>20mm</e1> exposed <e2>gas combination boiler</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_6,"If the dwelling has more than <e1>20 degrees Celsius</e1> exposed <e2>bedroom</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_7,"If the dwelling has more than <e1>10 kN</e1> exposed <e2>boom barriers</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_8,"If the dwelling has more than <e1>15</e1> exposed <e2>building's</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_9,"If the dwelling has more than <e1>20 millimetres</e1> exposed <e2>system for onsite electricity generation</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_10,"If the dwelling has more than <e1>1,500 millimetres</e1> exposed <e2>cavity closers</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
12e545d1-64f4-45c9-a520-5b8a003eba0a_11,"If the dwelling has more than <e1>0.15m/s</e1> exposed <e2>panel</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_0,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>Sewers</e1> above <e2>E</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_1,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>cavity wall</e1> above <e2>70 kN</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_2,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>fire compartments</e1> above <e2>21 C</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_3,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>Air flows</e1> above <e2>900-1000mm</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_4,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>skylights</e1> above <e2>four</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_5,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>ventilation  system</e1> above <e2>EI 15</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_6,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>shower room</e1> above <e2>400-600mm</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_7,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>materials</e1> above <e2>2m</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_8,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>Hot water pipework</e1> above <e2>56 metres</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_9,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>control appliance</e1> above <e2>9 metres</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_10,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>hot water ring duct</e1> above <e2>44mm</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_11,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>organic substances</e1> above <e2>25 decibels</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_0,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>rain-water</e1> or casings above <e2>400 millimetres</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_1,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>assembly areas</e1> or casings above <e2>20 millimetres</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_2,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>cooker</e1> or casings above <e2>30</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_3,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>Controls</e1> or casings above <e2>0.052083333</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_4,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>indoor steps</e1> or casings above <e2>100mm</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_5,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>toilets</e1> or casings above <e2>EI 15</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_6,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>Cable routes</e1> or casings above <e2>650mm</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_7,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>Ramps</e1> or casings above <e2>(16.66 8.33 V0.4)/(1000 24)</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_8,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>letter</e1> or casings above <e2>21 C</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_9,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>shower</e1> or casings above <e2>1m2</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_10,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>floor level</e1> or casings above <e2>900 millimetres</e2> may be discounted when measuring clear width.,greater
1e3d8e3a-93fd-47e2-833e-d7f36c901c77_11,Skirtings totalling up to 50mm total thickness and shallow projecting <e1>exhaust air terminal</e1> or casings above <e2>0.05</e2> may be discounted when measuring clear width.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_0,Gasfired boilers and multi-stage oilfired boilers with an <e1>cross-sectional area</e1> of more than <e2>50</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_1,Gasfired boilers and multi-stage oilfired boilers with an <e1>parasitic energy use</e1> of more than <e2>13l/s</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_2,Gasfired boilers and multi-stage oilfired boilers with an <e1>that</e1> of more than <e2>0.5 kN/m2</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_3,Gasfired boilers and multi-stage oilfired boilers with an <e1>use</e1> of more than <e2>six metres</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_4,Gasfired boilers and multi-stage oilfired boilers with an <e1>sum</e1> of more than <e2>0.3</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_5,Gasfired boilers and multi-stage oilfired boilers with an <e1>steps</e1> of more than <e2>300 litres</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_6,Gasfired boilers and multi-stage oilfired boilers with an <e1>level with entry</e1> of more than <e2>450mm</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_7,Gasfired boilers and multi-stage oilfired boilers with an <e1>protective part</e1> of more than <e2>1100mm</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_8,Gasfired boilers and multi-stage oilfired boilers with an <e1>ending</e1> of more than <e2>600kg/m3</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_9,Gasfired boilers and multi-stage oilfired boilers with an <e1>Moisture</e1> of more than <e2>600 millimetres</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_10,Gasfired boilers and multi-stage oilfired boilers with an <e1>area</e1> of more than <e2>21 C</e2> should have fully modulating burner controls.,greater
23cff3c3-1251-4c5f-9fd9-8f52d25eb494_11,Gasfired boilers and multi-stage oilfired boilers with an <e1>locations</e1> of more than <e2>5m</e2> should have fully modulating burner controls.,greater
29c431ee-ea93-491d-ab13-06418d93c488_0,"If <e1>distance of the uppermost floor level from the entry level</e1> is greater than <e2>23C</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_1,"If <e1>air extract rate</e1> is greater than <e2>30</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_2,"If <e1>categories</e1> is greater than <e2>220 millimetres</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_3,"If <e1>domestic hot water circulation heat loss</e1> is greater than <e2>0.055555556</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_4,"If <e1>service</e1> is greater than <e2>55</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_5,"If <e1>equivalent area</e1> is greater than <e2>90</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_6,"If <e1>total capital cost</e1> is greater than <e2>0.9 metres</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_7,"If <e1>dimension</e1> is greater than <e2>0.2</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_8,"If <e1>specification</e1> is greater than <e2>B</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_9,"If <e1>rated output</e1> is greater than <e2>10m</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_10,"If <e1>deep</e1> is greater than <e2>eight per cent</e2>, manual control is acceptable.",greater
29c431ee-ea93-491d-ab13-06418d93c488_11,"If <e1>cross-sectional area</e1> is greater than <e2>600 x 600 millimetres</e2>, manual control is acceptable.",greater
