example_id,tagged_sentence,relation_type
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_0,The smaller <e1>differences</e1> of each panel which can be either the width or height of the panel should be <e2>15 degrees</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_1,The smaller <e1>sizes</e1> of each panel which can be either the width or height of the panel should be <e2>50 m2</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_2,The smaller <e1>fire load</e1> of each panel which can be either the width or height of the panel should be <e2>2 metres</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_3,The smaller <e1>manufacturers declared efficiencies</e1> of each panel which can be either the width or height of the panel should be <e2>900 millimetres</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_4,The smaller <e1>number</e1> of each panel which can be either the width or height of the panel should be <e2>4</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_5,The smaller <e1>performance standards</e1> of each panel which can be either the width or height of the panel should be <e2>0.8 metres</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_6,The smaller <e1>rate of heat release</e1> of each panel which can be either the width or height of the panel should be <e2>300 millimetres</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_7,The smaller <e1>net heating energy demand</e1> of each panel which can be either the width or height of the panel should be <e2>180kW</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_8,The smaller <e1>heat exchanger area</e1> of each panel which can be either the width or height of the panel should be <e2>120</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_9,The smaller <e1>U-values</e1> of each panel which can be either the width or height of the panel should be <e2>650mm</e2> or less.,less-equal
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610_10,The smaller <e1>frequency</e1> of each panel which can be either the width or height of the panel should be <e2>0.3W/m2</e2> or less.,less-equal
