example_id,tagged_sentence,relation_type
05864826-21ef-4ae7-9af8-2aaeffc7267a_0,"Modular and portable buildings with a planned service life of more than two years but with an <e1>combined dead,imposed and wind loads</e1> in a single location of less than <e2>65 degrees Celsius</e2> should be shown to comply with the energy efficiency requirements.",less
05864826-21ef-4ae7-9af8-2aaeffc7267a_1,Modular and portable buildings with a planned service life of more than two years but with an <e1>difference in light reflectance value</e1> in a single location of less than <e2>400kg</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_2,Modular and portable buildings with a planned service life of more than two years but with an <e1>ventilation provision</e1> in a single location of less than <e2>400 millimetres</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_3,"Modular and portable buildings with a planned service life of more than two years but with an <e1>clear width</e1> in a single location of less than <e2>1,500 millimetres</e2> should be shown to comply with the energy efficiency requirements.",less
05864826-21ef-4ae7-9af8-2aaeffc7267a_4,Modular and portable buildings with a planned service life of more than two years but with an <e1>air leakage rate figure</e1> in a single location of less than <e2>600kg/m3</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_5,Modular and portable buildings with a planned service life of more than two years but with an <e1>design value</e1> in a single location of less than <e2>5m</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_6,Modular and portable buildings with a planned service life of more than two years but with an <e1>patterns</e1> in a single location of less than <e2>40 degrees Celsius</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_7,Modular and portable buildings with a planned service life of more than two years but with an <e1>reception</e1> in a single location of less than <e2>Five ventilators</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_8,Modular and portable buildings with a planned service life of more than two years but with an <e1>opening angle</e1> in a single location of less than <e2>2.2 metres</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_9,Modular and portable buildings with a planned service life of more than two years but with an <e1>product certificate</e1> in a single location of less than <e2>6mm</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_10,Modular and portable buildings with a planned service life of more than two years but with an <e1>luminous efficacy</e1> in a single location of less than <e2>1m2</e2> should be shown to comply with the energy efficiency requirements.,less
05864826-21ef-4ae7-9af8-2aaeffc7267a_11,Modular and portable buildings with a planned service life of more than two years but with an <e1>total capital cost</e1> in a single location of less than <e2>13l/s</e2> should be shown to comply with the energy efficiency requirements.,less
2de867fe-80e7-4617-ad18-36225dd45ab1_0,Hinged or pivot windows with an <e1>ending</e1> of less than <e2>two years</e2> are not suitable for purge ventilation.,less
