example_id,tagged_sentence,relation_type
13a437c0-918c-47f2-85bd-b80dd69eb027_0,"There are no <e1>depth</e1> on the <e2>heat recovery</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_1,"There are no <e1>building primary energy rate</e1> on the <e2>drop</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_2,"There are no <e1>air tightness</e1> on the <e2>diameter</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_3,"There are no <e1>planned time of use</e1> on the <e2>load EER</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_4,"There are no <e1>energy efficiency</e1> on the <e2>fire resistance time requirement</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_5,"There are no <e1>mechanical ventilation</e1> on the <e2>reverberation time</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_6,"There are no <e1>air extract rate</e1> on the <e2>Extract</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_7,"There are no <e1>air flow resistance</e1> on the <e2>Ventilation</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_8,"There are no <e1>deep</e1> on the <e2>boiler type</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_9,"There are no <e1>patterns</e1> on the <e2>from the top and bottom corners of the door</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_10,"There are no <e1>cold side</e1> on the <e2>visual contrast</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
13a437c0-918c-47f2-85bd-b80dd69eb027_11,"There are no <e1>minimum value</e1> on the <e2>gradients</e2> of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",not-part-of
26980508-105c-49db-8595-bf001a48d757_0,"In <e1>Rigid ducts</e1> with no fixed <e2>Mortar snots</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_1,"In <e1>connector pipe</e1> with no fixed <e2>space heating system</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_2,"In <e1>cold premises</e1> with no fixed <e2>gigabit-capable public electronic communications network</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_3,"In <e1>ventilation space or gap</e1> with no fixed <e2>Drawings</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_4,"In <e1>gained via an interconnecting doorset from the garage</e1> with no fixed <e2>ventilation equipment</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_5,"In <e1>building fabric</e1> with no fixed <e2>grippable handrail</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_6,"In <e1>strategy</e1> with no fixed <e2>terrace of houses</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_7,"In <e1>heating circuits</e1> with no fixed <e2>open-plan space</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_8,"In <e1>tiered terraces</e1> with no fixed <e2>Stairs</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_9,"In <e1>cooker hood</e1> with no fixed <e2>Door furniture</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_10,"In <e1>sign</e1> with no fixed <e2>adjoining rooms</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_11,"In <e1>Waterproofing</e1> with no fixed <e2>common access point</e2> or furnishings, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_0,"In <e1>Roofs</e1> with no fixed seats or <e2>Insulating materials</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_1,"In <e1>fan</e1> with no fixed seats or <e2>sign</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_2,"In <e1>Door furniture</e1> with no fixed seats or <e2>energy declaration</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_3,"In <e1>cable duct</e1> with no fixed seats or <e2>schools</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_4,"In <e1>baby changing facilities</e1> with no fixed seats or <e2>justification</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_5,"In <e1>g-value</e1> with no fixed seats or <e2>showers</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_6,"In <e1>Ladders</e1> with no fixed seats or <e2>handrail</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_7,"In <e1>places</e1> with no fixed seats or <e2>Timing and temperature demand control</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_8,"In <e1>room temperature sensor</e1> with no fixed seats or <e2>test data</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_9,"In <e1>copy</e1> with no fixed seats or <e2>waste</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_10,"In <e1>Heat pumps</e1> with no fixed seats or <e2>pipes</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
26980508-105c-49db-8595-bf001a48d757_11,"In <e1>connections</e1> with no fixed seats or <e2>air handling units</e2>, the number of persons shall be calculated to be two persons per square metre.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_0,"In a <e1>rooflight-and-kerb assemblies</e1> with no openable <e2>property</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_1,"In a <e1>compliance checklist</e1> with no openable <e2>surfaces</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_2,"In a <e1>cooling energy</e1> with no openable <e2>wet room</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_3,"In a <e1>requirement</e1> with no openable <e2>Intermittent extract fans</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_4,"In a <e1>CO2 readings</e1> with no openable <e2>submission</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_5,"In a <e1>that part</e1> with no openable <e2>drawings</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_6,"In a <e1>firefighting and rescue operations</e1> with no openable <e2>exterior wall</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_7,"In a <e1>entrance</e1> with no openable <e2>text</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_8,"In a <e1>Dwellings</e1> with no openable <e2>door systems</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_9,"In a <e1>roof-lights</e1> with no openable <e2>residential buildings</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_10,"In a <e1>barrier</e1> with no openable <e2>driveways</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
66b3628a-f0ee-4bc7-93c8-2ae0145a2e78_11,"In a <e1>thermal energy streams</e1> with no openable <e2>European Standards</e2>, an intermittent extract fan should be provided with controls which continue to operate the fan for at least 15 minutes after the room is vacated.",not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_0,A <e1>habitable rooms</e1> that is being connected to a new building should not have a <e2>absence</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_1,A <e1>detailing</e1> that is being connected to a new building should not have a <e2>difference in light reflectance value</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_2,A <e1>pipes</e1> that is being connected to a new building should not have a <e2>air distribution</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_3,A <e1>electric vehicle charge points</e1> that is being connected to a new building should not have a <e2>length</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_4,"A <e1>Fixings</e1> that is being connected to a new building should not have a <e2>combined dead,imposed and wind loads</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.",not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_5,A <e1>Provision</e1> that is being connected to a new building should not have a <e2>anthracite figure</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_6,A <e1>appliance</e1> that is being connected to a new building should not have a <e2>U-values</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_7,A <e1>area</e1> that is being connected to a new building should not have a <e2>patterns</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_8,A <e1>Consideration</e1> that is being connected to a new building should not have a <e2>energy consumption</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
72d7716f-7e3e-442c-9e42-14d4b19e18e3_9,A <e1>thermal elements</e1> that is being connected to a new building should not have a <e2>heat emission capacity</e2> for delivered heat to the building which is greater than 0.350kgCO2/kWh.,not-part-of
