example_id,content,metadata,tagged_sentence,relation_type
64695439-3458-4d43-8e7b-a2ba75075cea,"There must be safe and easily accessible, uninterrupted access routes to any chimneys, ventilation equipment and other building equipment and structural elements that are located on the roof of the building and that must be accessed regularly.",{'ID': '124_Finnish_SafetyOfUse'},"There must be safe and easily accessible, <e1>uninterrupted</e1> <e2>access routes</e2> to any chimneys, ventilation equipment and other building equipment and structural elements that are located on the roof of the building and that must be accessed regularly.",selection
c2c49207-78b3-42b0-8b61-ad506f5a80e2,"In hard water areas, suitable measures should be taken to treat the feed water to water heaters and the hot water circuit of combination boilers to reduce lime-scale accumulation.",{'ID': '381_UK_DocL_V1_ConsrvationOfFuelAndPower'},"In <e1>hard water areas</e1>, suitable <e2>measures</e2> should be taken to treat the feed water to water heaters and the hot water circuit of combination boilers to reduce lime-scale accumulation.",necessity
726e23c9-02a3-4c56-98d0-8981b7ce877b,"In the construction of a new building as well as in repair and alteration work corresponding to the construction of a new building, the premises to be fitted with a floor drain shall be: 1. showers and bathrooms as well as wash rooms in connection with saunas; 2. laundry room; 3. heat distribution room; 4. ventilation unit room; 5. toilet facility intended for public use; 6. technical utility room with a possibility to water damage; 7. car wash facility; 8. special facilities cleansed by water rinsing.",{'ID': '126_Finnish_Health-WaterAndSewerage'},"In the construction of a new building as well as in repair and alteration work corresponding to the construction of a new building, the premises to be <e1>fitted with a floor drain</e1> shall be: 1. showers and bathrooms as well as <e2>wash rooms</e2> in connection with saunas; 2. laundry room; 3. heat distribution room; 4. ventilation unit room; 5. toilet facility intended for public use; 6. technical utility room with a possibility to water damage; 7. car wash facility; 8. special facilities cleansed by water rinsing.",none
108b5709-f035-4697-ba25-56edd2ce60fc,"Where permanent or removable seating is provided as part of the design, allowance should be made for disabled people to have a choice of seating location at spectator events.",{'ID': '126_UK_DocM_V2_AccessAndUseOfBuildings'},"Where permanent or <e1>removable</e1> seating is <e2>provided as part of the design</e2>, allowance should be made for disabled people to have a choice of seating location at spectator events.",none
a922fe4e-30c9-4fef-a442-27459b959914,Vertical service pipes shall be equipped with mechanical or structural leak detectors at each floor if the service pipes are not visible.,{'ID': '82_Finnish_Health-WaterAndSewerage'},<e1>Vertical</e1> <e2>service pipes</e2> shall be equipped with mechanical or structural leak detectors at each floor if the service pipes are not visible.,selection
a387fcb8-ead2-4094-9be9-72d783468b33,"If the area of windows, roof windows, rooflights and doors exceeds 25 of the total floor area of the dwelling, compensating measures should be taken to improve the energy efficiency of the dwelling.",{'ID': '422_UK_DocL_V1_ConsrvationOfFuelAndPower'},"If the <e1>area</e1> of windows, roof windows, rooflights and doors exceeds <e2>25</e2> of the total floor area of the dwelling, compensating measures should be taken to improve the energy efficiency of the dwelling.",greater
56517433-cf40-4b88-a9d4-18e61e0e9993,"In addition, on both sides of the toilet seat there shall be a free space of at least 800 millimetres.",{'ID': '55_Finnish_Accessibility'},"In addition, on <e1>both sides</e1> of the toilet seat there shall be a <e2>free space</e2> of at least 800 millimetres.",necessity
8e5e9560-4b22-4fe0-ad86-e52b82ffe4d2,"When  calculating  the  energy  consumption  of  a  buildings  cooling  system,  the  energy consumption of cooling energy production and the electrical energy consumption of auxiliary units  shall  be  taken  into  account  where  the  use  of  the  systems  is  required  for  indoor temperature control.",{'ID': '111_Finnish_EnergyEfficiency'},"When calculating the energy consumption of a buildings cooling system, the <e1>energy consumption</e1> of <e2>cooling energy production</e2> and the electrical energy consumption of auxiliary units shall be taken into account where the use of the systems is required for indoor temperature control.",part-of
4abb3268-3ba6-47e8-a8b7-4676dbaa9a16,"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear headroom of 2m, except in doorways.",{'ID': '28_UK_DocK_ProtectionFromFalling'},"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear <e1>headroom</e1> of <e2>2m</e2>, except in doorways.",equal
703e5c71-bd54-4267-acf4-fa7db1e70d49,"Any sound system in an auditorium, a restaurant, a conference facility, a facility for festive occasions, a teaching facility or other similar assembly facility or a public service facility shall have an induction loop or a similar sound transmission system.",{'ID': '67_Finnish_Accessibility'},"Any sound system in an auditorium, a restaurant, a conference facility, a <e1>facility for festive occasions</e1>, a <e2>teaching facility</e2> or other similar assembly facility or a public service facility shall have an induction loop or a similar sound transmission system.",none
7c8f6c05-769d-46a8-9dc6-84b509bf8d9c,"The fire compartmenting requirement for the balcony slab of a glazed balcony of a building exceeding two storeys is EI 30; however, minor sealing parts and penetrations may be class E 15.",{'ID': '134_Finnish_FireSafety'},"The <e1>fire compartmenting requirement</e1> for the balcony slab of a glazed balcony of a building exceeding two storeys is EI 30; however, minor sealing parts and penetrations may be <e2>class</e2> E 15.",none
