Text,org_class
"There must be a suitable installation for the provision of: (a) wholesome water to any place where drinking water is  drawn off; (b) wholesome water or softened wholesome water to any  washbasin or bidet provided in or adjacent to a room containing a sanitary convenience; (c) wholesome water or softened wholesome water to any washbasin, bidet, fixed bath or shower in a bathroom; and (d) wholesome water to any sink provided in any area where food is prepared.",subjective
"Between the locking points for the mortice lock and surface-mounted rim lock, the distance should be 400-600mm.",numerical
"The non-primary doors for entering a dwelling (for example, back door or garage inter-connecting doors) should be fitted with a multipoint locking system that meets the requirements of: PAS 3621 (key locking on both sides), or PAS 8621 (non-key locking on the internal face), or PAS 10621 (non-key locking on the internal face, but with an external locking override facility).",subjective
"The morticed bolts should have a minimum projection of 20mm, should be at least 100mm from the top and bottom corners of the door, and should avoid any door construction joints.",numerical
"Reasonable provision shall be made in the design and installation of electrical installations in order to protect persons operating, maintaining or altering the  installations from fire or injury.",subjective
"Sufficient information should be provided to ensure that people can operate, maintain or alter an electrical installation with reasonable safety.",subjective
Reasonable provision must be made to resist unauthorised access to (a) any dwelling; and (b) any part of a building from which access can be gained to a flat within the building.,subjective
"Where access to the dwelling can be gained via an interconnecting doorset from the garage, then either the garage doorset (pedestrian and vehicular) or the interconnecting doorset should be a secure doorset.",subjective
the water efficiency calculator must be completed.,numerical
"Where it applies, the estimated consumption of wholesome water calculated in accordance with the methodology in the water efficiency calculator, should not exceed 110 litres/person/day.",numerical
"Similarly, where a shower is not to be provided or where a waste disposal unit, a water softener or water reuse is to be provided the water efficiency calculator must be completed.",numerical
"There must be a suitable installation for the provision of heated wholesome water or heated softened wholesome water to: (a) any washbasin or bidet provided in or adjacent to a room containing a sanitary convenience; (b) any washbasin, bidet, fixed bath and shower in a bathroom; and (c) any sink provided in any area where food is prepared.",combined
"A hot water system, including any cistern or other vessel that supplies water to or receives expansion water from a hot water system, shall be designed, constructed and installed so as to resist the effects of temperature and pressure that may occur either in normal use or in the event of such malfunctions as may reasonably be anticipated, and must be adequately supported.",subjective
A hot water system that has a hot water storage vessel shall incorporate precautions to: (a) prevent the temperature of the water stored in the vessel at any time exceeding 100C; and (b) ensure that any discharge from safety devices is safely conveyed to where it is visible but will not cause a danger to persons in or about the building.,subjective
The hot water supply to any fixed bath must be so designed and installed as to incorporate measures to ensure that the temperature of the water that can be delivered to that bath does not exceed 48C.,subjective
Electrical work associated with hot water systems should be carried out in accordance with BS7671:2008 Requirements for electrical installations (IEE Wiring Regulations 17th Edition).,subjective
Pipework should be designed and installed in such a way as to minimise the transfer time between the hot water storage system and hot water outlets.,numerical
"Hot water storage systems should be designed and installed in accordance with BS  6700:2006  A1:2009 Specification for design,  installation, testing and maintenance of services supplying water for domestic use within buildings and their curtilages or BS EN 12897:2006 Water supply.",subjective
"Vented hot water storage systems should incorporate a vent pipe of an adequate size, but not less than 19mm internal diameter, connecting the top of the hot water storage  vessel to a point open to the atmosphere above and over the level of the water in the cold water storage cistern.",subjective
"The cold water storage cistern into which the vent pipe discharges should be supported on a flat, level, rigid platform which is capable of safely withstanding the weight of the cistern when filled with water to the rim and fully supporting the bottom of the cistern over the  whole of its area.",subjective
"The cistern should be accessible for maintenance, cleaning and replacement.",subjective
Any unvented hot water storage system up to 500 litres and less than 45kW should be in the form of a proprietary hot water storage system unit or package.,numerical
Any unvented hot water storage system unit or package should be indelibly marked with the following information:  a. the manufacturers name and contact details;  b. a model reference;  c. the rated storage capacity of the storage water heater;  d. the operating pressure of the system and the operating pressure of the expansion valve;  e. relevant operating data on each of the safety devices fitted; and  f. the maximum primary circuit pressure and flow temperature of indirect hot water storage system units or packages.,subjective
"Any unvented hot water storage system having a power input of more than 45kW, but a capacity of 500 litres or less should be in the form of a proprietary hot water storage system unit or package.",numerical
"3.34 Where relevant, appropriate pressure, temperature or temperature and pressure activated safety devices should be fitted in addition to a safety device such as an energy cut-out.",subjective
"Where solar water heating systems are used, an additional heat source should be available.",subjective
"Note: The additional heat source should be used, when necessary, to maintain the water temperature to restrict microbial growth.",subjective
"The diameter of discharge pipe (D1) should be not less than the nominal outlet size of the safety device, e.g. temperature relief valve.",subjective
Where a manifold is used it should be sized to accept and discharge the total discharge from the discharge pipes connected to it.,numerical
"Where valves other than a temperature and pressure relief valve from a single unvented hot water system discharge by way of the same manifold that is used by the safety devices, the manifold should be factory fitted as part of the hot water storage system unit or package.",subjective
Any discharge should be visible at the tundish.,subjective
"in dwellings occupied by people with impaired vision or mobility, consideration should be given to the installation of a suitable safety device to warn when discharge takes place,  e.g. electronically operated.",subjective
The discharge pipe (D2) should be made of: a. metal; or  b. other material that has been demonstrated to be capable of safely withstanding temperatures of the water discharged and is clearly and permanently marked to identify the product and performance standard (e.g. as specified in the relevant part of BS 7291- 1:2006 Thermostatic pipes and fittings for hot and cold water for domestic purposes and heating installations in buildings.),subjective
"The discharge pipe D2 should be at least one pipe size larger than the nominal outlet size of the safety device unless its total equivalent hydraulic resistance exceeds that of a straight pipe 9m long, i.e. for discharge pipes between 9m and 18m the equivalent resistance length should be at least two sizes larger than the nominal outlet size of the safety device; between 18 and 27m at least 3 sizes larger, and so on; bends must be taken into account in calculating  the flow resistance.",combined
"Where a single common discharge pipe serves more than one system, it should be at least one pipe size larger than the largest individual discharge pipe (D2) to be connected.",combined
"Where the operating temperature of domestic hot water in the storage vessel in a dwelling is capable of exceeding 80C under normal operating conditions (a situation that may occur in vessels used as heat stores and those connected to solar heat collectors or solid fuel boilers that do not have intervening controls between the boiler and the vessel containing the hot water) the outlet from the storage vessel should be fitted with a device, such as an inline hot water supply tempering valve in accordance with BS EN 15092:2008 Building Valves.",subjective
"hot water tempering valves, to ensure that the  temperature supplied to the domestic hot water distribution system does not exceed 60C.",subjective
"The hot water supply temperature to a bath should be limited to a maximum of 48C by use of an inline blending valve or other appropriate temperature control device, with a maximum temperature stop and a suitable arrangement of pipework.",subjective
Inline blending valves and composite thermostatic mixing valves should be compatible with the sources of hot and cold water that serve them.,subjective
The length of supply pipes between inline blending valves and outlets should be kept to a minimum in order to prevent the colonisation of waterborne pathogens.,subjective
"If intermittent use of the bath is anticipated, provision should be made for high temperature flushing to allow pasteurisation of the pipes and outlet fittings.",subjective
Workmanship should be in accordance with appropriate standards such as BS 800015:1990 Workmanship on Building Sites Code of practice  for hot and cold water services (domestic scale).,subjective
Where commissioning is carried out it must be done in accordance with a procedure approved by the Secretary of State.,subjective
Adequate hand washing facilities must be provided in: (a) rooms containing sanitary conveniences; or (b) rooms or spaces adjacent to rooms containing sanitary  conveniences.,numerical
"Where hot and cold taps are provided on a sanitary appliance, the hot tap should be on the left.",subjective
Any dwelling (house or flat) should have at least one sanitary convenience and associated hand washing facility.,numerical
"To allow for basic hygiene, hand washing  facilities should be located in: a. the room containing the sanitary convenience; or  b. an adjacent room or place that provides the sole means of access to the room containing the sanitary convenience (provided that it is not used for the preparation of food).",subjective
A place containing a sanitary convenience and/or associated hand washing facilities should be separated by a door from any place used for the preparation of food (including  a kitchen).,subjective
A bathroom must be provided containing a wash basin and either a fixed bath or a shower.,numerical
"Where hot and cold taps are provided on a sanitary appliance, the hot tap should be on the left.",subjective
"Any dwelling (house or flat) must have at least one bathroom with a fixed bath or shower, and a washbasin.",numerical
The number of fixed baths or showers and washbasins in buildings with rooms for residential purposes should be in accordance with BS 64651:2006 and A1:2009 Sanitary  installations.,numerical
A suitable sink must be provided in any area where food is prepared.,subjective
A sink should be provided in any kitchen or place used for the preparation of food.,numerical
"For taps, where there are separate hot and cold water taps, the flow rate of each tap should be entered separately as two tap types to calculate the average flow rate.",numerical
Requirements for accessibility should be balanced against preserving historic buildings or environments.,subjective
"Reasonable provision should be made for people to (a) gain access to; and (b) use, the dwelling and its facilities.",subjective
"The approach route should be safe and convenient for everyone, including older and disabled people and some wheelchair users.",subjective
"The approach route should be level, gently sloping, or, where necessary, ramped.",subjective
The approach route is a minimum of 900mm wide with a maximum cross fall of 1 in 40.,numerical
" Where a driveway forms all, or part of, the approach route, an additional allowance of at least 900mm wide should be provided so that a wheelchair user can pass a parked car.",numerical
Individual flights are: for gradients up to 1:15  not more than 10m long; for gradients up to 1:12  not more than 5m long.,numerical
Every flight has a minimum clear width of 900mm.,numerical
No individual flight has a rise of more than 1800mm between landings.,numerical
"Where a lift is provided, it should be suitable for a wheelchair user.",subjective
The load capacity is at least 400kg.,numerical
The system can be overridden by a door reactivating device that relies on appropriate electronic methods (but not a door edge pressure system); provided that the lift door remains fully open for at least three seconds.,subjective
"When the lift serves more than three storeys, it provides visual and audible indicators to identify the floor reached.",subjective
"To provide easy access between rooms on the entrance storey, a stepped change of level within the entrance storey should be avoided where possible.",subjective
"The provision made must be sufficient to (a) meet the needs of occupants with differing needs, including some older or disabled people; and (b) to allow adaptation of the dwelling to meet the changing needs of occupants over time.",subjective
"The approach route should be safe and convenient, adopt the shallowest gradient that can reasonably be achieved and be step-free, irrespective of the storey on which the dwelling is located.",subjective
"Where it is not reasonable to achieve a step-free approach route to the principal private entrance, a step-free approach route should be provided to a suitable alternative private entrance instead.",subjective
No individual flight has a rise between landings of more than 1800mm.,numerical
